Date and Time:                Mon Jan 30 17:20:52.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6221
203.10698	5958
203.12848	5961
203.14999	5971
203.17151	6024
203.19302	6060
203.21452	6139
203.23604	6131
203.25755	6135
203.27905	6178
203.30057	6158
203.32208	6148
203.34358	6153
203.3651	6182
203.38661	6253
203.40811	6266
203.42963	6353
203.45113	6369
203.47264	6436
203.49416	6447
203.51566	6460
203.53717	6545
203.55867	6569
203.58018	6567
203.60168	6631
203.6232	6665
203.6447	6730
203.66621	6772
203.68771	6819
203.70923	6818
203.73073	6880
203.75224	6905
203.77374	6960
203.79526	6955
203.81676	7026
203.83827	7055
203.85977	7128
203.88127	7177
203.90279	7241
203.92429	7290
203.94579	7279
203.9673	7264
203.9888	7304
204.01031	7407
204.03181	7382
204.05331	7385
204.07481	7459
204.09633	7443
204.11783	7523
204.13933	7581
204.16084	7582
204.18234	7635
204.20384	7688
204.22534	7756
204.24684	7735
204.26836	7804
204.28986	7855
204.31136	7957
204.33286	7997
204.35435	8009
204.37587	8010
204.39737	8090
204.41887	8105
204.44037	8097
204.46187	8223
204.48337	8172
204.50487	8211
204.52637	8219
204.54787	8253
204.56937	8252
204.59087	8299
204.61237	8404
204.63387	8425
204.65536	8456
204.67688	8504
204.69836	8498
204.71986	8549
204.74136	8539
204.76286	8583
204.78436	8639
204.80586	8671
204.82736	8791
204.84886	8798
204.87036	8814
204.89186	8912
204.91336	8965
204.93486	9045
204.95636	9044
204.97784	9093
204.99934	9142
205.02084	9181
205.04234	9225
205.06384	9203
205.08534	9327
205.10683	9383
205.12833	9424
205.14983	9493
205.17133	9457
205.19281	9561
205.21431	9698
205.23581	9678
205.25731	9681
205.27879	9729
205.30029	9807
205.32179	9828
205.34328	9957
205.36478	10045
205.38628	10078
205.40776	10086
205.42926	10078
205.45074	10131
205.47224	10136
205.49374	10166
205.51523	10249
205.53673	10397
205.55821	10393
205.57971	10411
