Date and Time:                Mon Jan 30 17:44:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              305
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



283.48544	16557
283.50656	15756
283.52771	15789
283.54883	15690
283.56998	15789
283.59109	15950
283.61224	15941
283.63336	15920
283.65451	15788
283.67563	15783
283.69678	15701
283.7179	15590
283.73904	15418
283.76016	15563
283.78131	15604
283.80243	15571
283.82358	15666
283.8447	15647
283.86584	15738
283.88696	15747
283.90811	15665
283.92923	15697
283.95035	15729
283.9715	15713
283.99261	15630
284.01376	15613
284.03488	15633
284.056	15585
284.07715	15662
284.09827	15668
284.11942	15741
284.14053	15796
284.16165	15896
284.1828	15780
284.20392	15799
284.22504	15763
284.24619	15903
284.2673	15829
284.28842	15919
284.30957	15981
284.33069	15928
284.35181	15832
284.37296	15794
284.39407	15754
284.41519	15866
284.43634	15974
284.45746	16045
284.47858	16004
284.49969	16028
284.52084	15869
284.54196	15895
284.56308	15934
284.5842	15998
284.60535	16058
284.62646	16041
284.64758	16070
284.6687	16029
284.68985	16003
284.71097	16118
284.73209	16126
284.7532	16156
284.77432	16206
284.79547	16171
284.81659	16206
284.83771	16191
284.85883	16151
284.87994	16036
284.90106	16007
284.92221	15938
284.94333	15722
284.96445	15721
284.98557	15710
285.00668	15672
285.0278	15676
285.04892	15650
285.07004	15665
285.09116	15622
285.1123	15620
285.13342	15636
285.15454	15709
285.17566	15726
285.19678	15742
285.2179	15935
285.23901	16004
285.26013	15978
285.28125	16045
285.30237	16101
285.32349	15985
285.3446	15870
285.36572	15879
285.38684	15962
285.40796	16022
285.42908	15934
285.4502	15905
285.47131	15880
285.49243	15855
285.51355	15839
285.53467	15803
285.55579	15974
285.5769	16062
285.59802	16103
285.61914	16000
285.64026	15960
285.66138	16069
285.6825	16221
285.70358	16353
285.7247	16464
285.74582	16541
285.76694	16505
285.78806	16427
285.80917	16425
285.83029	16410
285.85141	16331
285.87253	16420
285.89362	16532
285.91473	16477
285.93585	16479
