Date and Time:                Mon Jan 30 17:42:39.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              305
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



283.48544	3150
283.50656	2955
283.52771	2982
283.54883	2968
283.56998	2997
283.59109	3018
283.61224	3004
283.63336	2962
283.65451	2947
283.67563	2942
283.69678	2910
283.7179	2930
283.73904	2913
283.76016	2941
283.78131	2910
283.80243	2911
283.82358	2900
283.8447	2899
283.86584	2924
283.88696	2891
283.90811	2903
283.92923	2909
283.95035	2939
283.9715	2903
283.99261	2901
284.01376	2883
284.03488	2863
284.056	2896
284.07715	2871
284.09827	2887
284.11942	2915
284.14053	2925
284.16165	2906
284.1828	2878
284.20392	2882
284.22504	2902
284.24619	2893
284.2673	2928
284.28842	2925
284.30957	2942
284.33069	2915
284.35181	2902
284.37296	2860
284.39407	2848
284.41519	2902
284.43634	2919
284.45746	2929
284.47858	2920
284.49969	2934
284.52084	2871
284.54196	2845
284.56308	2862
284.5842	2863
284.60535	2918
284.62646	2913
284.64758	2927
284.6687	2895
284.68985	2935
284.71097	2896
284.73209	2866
284.7532	2926
284.77432	2886
284.79547	2942
284.81659	2917
284.83771	2932
284.85883	2898
284.87994	2880
284.90106	2878
284.92221	2871
284.94333	2824
284.96445	2809
284.98557	2828
285.00668	2858
285.0278	2827
285.04892	2850
285.07004	2819
285.09116	2830
285.1123	2798
285.13342	2816
285.15454	2843
285.17566	2846
285.19678	2879
285.2179	2856
285.23901	2844
285.26013	2816
285.28125	2861
285.30237	2870
285.32349	2881
285.3446	2853
285.36572	2888
285.38684	2880
285.40796	2816
285.42908	2829
285.4502	2817
285.47131	2820
285.49243	2821
285.51355	2879
285.53467	2850
285.55579	2876
285.5769	2850
285.59802	2910
285.61914	2833
285.64026	2848
285.66138	2869
285.6825	2882
285.70358	2921
285.7247	2933
285.74582	2940
285.76694	2924
285.78806	2948
285.80917	2870
285.83029	2916
285.85141	2923
285.87253	2926
285.89362	2963
285.91473	2951
285.93585	2903
