Date and Time:                Mon Oct 10 15:19:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	310
177.99368	309
178.0153	306
178.03691	312
178.05853	309
178.08015	316
178.10176	307
178.12338	314
178.145	304
178.16661	306
178.18823	310
178.20985	308
178.23146	308
178.25308	310
178.27469	306
178.29631	308
178.31793	309
178.33954	313
178.36116	310
178.38277	314
178.40439	307
178.42599	307
178.44762	311
178.46922	303
178.49084	310
178.51245	310
178.53407	312
178.55568	312
178.5773	304
178.59891	304
178.62053	307
178.64214	304
178.66376	310
178.68536	305
178.70697	308
178.72859	312
178.7502	309
178.77182	306
178.79343	299
178.81503	313
178.83665	313
178.85826	304
178.87987	305
178.90149	304
178.9231	306
178.9447	311
178.96631	317
178.98793	308
179.00954	307
179.03114	307
179.05275	307
179.07437	311
179.09598	303
179.11758	310
179.13919	306
179.16081	313
179.18242	306
179.20403	311
179.22563	304
179.24724	312
179.26884	310
179.29047	305
179.31207	314
179.33368	307
179.35529	312
179.37689	305
179.3985	309
179.4201	310
179.44171	310
179.46332	313
179.48492	314
179.50653	308
179.52814	309
179.54974	308
179.57135	304
179.59296	308
179.61456	303
179.63617	308
179.65778	309
179.67938	307
179.70099	306
179.7226	316
179.7442	308
179.76581	305
179.78741	308
179.80902	304
179.83063	305
179.85223	309
179.87383	309
179.89543	305
179.91704	312
179.93864	300
179.96025	309
179.98186	306
180.00345	307
180.02505	306
180.04666	309
180.06827	309
180.08986	310
180.11147	307
180.13307	310
180.15468	312
180.17627	306
180.19788	311
180.21948	309
180.24107	311
180.26268	310
180.28429	313
180.30589	313
180.32748	314
180.34909	301
180.37068	305
180.39229	307
180.41389	313
180.43549	306
180.45709	306
180.47868	308
180.50029	304
180.5219	304
180.54349	308
180.56509	305
180.58669	303
180.60829	316
180.62988	302
180.65149	299
180.67308	315
180.69469	309
180.71628	310
180.73788	304
180.75948	311
180.78107	309
180.80267	307
180.82426	309
