Date and Time:                Mon Oct 10 15:11:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	7791
177.99368	7429
178.0153	7494
178.03691	7435
178.05853	7479
178.08015	7508
178.10176	7482
178.12338	7489
178.145	7444
178.16661	7480
178.18823	7500
178.20985	7471
178.23146	7456
178.25308	7489
178.27469	7492
178.29631	7489
178.31793	7443
178.33954	7505
178.36116	7478
178.38277	7460
178.40439	7476
178.42599	7441
178.44762	7454
178.46922	7439
178.49084	7467
178.51245	7463
178.53407	7422
178.55568	7462
178.5773	7415
178.59891	7411
178.62053	7415
178.64214	7413
178.66376	7409
178.68536	7381
178.70697	7399
178.72859	7437
178.7502	7426
178.77182	7385
178.79343	7419
178.81503	7431
178.83665	7401
178.85826	7429
178.87987	7440
178.90149	7403
178.9231	7436
178.9447	7407
178.96631	7417
178.98793	7418
179.00954	7397
179.03114	7437
179.05275	7403
179.07437	7421
179.09598	7373
179.11758	7420
179.13919	7438
179.16081	7398
179.18242	7429
179.20403	7393
179.22563	7410
179.24724	7436
179.26884	7444
179.29047	7437
179.31207	7393
179.33368	7482
179.35529	7439
179.37689	7457
179.3985	7444
179.4201	7444
179.44171	7432
179.46332	7406
179.48492	7495
179.50653	7421
179.52814	7429
179.54974	7414
179.57135	7419
179.59296	7438
179.61456	7446
179.63617	7415
179.65778	7417
179.67938	7398
179.70099	7418
179.7226	7423
179.7442	7428
179.76581	7447
179.78741	7455
179.80902	7485
179.83063	7456
179.85223	7477
179.87383	7422
179.89543	7395
179.91704	7457
179.93864	7384
179.96025	7425
179.98186	7399
180.00345	7388
180.02505	7435
180.04666	7432
180.06827	7393
180.08986	7402
180.11147	7407
180.13307	7390
180.15468	7376
180.17627	7389
180.19788	7380
180.21948	7415
180.24107	7393
180.26268	7382
180.28429	7380
180.30589	7382
180.32748	7350
180.34909	7406
180.37068	7432
180.39229	7377
180.41389	7394
180.43549	7372
180.45709	7405
180.47868	7401
