Date and Time:                Sun Jan 29 16:07:07.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              350
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



328.73563	299
328.75653	295
328.77744	302
328.79834	302
328.81924	297
328.84012	301
328.86102	302
328.88193	295
328.90283	303
328.92374	300
328.94461	303
328.96552	295
328.98642	297
329.00732	302
329.0282	295
329.0491	300
329.07001	295
329.09088	302
329.11179	303
329.13269	305
329.15359	301
329.17447	304
329.19537	302
329.21628	299
329.23715	299
329.25806	297
329.27896	301
329.29984	301
329.32074	306
329.34161	299
329.36252	299
329.38342	301
329.4043	297
329.4252	302
329.44611	304
329.46698	303
329.48788	300
329.50876	302
329.52966	292
329.55054	300
329.57144	300
329.59235	302
329.61322	301
329.63412	297
329.655	299
329.6759	301
329.69678	303
329.71768	304
329.73856	293
329.75946	297
329.78033	303
329.80124	293
329.82211	297
329.84302	302
329.86389	299
329.88477	306
329.90567	308
329.92654	306
329.94745	297
329.96832	303
329.98923	301
330.0101	300
330.03098	300
330.05188	303
330.07275	299
330.09366	299
330.11453	297
330.13541	298
330.15631	296
330.17719	302
330.19806	307
330.21896	303
330.23984	300
330.26074	296
330.28162	304
330.30249	298
330.32336	302
330.34427	298
330.36514	298
330.38602	305
330.40692	303
330.4278	302
330.44867	298
330.46954	297
330.49045	301
330.51132	305
330.5322	303
330.55307	299
330.57397	297
330.59485	297
330.61572	298
330.6366	298
330.6575	302
330.67838	292
330.69925	303
330.72012	304
330.741	303
330.76187	296
330.78278	301
330.80365	302
330.82452	302
330.8454	302
330.86627	304
330.88715	296
330.90802	305
330.92892	297
330.9498	304
330.97067	300
330.99155	295
331.01242	291
331.03329	306
331.05417	296
331.07504	298
331.09592	294
331.11679	298
331.13766	300
331.15854	300
331.17941	298
331.20029	298
331.22116	298
331.24203	293
331.26291	297
331.28378	301
331.30466	302
331.32553	303
331.34641	297
331.36728	301
331.38815	307
331.40903	301
331.4299	296
331.45078	297
331.47165	297
331.49252	306
