Date and Time:                Mon Jan 30 17:27:12.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
211.48381	352
211.50526	348
211.5267	343
211.54816	351
211.5696	345
211.59103	349
211.61249	360
211.63393	436
211.65538	523
211.67682	355
211.69826	355
211.71971	343
211.74115	396
211.76259	342
211.78404	348
211.80548	355
211.82692	357
211.84836	348
211.86981	351
211.89125	344
211.91269	353
211.93413	347
211.95558	354
211.97702	363
211.99846	349
212.0199	353
212.04134	351
212.06277	341
212.08423	358
212.10567	351
212.12711	342
212.14854	352
212.16998	349
212.19142	351
212.21286	357
212.2343	360
212.25574	343
212.27718	359
212.29861	351
212.32005	351
212.34149	356
212.36293	357
212.38437	352
212.40581	347
212.42725	352
212.44868	356
212.47012	354
212.49156	353
212.513	358
212.53444	356
212.55588	347
212.57732	356
212.59874	348
212.62018	361
212.64162	352
212.66306	346
212.68449	354
212.70593	353
212.72736	346
212.74879	352
212.77023	350
212.79167	370
212.8131	347
212.83453	356
212.85597	354
212.87741	359
212.89883	351
212.92027	367
212.94171	366
212.96313	361
212.98457	351
213.00601	356
213.02744	351
213.04887	347
213.0703	355
213.09174	353
213.11317	356
213.1346	357
213.15604	356
213.17746	357
213.1989	356
213.22032	346
213.24176	345
213.26318	345
213.28462	355
213.30605	352
213.32748	353
213.34891	354
213.37033	349
213.39177	343
213.41319	358
213.43463	359
213.45605	351
213.47748	363
213.49892	351
213.52034	349
213.54176	513
213.5632	341
213.58463	364
213.60605	347
213.62749	365
213.64891	349
213.67033	354
213.69177	364
213.7132	358
213.73462	349
213.75604	369
213.77747	359
213.7989	370
213.82033	345
213.84175	352
213.86317	349
213.8846	345
213.90602	355
213.92744	354
213.94888	345
213.97031	368
213.99173	356
214.01315	351
214.03458	347
214.056	356
214.07742	350
214.09885	374
214.12027	375
214.14169	363
214.16312	356
214.18454	347
214.20596	355
214.22739	366
214.24881	353
214.27023	347
214.29166	347
214.31308	352
214.33449	356
214.35591	347
214.37733	348
214.39876	349
214.42018	350
214.4416	346
214.46303	355
214.48444	344
214.50586	352
214.52728	361
214.54871	351
214.57011	351
214.59154	349
214.61296	345
214.63438	372
214.65579	344
214.67722	355
214.69864	350
214.72005	349
214.74147	353
214.76289	357
214.7843	355
214.80573	357
214.82715	349
214.84856	350
214.86998	354
214.89139	347
214.91281	350
214.93423	359
214.95564	343
214.97707	351
214.99847	350
215.0199	348
215.04131	346
215.06273	366
215.08414	352
215.10556	345
215.12697	347
215.14838	353
215.1698	348
215.19121	345
215.21263	361
215.23404	344
215.25545	347
215.27687	357
215.29828	346
215.31969	353
215.34111	350
215.36252	350
215.38393	355
215.40535	344
215.42676	352
215.44817	352
215.46957	344
215.491	349
215.51241	348
215.53381	354
215.55522	349
215.57663	347
215.59805	346
215.61946	354
215.64087	349
215.66228	342
215.68369	352
215.70509	352
215.7265	358
215.74792	353
215.76933	350
215.79074	350
215.81215	344
215.83356	362
215.85497	345
215.87637	346
215.89778	345
215.91919	354
215.9406	348
215.96201	352
215.98341	346
216.00482	358
216.02623	350
216.04762	351
216.06903	354
216.09044	352
216.11185	353
216.13326	353
216.15466	347
216.17607	354
216.19748	357
216.21887	349
216.24028	351
216.26169	363
216.2831	351
216.3045	356
216.3259	352
216.34731	352
216.36871	354
216.39012	350
216.41151	350
216.43292	349
216.45433	351
216.47572	353
216.49713	351
216.51854	347
216.53993	352
216.56134	344
216.58273	354
216.60414	350
216.62555	353
216.64694	350
216.66835	347
216.68974	349
216.71115	355
216.73254	348
216.75395	350
216.77534	347
216.79675	345
216.81815	350
216.83955	362
216.86095	355
216.88235	371
216.90375	354
216.92514	351
216.94655	357
216.96794	352
216.98935	352
217.01074	345
217.03214	352
217.05354	360
217.07494	345
217.09633	353
217.11774	350
217.13913	347
217.16052	346
217.18192	353
217.20332	347
217.22472	350
217.24611	352
217.2675	350
217.28891	355
217.3103	344
217.3317	351
217.35309	353
217.37448	357
217.39587	354
217.41727	349
217.43867	352
217.46007	352
217.48146	363
217.50285	352
217.52425	359
217.54564	348
217.56703	342
217.58842	341
217.60982	351
217.63121	353
217.6526	342
217.674	353
217.69539	357
217.71678	349
217.73817	351
217.75957	356
217.78096	352
217.80235	348
217.82373	349
217.84512	348
217.86652	350
217.88791	349
217.9093	346
217.93069	354
217.95209	356
217.97346	357
217.99486	350
218.01625	348
218.03764	354
218.05902	346
218.08041	345
218.10181	349
218.1232	347
218.14458	352
218.16597	352
218.18736	356
218.20874	345
218.23013	361
218.25153	349
218.2729	352
218.2943	346
218.31567	348
218.33707	357
218.35846	350
218.37984	349
218.40123	369
218.42261	351
218.444	347
218.46538	343
218.48677	349
218.50815	346
218.52954	356
218.55092	346
218.57231	356
218.59369	348
218.61507	359
218.63646	350
218.65784	353
218.67923	352
218.70061	346
218.72198	357
218.74338	363
218.76476	344
218.78613	350
218.80753	355
218.8289	346
218.85028	350
218.87166	346
218.89305	350
218.91443	351
218.93581	343
218.95718	352
218.97858	349
218.99995	357
219.02133	346
219.04271	354
219.06409	349
219.08546	360
219.10686	356
219.12823	357
219.14961	348
219.17099	349
219.19237	352
219.21375	349
219.23512	354
219.2565	347
219.27788	353
219.29926	342
219.32063	347
219.34201	357
219.36339	348
219.38477	358
219.40614	351
219.42752	367
219.4489	345
219.47028	368
219.49165	362
219.51303	357
219.53439	360
219.55577	346
219.57715	347
219.59853	350
219.6199	351
219.64128	353
219.66264	348
219.68402	352
219.7054	351
219.72678	363
219.74814	359
219.76952	360
219.79089	343
219.81227	349
219.83363	359
219.85501	357
219.87639	348
219.89775	350
219.91913	351
219.94051	356
219.96187	345
219.98325	357
220.00461	354
220.02599	362
220.04735	352
220.06873	353
220.0901	352
220.11147	349
220.13284	348
220.15421	346
220.17558	352
220.19695	355
220.21832	345
220.23969	348
220.26105	349
220.28242	358
220.30379	351
220.32516	353
220.34653	350
220.36789	356
220.38927	347
220.41063	361
220.43199	347
220.45337	348
220.47473	350
220.49609	347
220.51747	356
220.53883	351
220.5602	358
220.58156	349
220.60294	359
220.6243	352
220.64566	348
220.66702	346
220.68839	349
220.70976	349
220.73112	349
220.75249	350
220.77385	351
220.79521	352
220.81657	363
220.83794	348
220.8593	346
220.88066	345
220.90202	349
220.92339	348
220.94475	356
220.96611	353
220.98747	365
221.00883	356
221.0302	371
221.05156	347
221.07292	350
221.09428	344
221.11565	347
221.13701	359
221.15837	347
221.17973	345
221.2011	352
221.22246	346
221.2438	370
221.26517	361
221.28653	357
221.30789	351
221.32925	346
221.3506	356
221.37196	354
221.39333	354
221.41469	365
221.43604	347
221.4574	355
221.47876	353
221.50011	350
221.52147	354
221.54283	354
221.56418	353
221.58554	362
221.6069	358
221.62825	354
221.64961	348
221.67096	363
221.69232	359
221.71368	347
221.73503	351
221.75639	355
221.77774	362
221.7991	352
221.82045	348
221.84181	350
221.86316	343
221.88451	352
221.90587	359
221.92722	348
221.94858	354
221.96992	351
221.99127	353
222.01263	359
222.03398	348
222.05534	351
222.07669	357
222.09804	349
222.11938	347
222.14075	356
222.16209	353
222.18344	352
222.2048	355
222.22615	350
222.2475	353
222.26884	346
222.29019	357
222.31155	350
222.3329	359
222.35425	347
222.3756	354
222.39694	365
222.41829	350
222.43964	353
222.46098	349
222.48235	347
222.50369	354
222.52504	359
222.54639	345
222.56773	355
222.58908	350
222.61043	354
222.63177	353
222.65312	360
222.67447	349
222.69582	358
222.71715	351
222.73849	357
222.75984	356
222.78119	363
222.80254	350
222.82388	342
222.84523	348
222.86658	350
222.88791	359
222.90926	353
222.9306	350
222.95195	353
222.9733	360
222.99463	348
223.01598	350
223.03732	361
223.05867	354
223.08	351
223.10135	352
223.1227	356
223.14403	360
223.16537	357
223.18672	350
223.20805	352
223.2294	360
223.25073	357
223.27208	346
223.29343	351
223.31476	349
223.33611	354
223.35744	351
223.37878	351
223.40012	351
223.42146	357
223.44279	348
223.46414	344
223.48547	353
223.50682	363
223.52815	344
223.54948	345
223.57083	352
223.59216	365
223.61349	361
223.63484	358
223.65617	359
223.67752	343
223.69885	351
223.72018	349
223.74152	346
223.76286	350
223.78419	358
223.80553	351
223.82686	351
223.84821	352
223.86954	349
223.89087	353
223.9122	353
223.93353	350
223.95488	350
223.97621	357
223.99754	333
224.01888	358
224.04021	346
224.06154	349
224.08287	350
224.1042	346
224.12553	351
224.14687	363
224.1682	351
224.18953	352
224.21086	356
224.23219	348
224.25352	346
224.27486	349
224.29619	348
224.31752	347
224.33885	349
224.36018	354
224.38152	349
224.40285	355
224.42418	349
224.4455	348
224.46683	354
224.48816	359
224.50949	352
224.53082	350
224.55214	353
224.57347	357
224.5948	351
224.61613	348
224.63745	351
224.65878	352
224.68011	348
224.70145	338
224.72276	356
224.74409	356
224.76541	346
224.78674	348
224.80807	346
224.82939	350
224.85072	343
224.87204	348
224.89337	348
224.9147	350
224.93602	354
224.95735	347
224.97867	355
225	353
225.02132	353
225.04265	349
225.06396	355
225.08528	351
225.10661	352
225.12793	348
225.14926	354
225.17058	348
225.19189	355
225.21323	350
225.23454	353
225.25586	357
225.27719	349
225.29851	360
225.31982	344
225.34116	351
225.36247	348
225.38379	342
225.40511	353
225.42644	351
225.44775	348
225.46907	348
225.49039	356
225.5117	346
225.53304	348
225.55435	341
225.57567	350
225.59698	358
225.6183	353
225.63962	367
225.66093	350
225.68225	351
225.70357	355
225.72488	349
225.7462	362
225.76752	350
225.78883	349
225.81015	343
225.83147	343
225.85278	366
225.8741	355
225.89542	355
225.91673	357
225.93805	352
225.95937	351
225.98068	358
226.00198	357
226.0233	350
226.04462	352
226.06593	353
226.08725	347
226.10855	350
226.12987	352
226.15118	343
226.1725	348
226.1938	344
226.21512	351
226.23643	345
226.25775	357
226.27905	347
226.30037	352
226.32167	348
226.34299	351
226.3643	354
226.3856	349
226.40692	349
226.42824	352
226.44954	347
226.47086	351
226.49216	350
226.51347	347
226.53477	351
226.55609	355
226.57739	354
226.59871	431
226.62001	351
226.64131	349
226.66263	345
226.68393	350
226.70525	350
226.72655	362
226.74785	354
226.76917	353
226.79047	366
226.81177	352
226.83308	372
226.85439	355
226.87569	350
226.897	350
226.9183	353
226.93961	345
226.96091	350
226.98222	348
227.00352	351
227.02483	346
227.04613	350
227.06743	358
227.08873	351
227.11005	362
227.13135	350
227.15265	350
227.17395	351
227.19525	350
227.21655	353
227.23785	357
227.25916	344
227.28046	353
227.30176	350
227.32306	348
227.34436	350
227.36566	350
227.38696	350
227.40826	361
227.42957	343
227.45087	345
227.47217	350
227.49347	351
227.51476	352
227.53606	355
227.55736	343
227.57866	350
227.59996	350
227.62126	349
227.64255	350
227.66385	353
227.68515	348
227.70645	350
227.72774	347
227.74904	353
227.77034	357
227.79163	346
227.81293	349
227.83423	345
227.85551	351
227.87682	349
227.89812	360
227.9194	342
227.9407	345
227.96199	357
227.98329	346
228.00459	345
228.02588	349
228.04718	346
228.06847	351
228.08977	346
228.11105	351
228.13234	352
228.15364	350
228.17493	352
228.19623	346
228.21751	352
228.23882	350
228.2601	353
228.28139	349
228.30269	349
228.32397	340
228.34526	353
228.36656	342
228.38785	341
228.40913	351
228.43042	346
228.45172	362
228.47301	352
228.49429	347
228.51558	349
228.53688	348
228.55817	344
228.57945	344
228.60074	348
228.62202	346
228.64331	354
228.6646	352
228.6859	347
228.70718	352
228.72847	348
228.74976	353
228.77104	354
228.79233	347
228.81361	351
228.8349	349
228.85619	337
228.87747	349
228.89876	354
228.92004	362
228.94133	350
228.9626	345
228.98389	353
229.00517	342
229.02646	349
229.04774	347
229.06903	343
229.09032	345
229.11159	358
229.13287	348
229.15416	352
229.17545	347
229.19673	352
229.218	349
229.23929	346
229.26057	348
229.28185	350
229.30313	342
229.32442	342
229.34569	352
229.36697	346
229.38826	355
229.40953	350
229.43082	348
229.45209	347
229.47337	350
229.49466	349
229.51593	342
229.53722	352
229.55849	348
229.57977	347
229.60104	345
229.62233	347
229.6436	346
229.66489	341
229.68616	347
229.70743	347
229.72871	357
229.74998	353
229.77126	344
