Date and Time:                Mon Jan 30 17:26:18.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	12200
203.10698	11645
203.12848	11588
203.14999	11637
203.17151	11623
203.19302	11717
203.21452	11748
203.23604	11730
203.25755	11711
203.27905	11746
203.30057	11679
203.32208	11568
203.34358	11593
203.3651	11688
203.38661	11660
203.40811	11738
203.42963	11773
203.45113	11762
203.47264	11806
203.49416	11831
203.51566	11796
203.53717	11860
203.55867	11873
203.58018	11859
203.60168	11871
203.6232	11854
203.6447	11977
203.66621	11974
203.68771	11957
203.70923	11927
203.73073	11959
203.75224	12063
203.77374	12009
203.79526	12049
203.81676	12017
203.83827	12049
203.85977	12071
203.88127	12101
203.90279	12137
203.92429	12106
203.94579	12177
203.9673	12189
203.9888	12089
204.01031	12140
204.03181	12098
204.05331	12207
204.07481	12191
204.09633	12147
204.11783	12183
204.13933	12259
204.16084	12202
204.18234	12166
204.20384	12256
204.22534	12283
204.24684	12247
204.26836	12303
204.28986	12321
204.31136	12347
204.33286	12388
204.35435	12380
204.37587	12341
204.39737	12373
204.41887	12404
204.44037	12373
204.46187	12310
204.48337	12326
204.50487	12328
204.52637	12304
204.54787	12308
204.56937	12202
204.59087	12205
204.61237	12291
204.63387	12346
204.65536	12374
204.67688	12316
204.69836	12311
204.71986	12268
204.74136	12303
204.76286	12285
204.78436	12284
204.80586	12328
204.82736	12280
204.84886	12373
204.87036	12360
204.89186	12354
204.91336	12408
204.93486	12553
204.95636	12531
204.97784	12463
204.99934	12433
205.02084	12522
205.04234	12453
205.06384	12507
205.08534	12444
205.10683	12542
205.12833	12555
205.14983	12557
205.17133	12490
205.19281	12566
205.21431	12643
205.23581	12622
205.25731	12540
205.27879	12564
205.30029	12612
205.32179	12628
205.34328	12702
205.36478	12798
205.38628	12807
205.40776	12767
205.42926	12718
205.45074	12666
205.47224	12606
205.49374	12665
205.51523	12696
205.53673	12750
205.55821	12775
