Date and Time:                Mon Oct 10 12:43:30.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	522
192.05646	510
192.078	504
192.09956	497
192.12112	493
192.14268	504
192.16425	480
192.18581	469
192.20735	457
192.22891	456
192.25047	467
192.27203	479
192.29358	470
192.31514	471
192.3367	478
192.35826	460
192.37981	479
192.40137	476
192.42293	494
192.44449	476
192.46603	473
192.48759	477
192.50916	501
192.5307	498
192.55226	489
192.57381	477
192.59537	477
192.61693	478
192.63847	491
192.66003	501
192.68159	483
192.70314	481
192.7247	461
192.74625	486
192.76781	515
192.78935	524
192.81091	509
192.83246	502
192.85402	499
192.87556	491
192.89713	483
192.91867	507
192.94023	507
192.96178	505
192.98334	531
193.00488	518
193.02643	516
193.04799	482
193.06953	496
193.09109	493
193.11264	514
193.13419	518
193.15575	523
193.17729	523
193.19884	523
193.2204	525
193.24194	506
193.26349	527
193.28505	508
193.30659	523
193.32814	522
193.34969	514
193.37125	547
193.39279	519
193.41434	514
193.43588	515
193.45744	509
193.47899	516
193.50053	529
193.52208	531
193.54362	535
193.56517	522
193.58673	544
193.60828	523
193.62982	543
193.65137	532
193.67291	527
193.69446	513
193.716	513
193.73755	520
193.75909	516
193.78064	525
193.80219	521
193.82375	527
193.84529	517
193.86684	528
193.88838	530
193.90993	534
193.93147	536
193.953	540
193.97455	523
193.99609	523
194.01764	537
194.03918	525
194.06073	529
194.08228	534
194.10382	535
194.12537	528
194.14691	541
194.16846	534
194.18999	535
194.21153	529
194.23308	529
194.25462	536
194.27617	531
194.29771	539
194.31924	528
194.34079	540
194.36234	552
194.38388	552
194.40541	521
194.42696	534
194.4485	534
194.47005	527
194.49158	528
194.51312	496
194.53467	491
194.5562	509
194.57774	511
194.59929	505
194.62082	497
194.64236	522
194.66391	509
194.68544	501
194.70699	509
194.72852	549
194.75006	532
194.77161	503
194.79314	495
194.81468	548
194.83621	541
194.85776	533
194.87929	517
194.90083	507
