Date and Time:                Mon Oct 10 12:35:26.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	530
192.05646	512
192.078	509
192.09956	502
192.12112	508
192.14268	503
192.16425	483
192.18581	481
192.20735	460
192.22891	465
192.25047	461
192.27203	483
192.29358	463
192.31514	471
192.3367	482
192.35826	467
192.37981	470
192.40137	481
192.42293	502
192.44449	471
192.46603	481
192.48759	488
192.50916	508
192.5307	505
192.55226	477
192.57381	486
192.59537	463
192.61693	484
192.63847	491
192.66003	505
192.68159	490
192.70314	475
192.7247	473
192.74625	494
192.76781	503
192.78935	515
192.81091	522
192.83246	518
192.85402	504
192.87556	489
192.89713	495
192.91867	513
192.94023	513
192.96178	517
192.98334	527
193.00488	523
193.02643	507
193.04799	484
193.06953	506
193.09109	513
193.11264	517
193.13419	526
193.15575	526
193.17729	540
193.19884	534
193.2204	524
193.24194	506
193.26349	524
193.28505	521
193.30659	525
193.32814	537
193.34969	526
193.37125	554
193.39279	522
193.41434	521
193.43588	516
193.45744	530
193.47899	509
193.50053	544
193.52208	531
193.54362	537
193.56517	539
193.58673	547
193.60828	533
193.62982	545
193.65137	549
193.67291	532
193.69446	518
193.716	508
193.73755	522
193.75909	525
193.78064	537
193.80219	520
193.82375	527
193.84529	525
193.86684	526
193.88838	528
193.90993	535
193.93147	533
193.953	543
193.97455	523
193.99609	519
194.01764	541
194.03918	536
194.06073	538
194.08228	536
194.10382	542
194.12537	536
194.14691	542
194.16846	553
194.18999	548
194.21153	532
194.23308	536
194.25462	531
194.27617	532
194.29771	544
194.31924	546
194.34079	545
194.36234	556
194.38388	561
194.40541	540
194.42696	543
194.4485	551
194.47005	539
194.49158	526
194.51312	501
194.53467	501
194.5562	510
194.57774	509
194.59929	519
194.62082	490
194.64236	524
194.66391	516
194.68544	497
194.70699	510
194.72852	547
194.75006	535
194.77161	508
194.79314	510
194.81468	542
194.83621	549
194.85776	541
194.87929	512
194.90083	516
