Date and Time:                Sat Jan 28 15:56:22.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	5066
233.25017	4852
233.27155	4867
233.29292	4818
233.3143	4843
233.33568	4881
233.35706	4910
233.37842	4891
233.3998	4853
233.42117	4844
233.44255	4831
233.46393	4777
233.48531	4791
233.50668	4831
233.52805	4805
233.54942	4846
233.5708	4870
233.59218	4842
233.61356	4847
233.63492	4864
233.6563	4828
233.67767	4878
233.69904	4866
233.72041	4889
233.74179	4921
233.76317	4890
233.78453	4872
233.80591	4919
233.82729	4905
233.84865	4905
233.87003	4921
233.89139	4993
233.91277	4990
233.93414	4965
233.95551	4946
233.97688	4981
233.99825	4955
234.01962	4979
234.04099	4999
234.06236	5016
234.08374	5028
234.1051	4973
234.12648	4937
234.14784	4953
234.16922	4991
234.19058	5019
234.21194	5021
234.23332	5012
234.25468	5011
234.27606	5020
234.29742	5022
234.31879	5028
234.34016	5013
234.36153	5056
234.3829	5088
234.40427	5036
234.42563	5017
234.44701	5068
234.46837	5072
234.48973	5105
234.51111	5116
234.53247	5074
234.55383	5053
234.5752	5075
234.59657	5095
234.61794	5073
234.6393	5051
234.66066	5049
234.68202	5025
234.7034	5011
234.72476	4976
234.74612	4979
234.76749	4995
234.78885	4986
234.81021	5008
234.83159	4986
234.85295	4979
234.87431	4972
234.89568	4991
234.91704	4990
234.9384	4958
234.95976	5005
234.98112	5027
235.00249	5012
235.02385	5052
235.04521	5038
235.06657	5077
235.08794	5014
235.1093	5043
235.13066	5022
235.15202	5026
235.17339	5065
235.19475	4999
235.21611	4993
235.23747	5018
235.25883	5032
235.28018	5023
235.30154	5007
235.32291	5099
235.34427	5075
235.36563	5054
235.38699	5060
235.40836	5031
235.4297	5090
235.45107	5084
235.47243	5135
235.49379	5104
235.51514	5155
235.5365	5149
235.55786	5090
235.57922	5121
235.60057	5108
235.62193	5106
235.6433	5121
235.66464	5151
235.686	5164
235.70737	5173
