Date and Time:                Sun Jan 29 14:43:21.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              350
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



328.73563	37841
328.75653	36532
328.77744	36526
328.79834	36280
328.81924	36162
328.84012	36654
328.86102	36339
328.88193	36209
328.90283	35786
328.92374	35671
328.94461	35402
328.96552	35067
328.98642	34723
329.00732	34913
329.0282	34891
329.0491	34745
329.07001	34601
329.09088	34549
329.11179	34498
329.13269	34444
329.15359	34246
329.17447	34280
329.19537	34160
329.21628	34191
329.23715	34002
329.25806	33779
329.27896	33612
329.29984	33483
329.32074	33562
329.34161	33554
329.36252	33666
329.38342	33659
329.4043	33850
329.4252	33721
329.44611	33346
329.46698	33543
329.48788	33688
329.50876	33662
329.52966	33704
329.55054	33829
329.57144	33535
329.59235	33617
329.61322	33362
329.63412	33471
329.655	33327
329.6759	33544
329.69678	33499
329.71768	33532
329.73856	33327
329.75946	33131
329.78033	33063
329.80124	32995
329.82211	33102
329.84302	33368
329.86389	33358
329.88477	33067
329.90567	32945
329.92654	32889
329.94745	33107
329.96832	33355
329.98923	33280
330.0101	33113
330.03098	33222
330.05188	33229
330.07275	33171
330.09366	33060
330.11453	32877
330.13541	32757
330.15631	32369
330.17719	32294
330.19806	32171
330.21896	32044
330.23984	31977
330.26074	31848
330.28162	31971
330.30249	31835
330.32336	31906
330.34427	31648
330.36514	31610
330.38602	31570
330.40692	31649
330.4278	31672
330.44867	32102
330.46954	32313
330.49045	32343
330.51132	32287
330.5322	32224
330.55307	32211
330.57397	31654
330.59485	31644
330.61572	31866
330.6366	31853
330.6575	31713
330.67838	31524
330.69925	31394
330.72012	31270
330.741	31254
330.76187	31150
330.78278	31565
330.80365	31693
330.82452	31613
330.8454	31204
330.86627	31159
330.88715	31482
330.90802	31698
330.92892	31887
330.9498	31900
330.97067	32125
330.99155	31951
331.01242	31772
331.03329	31734
331.05417	31604
331.07504	31606
331.09592	31636
331.11679	31888
331.13766	31729
331.15854	31832
