Date and Time:                Tue Apr 26 17:00:03.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



298.5668	8204
298.58786	7791
298.60892	7864
298.62997	7852
298.65103	7948
298.67209	7957
298.69315	7893
298.7142	7916
298.73526	7994
298.75632	8022
298.77737	8056
298.79843	7983
298.81949	8024
298.84055	8053
298.8616	8085
298.88266	8062
298.90372	8112
298.92477	8287
298.9458	8310
298.96686	8321
298.98792	8274
299.00897	8302
299.03003	8331
299.05109	8364
299.07214	8346
299.0932	8352
299.11426	8381
299.13531	8439
299.15634	8420
299.1774	8536
299.19846	8677
299.21951	8692
299.24057	8780
299.26163	8848
299.28268	8865
299.30371	8844
299.32477	8866
299.34583	8892
299.36688	9050
299.38794	9141
299.40897	9109
299.43002	9242
299.45108	9363
299.47214	9369
299.49319	9428
299.51422	9452
299.53528	9492
299.55634	9524
299.57739	9512
299.59842	9625
299.61948	9789
299.64053	9819
299.66159	9852
299.68262	9862
299.70367	9856
299.72473	9910
299.74576	9884
299.76682	9954
299.78787	10054
299.8089	10103
299.82996	10048
299.85101	10055
299.87204	10087
299.8931	10089
299.91415	10026
299.93518	10082
299.95624	10115
299.97729	10041
299.99832	10035
300.01938	9970
300.04041	10082
300.06146	10019
300.08252	9996
300.10355	9988
300.1246	10054
300.14563	9996
300.16669	9953
300.18771	9942
300.20877	9907
300.22983	9822
300.25085	9844
300.27191	9740
300.29294	9681
300.314	9670
300.33502	9571
300.35608	9615
300.37711	9661
300.39816	9549
300.41919	9587
300.44025	9503
300.46127	9522
300.48233	9452
300.50336	9470
300.52441	9578
300.54544	9573
300.56647	9522
300.58752	9573
300.60855	9528
300.62961	9476
300.65063	9432
300.67169	9433
300.69272	9442
300.71375	9408
300.7348	9355
300.75583	9315
300.77686	9277
300.79791	9249
300.81894	9234
300.84	9211
300.86102	9283
300.88205	9330
300.90311	9414
300.92413	9367
300.94516	9275
300.96622	9245
300.98724	9283
301.00827	9263
