Date and Time:                Tue Apr 26 17:02:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
305.7572	9718
305.77817	9776
305.79916	9744
305.82016	9823
305.84116	9881
305.86212	9878
305.88312	9861
305.90411	9887
305.92511	9876
305.94608	9920
305.96707	9905
305.98807	9862
306.00906	9924
306.03003	9922
306.05103	9875
306.07202	9975
306.09299	10047
306.11398	10017
306.13498	10081
306.15594	10060
306.17694	10148
306.19794	10158
306.2189	10247
306.2399	10269
306.26086	10451
306.28186	10516
306.30286	10534
306.32382	10592
306.34482	10629
306.36581	10643
306.38678	10592
306.40778	10680
306.42874	10709
306.44974	10736
306.4707	10755
306.4917	10754
306.51266	10845
306.53366	10858
306.55466	10950
306.57562	11016
306.59662	11163
306.61758	11314
306.63858	11320
306.65955	11295
306.68054	11307
306.70151	11404
306.72247	11486
306.74347	11548
306.76443	11713
306.78543	11742
306.8064	11772
306.82739	11825
306.84836	11912
306.86935	11948
306.89032	11999
306.91129	12043
306.93228	12177
306.95325	12286
306.97424	12235
306.99521	12313
307.01617	12291
307.03717	12407
307.05814	12401
307.0791	12438
307.1001	12465
307.12106	12471
307.14203	12485
307.16302	12538
307.18399	12566
307.20496	12656
307.22595	12757
307.24692	12873
307.26788	12907
307.28888	12923
307.30984	12952
307.33081	12970
307.35178	12915
307.37277	12896
307.39374	12869
307.4147	12975
307.43567	12982
307.45667	12885
307.47763	12864
307.4986	12770
307.51956	12852
307.54053	12813
307.56152	12846
307.58249	12802
307.60345	12789
307.62442	12797
307.64539	12749
307.66635	12772
307.68735	12963
307.70831	12940
307.72928	12803
307.75024	12751
307.77121	12677
307.79218	12547
307.81314	12480
307.83411	12427
307.8551	12395
307.87607	12424
307.89703	12329
307.918	12267
307.93896	12094
307.95993	12000
307.9809	11946
308.00186	12028
308.02283	11974
308.04379	11937
308.06476	11824
308.08572	11715
308.10669	11669
308.12766	11534
308.14862	11586
308.16959	11561
308.19055	11603
308.21152	11587
308.23248	11460
308.25345	11373
308.27441	11313
308.29538	11255
308.31635	11205
308.33731	11137
308.35828	11052
308.37924	10954
308.40021	10856
308.42114	10850
308.44211	10748
308.46307	10674
308.48404	10602
308.505	10444
308.52597	10393
308.54694	10445
308.5679	10395
308.58884	10448
308.6098	10338
308.63077	10279
308.65173	10292
308.6727	10328
308.69366	10329
308.7146	10285
308.73557	10260
308.75653	10299
308.7775	10239
308.79846	10225
308.8194	10113
308.84036	10100
308.86133	10086
308.88229	9983
308.90323	9941
308.92419	9929
308.94516	9964
308.96613	9986
308.98706	9985
309.00803	10017
309.02899	10015
309.04993	9989
309.07089	9856
309.09186	9854
309.11279	9889
309.13376	9857
309.15472	9927
309.17566	9962
309.19662	9997
309.21759	9981
309.23853	9933
309.25949	9900
309.28043	9920
309.30139	9980
309.32236	10002
309.34329	10037
309.36426	10071
309.38519	10055
309.40616	10045
309.42712	10156
309.44806	10202
309.46902	10234
309.48996	10292
309.51093	10310
309.53186	10326
309.55283	10285
309.57376	10303
309.59473	10411
309.61566	10506
309.63663	10550
309.65756	10527
309.67853	10555
309.69946	10584
309.72043	10691
309.74136	10722
309.76233	10777
309.78326	10751
309.8042	10812
309.82516	10828
309.8461	10911
309.86707	10958
309.888	11045
309.90897	10937
309.9299	10971
309.95084	10943
309.9718	11023
309.99274	11198
310.01367	11310
