Date and Time:                Wed May 25 12:27:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	322
262.0311	313
262.04095	322
262.05078	317
262.06061	330
262.07043	321
262.08026	323
262.09009	320
262.09991	330
262.10974	317
262.11957	319
262.12939	315
262.13922	319
262.14905	323
262.15887	319
262.1687	323
262.17853	315
262.18835	322
262.19818	318
262.20801	324
262.21783	319
262.22766	317
262.23749	314
262.24731	317
262.25714	323
262.26697	321
262.27676	320
262.28659	318
262.29642	317
262.30624	328
262.31607	321
262.3259	326
262.33572	321
262.34555	323
262.35538	321
262.3652	320
262.37503	323
262.38486	323
262.39465	318
262.40448	319
262.41431	323
262.42413	322
262.43396	323
262.44379	318
262.45361	323
262.46344	323
262.47324	327
262.48306	318
262.49289	314
262.50272	322
262.51254	328
262.52237	326
262.53217	320
262.54199	322
262.55182	325
262.56165	316
262.57147	325
262.5813	321
262.59109	323
262.60092	318
262.61075	317
262.62057	316
262.63037	324
262.6402	321
262.65002	319
262.65985	320
262.66968	324
262.67947	320
262.6893	321
262.69913	326
262.70895	321
262.71875	319
262.72858	329
262.7384	316
262.7482	319
262.75803	323
262.76785	326
262.77768	319
262.78748	321
262.7973	326
262.80713	323
262.81693	318
262.82675	318
262.83658	318
262.84637	325
262.8562	325
262.86603	327
262.87585	323
262.88565	320
262.89548	325
262.90527	323
262.9151	317
262.92493	324
262.93472	319
262.94455	323
262.95438	325
262.96417	321
262.974	319
262.98383	317
262.99362	327
263.00345	318
263.01324	322
263.02307	321
263.0329	323
263.04269	325
263.05252	318
263.06232	322
263.07214	327
263.08194	325
263.09177	313
263.10159	320
263.11139	322
263.12122	327
263.13101	324
263.14084	318
263.15063	320
263.16046	322
263.17026	327
263.18008	320
263.18988	321
263.19971	319
263.2095	319
263.21933	324
263.22913	313
263.23895	325
263.24875	323
263.25858	327
263.26837	321
263.2782	319
263.28799	326
263.29782	323
263.30762	331
263.31744	326
263.32724	316
