Date and Time:                Sat Nov 11 15:34:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	399
278.47992	396
278.50107	386
278.52225	387
278.5434	402
278.56454	389
278.58572	390
278.60687	389
278.62802	383
278.6492	389
278.67035	389
278.6915	393
278.71268	393
278.73383	386
278.75497	391
278.77615	389
278.7973	390
278.81845	386
278.83963	393
278.86078	380
278.88193	388
278.90308	382
278.92426	401
278.9454	388
278.96655	391
278.9877	390
279.00888	394
279.03003	383
279.05118	393
279.07233	376
279.09348	383
279.11465	391
279.1358	384
279.15695	393
279.1781	391
279.19925	389
279.22043	387
279.24158	389
279.26273	390
279.28387	391
279.30502	385
279.32617	393
279.34732	387
279.3685	382
279.38965	405
279.4108	397
279.43195	382
279.45309	381
279.47424	385
279.49539	380
279.51654	376
279.53769	389
279.55884	384
279.58002	389
279.60117	384
279.62231	393
279.64346	385
279.66461	398
279.68576	386
279.70691	381
279.72806	380
279.74921	384
279.77036	396
279.7915	378
279.81265	392
279.8338	388
279.85495	387
279.8761	378
279.89725	394
279.9184	390
279.93954	387
279.96069	387
279.98184	395
280.00299	381
280.02411	390
280.04526	392
280.06641	384
280.08755	381
280.1087	375
280.12985	382
280.151	375
280.17215	384
280.1933	382
280.21445	384
280.23557	380
280.25671	385
280.27786	369
280.29901	378
280.32016	387
280.34131	380
280.36246	389
280.38358	380
280.40472	392
280.42587	375
280.44702	376
280.46817	379
280.48929	380
280.51044	386
280.53159	376
280.55273	381
280.57388	378
280.595	375
280.61615	374
280.6373	385
280.65845	380
280.67957	378
280.70071	371
280.72186	382
280.74301	388
280.76413	387
280.78528	381
280.80643	372
280.82755	378
280.84869	380
280.86984	380
280.89096	376
280.91211	373
280.93326	379
280.95438	376
280.97552	389
280.99667	372
281.01779	378
281.03894	373
281.06009	378
281.08121	384
281.10236	384
281.12347	378
281.14462	376
281.16577	378
281.18689	378
281.20804	383
281.22916	383
281.25031	373
281.27145	382
