Date and Time:                Sat Nov 11 15:33:15.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	1008
278.47992	948
278.50107	955
278.52225	955
278.5434	952
278.56454	947
278.58572	957
278.60687	958
278.62802	960
278.6492	962
278.67035	951
278.6915	950
278.71268	939
278.73383	959
278.75497	953
278.77615	953
278.7973	945
278.81845	952
278.83963	949
278.86078	958
278.88193	949
278.90308	934
278.92426	956
278.9454	945
278.96655	942
278.9877	942
279.00888	947
279.03003	938
279.05118	934
279.07233	937
279.09348	939
279.11465	948
279.1358	944
279.15695	937
279.1781	949
279.19925	956
279.22043	929
279.24158	942
279.26273	946
279.28387	942
279.30502	930
279.32617	928
279.34732	931
279.3685	935
279.38965	946
279.4108	920
279.43195	926
279.45309	929
279.47424	933
279.49539	932
279.51654	941
279.53769	914
279.55884	929
279.58002	936
279.60117	941
279.62231	929
279.64346	930
279.66461	947
279.68576	931
279.70691	936
279.72806	944
279.74921	924
279.77036	950
279.7915	925
279.81265	926
279.8338	936
279.85495	941
279.8761	932
279.89725	938
279.9184	943
279.93954	941
279.96069	930
279.98184	942
280.00299	928
280.02411	945
280.04526	942
280.06641	926
280.08755	932
280.1087	945
280.12985	934
280.151	939
280.17215	939
280.1933	936
280.21445	938
280.23557	946
280.25671	936
280.27786	947
280.29901	940
280.32016	935
280.34131	944
280.36246	939
280.38358	935
280.40472	944
280.42587	945
280.44702	933
280.46817	936
280.48929	946
280.51044	936
280.53159	930
280.55273	935
280.57388	938
280.595	934
280.61615	941
280.6373	935
280.65845	919
280.67957	936
280.70071	937
280.72186	941
280.74301	954
280.76413	945
280.78528	930
280.80643	936
280.82755	940
280.84869	926
280.86984	930
280.89096	936
280.91211	934
280.93326	934
280.95438	926
280.97552	933
280.99667	929
281.01779	932
281.03894	937
281.06009	921
281.08121	933
281.10236	931
281.12347	941
281.14462	931
281.16577	926
281.18689	930
281.20804	935
281.22916	930
281.25031	918
281.27145	921
