Date and Time:                Sat Jan 28 14:51:02.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	299
318.6994	300
318.72034	310
318.7413	303
318.76227	302
318.7832	298
318.80417	296
318.8251	298
318.84607	301
318.867	309
318.88797	299
318.90891	297
318.92987	301
318.95081	302
318.97177	301
318.99271	308
319.01367	296
319.03461	296
319.05557	302
319.07651	302
319.09747	302
319.11841	296
319.13937	304
319.16031	299
319.18127	304
319.20221	300
319.22318	297
319.24411	298
319.26505	303
319.28601	302
319.30695	304
319.32791	299
319.34885	301
319.36978	297
319.39075	296
319.41168	300
319.43262	304
319.45358	301
319.47452	300
319.49545	298
319.51642	304
319.53735	302
319.55829	302
319.57925	309
319.60019	300
319.62112	296
319.64209	300
319.66302	304
319.68396	304
319.7049	297
319.72586	304
319.7468	294
319.76773	304
319.78867	309
319.80963	304
319.83057	301
319.8515	304
319.87244	300
319.8934	303
319.91434	307
319.93527	304
319.95621	295
319.97714	298
319.99811	303
320.01904	302
320.03998	294
320.06091	298
320.08185	306
320.10278	296
320.12375	298
320.14468	299
320.16562	303
320.18655	301
320.20749	299
320.22842	298
320.24936	300
320.27029	298
320.29123	300
320.31216	296
320.33313	304
320.35406	300
320.375	302
320.39594	300
320.41687	298
320.43781	311
320.45874	306
320.47968	302
320.50061	305
320.52155	307
320.54248	298
320.56342	297
320.58435	299
320.60529	298
320.62622	306
320.64716	300
320.66809	303
320.68903	299
320.70996	304
320.7309	300
320.75183	299
320.77274	302
320.79367	294
320.81461	302
320.83554	295
320.85648	297
320.87741	296
320.89835	300
320.91928	301
320.94022	302
320.96115	302
320.98206	302
321.00299	300
321.02393	309
321.04486	303
321.0658	301
321.08673	304
321.10764	303
321.12857	304
321.14951	299
321.17044	294
321.19138	298
321.21228	304
321.23322	297
321.25415	298
321.27509	298
321.29602	299
321.31693	298
321.33786	302
321.3588	303
321.37973	302
321.40063	302
321.42157	301
321.4425	302
