Date and Time:                Sat Jan 28 15:17:23.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         20
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              380
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



358.91272	350
358.93347	347
358.95419	355
358.97491	351
358.99567	345
359.01639	349
359.03711	348
359.05786	347
359.07858	345
359.0993	348
359.12003	349
359.14078	346
359.1615	347
359.18222	347
359.20294	345
359.22369	349
359.24442	352
359.26514	346
359.28586	350
359.30658	346
359.32733	347
359.34805	347
359.36877	348
359.3895	343
359.41022	350
359.43094	343
359.45169	346
359.47241	345
359.49313	345
359.51385	346
359.53458	343
359.5553	346
359.57602	344
359.59674	348
359.61749	350
359.63821	346
359.65894	343
359.67966	350
359.70038	347
359.7211	350
359.74182	341
359.76254	348
359.78326	343
359.80399	350
359.82471	348
359.84543	347
359.86615	349
359.88687	347
359.90759	350
359.92831	340
359.94904	339
359.96976	340
359.99048	347
360.0112	352
360.03192	351
360.05264	342
360.07336	342
360.09409	351
360.11481	350
360.13553	347
360.15625	349
360.17694	342
360.19766	351
360.21838	342
360.23911	349
360.25983	341
360.28055	348
360.30127	337
360.32199	347
360.34268	342
360.3634	343
360.38412	345
360.40485	353
360.42557	345
360.44626	353
360.46698	343
360.4877	347
360.50842	336
360.52914	349
360.54984	345
360.57056	343
360.59128	347
360.612	343
360.63269	346
360.65341	342
360.67413	340
360.69485	342
360.71555	347
360.73627	344
360.75699	341
360.77768	345
360.7984	339
360.81912	343
360.83981	338
360.86053	340
360.88126	335
360.90195	343
360.92267	340
360.94339	339
360.96408	341
360.9848	344
361.00552	339
361.02621	335
361.04694	340
361.06763	338
361.08835	347
361.10907	332
361.12976	347
361.15048	342
361.17117	342
361.19189	341
361.21259	335
361.23331	337
361.254	329
361.27472	344
361.29541	336
361.31613	340
361.33682	337
361.35754	343
361.37823	338
361.39896	336
361.41965	339
361.44037	343
361.46106	335
361.48178	333
361.50247	342
361.52319	336
361.54388	332
361.56458	338
361.5853	343
361.60599	342
361.62671	337
361.6474	337
361.66809	334
