Date and Time:                Thu Feb 2 16:58:24.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	311
261.39099	307
261.41223	312
261.4335	301
261.45474	308
261.47598	297
261.49722	308
261.51846	307
261.5397	314
261.56094	302
261.58218	302
261.60342	310
261.62466	305
261.6459	300
261.66718	307
261.68842	307
261.70966	306
261.7309	306
261.75214	310
261.77338	306
261.79462	313
261.81586	308
261.8371	303
261.85834	304
261.87958	304
261.90082	302
261.92206	305
261.9433	312
261.96454	301
261.98578	305
262.00702	302
262.02826	305
262.0495	303
262.07071	306
262.09195	296
262.11319	307
262.13443	312
262.15567	302
262.17691	305
262.19815	305
262.21939	303
262.24063	299
262.26187	302
262.28311	303
262.30432	307
262.32556	306
262.3468	307
262.36804	308
262.38928	303
262.41052	305
262.43176	303
262.45297	302
262.47421	311
262.49545	309
262.51669	307
262.53793	304
262.55917	305
262.58038	301
262.60162	313
262.62286	306
262.6441	302
262.66531	305
262.68655	305
262.70779	304
262.72903	296
262.75024	311
262.77148	305
262.79272	308
262.81396	307
262.83517	312
262.85641	310
262.87766	310
262.8989	303
262.9201	305
262.94135	300
262.96259	303
262.9838	301
263.00504	306
263.02628	310
263.04749	302
263.06873	306
263.08997	304
263.11118	306
263.13242	307
263.15366	302
263.17487	300
263.19611	303
263.21732	311
263.23856	305
263.2598	307
263.28101	307
263.30225	303
263.32346	312
263.3447	301
263.36594	304
263.38715	304
263.40839	305
263.4296	306
263.45084	303
263.47205	309
263.49329	314
263.51453	310
263.53574	303
263.55698	307
263.57819	305
263.59943	308
263.62064	301
263.64188	306
263.66309	305
263.68433	307
263.70554	304
263.72678	307
263.74799	304
263.7692	304
263.79044	304
263.81165	306
263.83289	308
263.8541	308
263.87534	306
263.89655	300
263.91779	300
263.939	305
263.96021	302
263.98145	302
264.00266	307
264.0239	303
264.0451	306
264.06631	306
264.08755	302
264.10876	305
264.12997	307
264.15121	308
264.17242	299
