Date and Time:                Thu Feb 2 16:57:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
269.64087	307
269.66205	310
269.68323	301
269.70438	312
269.72556	308
269.74673	303
269.76791	305
269.78906	309
269.81024	300
269.83142	309
269.85257	306
269.87375	301
269.8949	302
269.91608	308
269.93726	305
269.9584	302
269.97958	303
270.00076	307
270.02191	300
270.04309	309
270.06424	302
270.08542	304
270.10657	304
270.12775	305
270.14893	306
270.17007	309
270.19125	297
270.2124	303
270.23358	311
270.25473	304
270.27591	308
270.29706	301
270.31824	304
270.33939	312
270.36057	300
270.38171	302
270.40289	310
270.42404	307
270.44522	306
270.46637	304
270.48755	304
270.5087	303
270.52988	305
270.55103	303
270.57217	302
270.59335	310
270.6145	306
270.63568	310
270.65683	304
270.67798	301
270.69916	305
270.72031	302
270.74149	304
270.76263	306
270.78378	299
270.80496	302
270.82611	302
270.84726	306
270.86844	312
270.88959	309
270.91074	309
270.93192	307
270.95306	307
270.97421	303
270.99539	309
271.01654	306
271.03769	306
271.05884	305
271.08002	298
271.10117	310
271.12231	303
271.14346	296
271.16464	304
271.18579	307
271.20694	303
271.22809	301
271.24927	309
271.27042	302
271.29156	310
271.31271	303
271.33386	307
271.35504	314
271.37619	304
271.39734	304
271.41849	306
271.43964	303
271.46078	304
271.48196	308
271.50311	305
271.52426	306
271.54541	310
271.56656	307
271.58771	308
271.60886	302
271.63	305
271.65115	309
271.67233	307
271.69348	315
271.71463	303
271.73578	307
271.75693	308
271.77808	306
271.79922	303
271.82037	309
271.84152	301
271.86267	306
271.88382	305
271.90497	307
271.92612	305
271.94727	301
271.96841	306
271.98956	309
272.01071	314
272.03186	306
272.05301	297
272.07416	302
272.09531	314
272.11646	306
272.1376	302
272.15875	308
272.1799	310
272.20105	308
272.22217	304
272.24332	302
272.26447	308
272.28561	305
272.30676	302
272.32791	308
272.34906	307
272.37021	305
272.39133	304
272.41248	303
272.43362	303
272.45477	306
272.47592	301
272.49707	307
272.51819	308
272.53934	303
272.56049	302
272.58163	303
