Date and Time:                Thu Feb 2 16:57:08.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	309
261.39099	304
261.41223	305
261.4335	309
261.45474	308
261.47598	308
261.49722	311
261.51846	304
261.5397	307
261.56094	298
261.58218	309
261.60342	308
261.62466	306
261.6459	306
261.66718	307
261.68842	302
261.70966	308
261.7309	303
261.75214	304
261.77338	307
261.79462	308
261.81586	304
261.8371	308
261.85834	305
261.87958	303
261.90082	305
261.92206	303
261.9433	303
261.96454	310
261.98578	304
262.00702	306
262.02826	310
262.0495	301
262.07071	303
262.09195	307
262.11319	309
262.13443	309
262.15567	302
262.17691	307
262.19815	307
262.21939	303
262.24063	305
262.26187	304
262.28311	310
262.30432	305
262.32556	301
262.3468	299
262.36804	312
262.38928	307
262.41052	305
262.43176	304
262.45297	306
262.47421	303
262.49545	301
262.51669	306
262.53793	305
262.55917	299
262.58038	305
262.60162	305
262.62286	304
262.6441	308
262.66531	307
262.68655	314
262.70779	303
262.72903	309
262.75024	313
262.77148	302
262.79272	304
262.81396	302
262.83517	300
262.85641	309
262.87766	311
262.8989	313
262.9201	311
262.94135	301
262.96259	308
262.9838	308
263.00504	314
263.02628	301
263.04749	309
263.06873	307
263.08997	309
263.11118	309
263.13242	302
263.15366	306
263.17487	305
263.19611	302
263.21732	310
263.23856	300
263.2598	307
263.28101	310
263.30225	307
263.32346	303
263.3447	306
263.36594	305
263.38715	307
263.40839	307
263.4296	304
263.45084	306
263.47205	309
263.49329	297
263.51453	306
263.53574	310
263.55698	303
263.57819	303
263.59943	299
263.62064	308
263.64188	305
263.66309	309
263.68433	305
263.70554	309
263.72678	301
263.74799	306
263.7692	301
263.79044	302
263.81165	304
263.83289	304
263.8541	307
263.87534	310
263.89655	300
263.91779	305
263.939	303
263.96021	302
263.98145	304
264.00266	307
264.0239	307
264.0451	308
264.06631	310
264.08755	307
264.10876	302
264.12997	303
264.15121	302
264.17242	305
