Date and Time:                Thu Feb 2 16:56:40.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
269.64087	305
269.66205	305
269.68323	307
269.70438	307
269.72556	309
269.74673	303
269.76791	309
269.78906	306
269.81024	307
269.83142	307
269.85257	303
269.87375	307
269.8949	310
269.91608	308
269.93726	311
269.9584	311
269.97958	310
270.00076	297
270.02191	312
270.04309	303
270.06424	310
270.08542	301
270.10657	303
270.12775	306
270.14893	304
270.17007	304
270.19125	308
270.2124	307
270.23358	312
270.25473	305
270.27591	309
270.29706	309
270.31824	309
270.33939	304
270.36057	307
270.38171	298
270.40289	305
270.42404	301
270.44522	305
270.46637	311
270.48755	305
270.5087	309
270.52988	308
270.55103	304
270.57217	305
270.59335	309
270.6145	304
270.63568	304
270.65683	308
270.67798	310
270.69916	314
270.72031	311
270.74149	307
270.76263	304
270.78378	309
270.80496	306
270.82611	301
270.84726	302
270.86844	301
270.88959	307
270.91074	314
270.93192	301
270.95306	310
270.97421	303
270.99539	309
271.01654	311
271.03769	306
271.05884	309
271.08002	308
271.10117	306
271.12231	305
271.14346	306
271.16464	304
271.18579	308
271.20694	310
271.22809	310
271.24927	311
271.27042	309
271.29156	299
271.31271	308
271.33386	313
271.35504	304
271.37619	306
271.39734	304
271.41849	304
271.43964	307
271.46078	305
271.48196	303
271.50311	307
271.52426	307
271.54541	312
271.56656	307
271.58771	311
271.60886	304
271.63	307
271.65115	303
271.67233	300
271.69348	305
271.71463	308
271.73578	307
271.75693	304
271.77808	304
271.79922	312
271.82037	307
271.84152	310
271.86267	305
271.88382	304
271.90497	302
271.92612	306
271.94727	312
271.96841	305
271.98956	304
272.01071	305
272.03186	310
272.05301	311
272.07416	303
272.09531	305
272.11646	307
272.1376	303
272.15875	311
272.1799	306
272.20105	309
272.22217	302
272.24332	305
272.26447	310
272.28561	301
272.30676	309
272.32791	309
272.34906	309
272.37021	305
272.39133	307
272.41248	313
272.43362	315
272.45477	303
272.47592	307
272.49707	304
272.51819	310
272.53934	306
272.56049	307
272.58163	310
272.60278	306
272.6239	306
272.64505	306
272.6662	307
272.68735	305
272.7085	307
272.72961	312
272.75076	305
272.77191	307
272.79303	305
272.81418	308
272.83533	305
272.85648	306
272.87759	303
272.89874	306
272.91989	301
272.94101	304
272.96216	301
272.98331	305
273.00443	303
273.02557	307
273.04672	302
273.06784	307
273.08899	308
273.11014	303
273.13126	309
273.1524	313
273.17352	306
273.19467	310
273.21582	304
273.23694	307
273.25809	308
273.27921	315
273.30035	301
273.3215	307
273.34262	308
273.36377	301
273.38489	307
273.40604	308
273.42715	303
273.4483	313
273.46942	307
273.49057	309
273.51169	309
273.53284	311
273.55396	302
273.5751	305
273.59622	306
273.61737	312
273.63849	301
273.65964	308
273.68076	306
273.70187	303
273.72302	306
273.74414	305
273.76529	310
273.78641	303
273.80756	310
273.82867	310
273.84979	307
273.87094	311
273.89206	303
273.91318	306
273.93433	304
273.95544	303
273.97659	306
273.99771	303
274.01883	311
274.03998	307
274.0611	300
274.08221	310
274.10333	307
274.12448	308
274.1456	305
274.16672	304
274.18787	307
274.20898	305
274.2301	314
274.25122	302
274.27237	310
274.29349	305
274.31461	306
274.33572	301
274.35687	308
274.37799	309
274.39911	306
274.42023	319
274.44135	305
274.46249	309
274.48361	304
274.50473	306
274.52585	312
274.54697	312
274.56812	303
274.58923	310
274.61035	306
274.63147	309
274.65259	308
274.67371	307
274.69482	308
274.71594	312
274.73709	310
274.75821	308
274.77933	305
274.80045	308
274.82156	306
274.84268	311
274.8638	305
274.88492	308
274.90604	298
274.92715	310
274.94827	307
274.96939	304
274.99051	306
275.01163	306
275.03275	305
275.05386	305
275.07498	304
275.0961	303
275.11722	308
275.13834	302
275.15945	317
275.18057	305
275.20169	305
275.22281	313
275.24393	310
275.26505	305
