Date and Time:                Thu Feb 2 17:00:34.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	304
261.39099	302
261.41223	302
261.4335	302
261.45474	302
261.47598	304
261.49722	304
261.51846	298
261.5397	304
261.56094	301
261.58218	295
261.60342	299
261.62466	306
261.6459	299
261.66718	300
261.68842	303
261.70966	304
261.7309	302
261.75214	305
261.77338	300
261.79462	299
261.81586	299
261.8371	297
261.85834	294
261.87958	306
261.90082	305
261.92206	306
261.9433	305
261.96454	291
261.98578	305
262.00702	301
262.02826	301
262.0495	304
262.07071	305
262.09195	302
262.11319	300
262.13443	302
262.15567	302
262.17691	305
262.19815	301
262.21939	301
262.24063	303
262.26187	300
262.28311	296
262.30432	298
262.32556	302
262.3468	298
262.36804	299
262.38928	304
262.41052	300
262.43176	306
262.45297	303
262.47421	302
262.49545	303
262.51669	301
262.53793	299
262.55917	309
262.58038	298
262.60162	307
262.62286	300
262.6441	298
262.66531	306
262.68655	305
262.70779	302
262.72903	303
262.75024	301
262.77148	303
262.79272	298
262.81396	308
262.83517	304
262.85641	293
262.87766	299
262.8989	303
262.9201	296
262.94135	302
262.96259	307
262.9838	296
263.00504	300
263.02628	307
263.04749	300
263.06873	300
263.08997	300
263.11118	297
263.13242	299
263.15366	294
263.17487	300
263.19611	305
263.21732	305
263.23856	303
263.2598	302
263.28101	308
263.30225	301
263.32346	300
263.3447	299
263.36594	308
263.38715	305
263.40839	297
263.4296	300
263.45084	304
263.47205	303
263.49329	299
263.51453	294
263.53574	305
263.55698	307
263.57819	306
263.59943	294
263.62064	301
263.64188	296
263.66309	301
263.68433	296
263.70554	299
263.72678	297
263.74799	303
263.7692	303
263.79044	305
263.81165	296
263.83289	301
263.8541	299
263.87534	296
263.89655	304
263.91779	302
263.939	304
263.96021	304
263.98145	305
264.00266	304
264.0239	301
264.0451	301
264.06631	303
264.08755	305
264.10876	297
264.12997	300
264.15121	303
264.17242	306
