Date and Time:                Thu Feb 2 16:55:34.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
268.62448	8960
268.64566	8923
268.66684	8946
268.68802	9015
268.7092	9057
268.73038	9008
268.75156	8931
268.77274	8947
268.79391	9006
268.81509	8925
268.83627	9041
268.85745	9023
268.8786	9134
268.89978	9230
268.92096	9239
268.94214	9202
268.96332	9204
268.9845	9245
269.00568	9235
269.02686	9257
269.04803	9311
269.06921	9321
269.09039	9233
269.11154	9186
269.13272	9143
269.1539	9178
269.17508	9187
269.19626	9265
269.21744	9423
269.23862	9389
269.25977	9390
269.28094	9295
269.30212	9297
269.3233	9277
269.34448	9308
269.36566	9328
269.38681	9376
269.40799	9437
269.42917	9423
269.45035	9340
269.4715	9382
269.49268	9415
269.51385	9367
269.53503	9415
269.55618	9467
269.57736	9407
269.59854	9328
269.61972	9356
269.64087	9355
269.66205	9312
269.68323	9344
269.70438	9280
269.72556	9310
269.74673	9269
269.76791	9285
269.78906	9288
269.81024	9338
269.83142	9299
269.85257	9399
269.87375	9425
269.8949	9499
269.91608	9465
269.93726	9499
269.9584	9522
269.97958	9524
270.00076	9417
270.02191	9422
270.04309	9433
270.06424	9446
270.08542	9429
270.10657	9414
270.12775	9372
270.14893	9508
270.17007	9499
270.19125	9498
270.2124	9477
270.23358	9468
270.25473	9460
270.27591	9494
270.29706	9500
270.31824	9646
270.33939	9653
270.36057	9666
270.38171	9697
270.40289	9747
270.42404	9646
270.44522	9603
270.46637	9627
270.48755	9636
270.5087	9667
270.52988	9656
270.55103	9658
270.57217	9691
270.59335	9672
270.6145	9700
270.63568	9757
270.65683	9812
270.67798	9826
270.69916	9822
270.72031	9859
270.74149	9811
270.76263	9814
270.78378	9908
270.80496	9965
270.82611	10073
270.84726	10094
270.86844	10063
270.88959	10085
270.91074	10069
270.93192	10094
270.95306	10123
270.97421	10117
270.99539	10155
271.01654	10087
271.03769	10076
271.05884	10050
271.08002	9993
271.10117	9987
271.12231	9970
271.14346	9973
271.16464	9986
271.18579	9990
271.20694	10022
271.22809	10084
271.24927	10030
271.27042	10010
271.29156	10089
271.31271	10186
271.33386	10215
271.35504	10234
271.37619	10250
271.39734	10186
271.41849	10223
271.43964	10185
271.46078	10202
271.48196	10197
271.50311	10235
271.52426	10162
271.54541	10157
271.56656	10188
271.58771	10249
271.60886	10255
271.63	10221
271.65115	10264
271.67233	10244
271.69348	10192
271.71463	10113
271.73578	10123
271.75693	10112
271.77808	10074
271.79922	10178
271.82037	10253
271.84152	10296
271.86267	10223
271.88382	10190
271.90497	10138
271.92612	10201
271.94727	10199
271.96841	10245
271.98956	10298
272.01071	10297
272.03186	10282
272.05301	10223
272.07416	10316
