Date and Time:                Thu Feb 2 17:01:03.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	310
261.39099	300
261.41223	306
261.4335	306
261.45474	307
261.47598	307
261.49722	306
261.51846	300
261.5397	306
261.56094	306
261.58218	305
261.60342	309
261.62466	301
261.6459	305
261.66718	306
261.68842	307
261.70966	313
261.7309	307
261.75214	305
261.77338	310
261.79462	307
261.81586	304
261.8371	306
261.85834	313
261.87958	305
261.90082	303
261.92206	303
261.9433	301
261.96454	307
261.98578	301
262.00702	308
262.02826	309
262.0495	308
262.07071	308
262.09195	305
262.11319	308
262.13443	305
262.15567	305
262.17691	306
262.19815	310
262.21939	303
262.24063	314
262.26187	314
262.28311	299
262.30432	301
262.32556	304
262.3468	303
262.36804	307
262.38928	302
262.41052	308
262.43176	306
262.45297	304
262.47421	307
262.49545	310
262.51669	306
262.53793	313
262.55917	308
262.58038	304
262.60162	306
262.62286	312
262.6441	301
262.66531	304
262.68655	312
262.70779	308
262.72903	304
262.75024	309
262.77148	300
262.79272	303
262.81396	308
262.83517	302
262.85641	305
262.87766	299
262.8989	307
262.9201	300
262.94135	309
262.96259	302
262.9838	309
263.00504	306
263.02628	304
263.04749	306
263.06873	307
263.08997	307
263.11118	304
263.13242	310
263.15366	306
263.17487	297
263.19611	304
263.21732	310
263.23856	299
263.2598	311
263.28101	309
263.30225	310
263.32346	303
263.3447	301
263.36594	301
263.38715	308
263.40839	303
263.4296	304
263.45084	303
263.47205	307
263.49329	304
263.51453	305
263.53574	303
263.55698	308
263.57819	305
263.59943	301
263.62064	303
263.64188	306
263.66309	305
263.68433	307
263.70554	302
263.72678	311
263.74799	306
263.7692	301
263.79044	307
263.81165	302
263.83289	308
263.8541	305
263.87534	301
263.89655	308
263.91779	309
263.939	311
263.96021	305
263.98145	308
264.00266	301
264.0239	307
264.0451	312
264.06631	298
264.08755	306
264.10876	299
264.12997	305
264.15121	297
264.17242	308
