Date and Time:                Thu Feb 2 16:57:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	303
261.39099	302
261.41223	302
261.4335	300
261.45474	301
261.47598	300
261.49722	309
261.51846	305
261.5397	311
261.56094	306
261.58218	307
261.60342	302
261.62466	318
261.6459	307
261.66718	306
261.68842	301
261.70966	304
261.7309	304
261.75214	308
261.77338	306
261.79462	309
261.81586	306
261.8371	300
261.85834	307
261.87958	311
261.90082	307
261.92206	310
261.9433	304
261.96454	313
261.98578	301
262.00702	307
262.02826	306
262.0495	313
262.07071	305
262.09195	299
262.11319	301
262.13443	306
262.15567	299
262.17691	304
262.19815	308
262.21939	308
262.24063	307
262.26187	302
262.28311	303
262.30432	304
262.32556	308
262.3468	306
262.36804	310
262.38928	301
262.41052	297
262.43176	305
262.45297	301
262.47421	302
262.49545	305
262.51669	309
262.53793	304
262.55917	309
262.58038	302
262.60162	303
262.62286	299
262.6441	302
262.66531	309
262.68655	305
262.70779	305
262.72903	302
262.75024	303
262.77148	304
262.79272	301
262.81396	306
262.83517	310
262.85641	308
262.87766	306
262.8989	301
262.9201	305
262.94135	304
262.96259	303
262.9838	309
263.00504	308
263.02628	307
263.04749	304
263.06873	299
263.08997	306
263.11118	303
263.13242	310
263.15366	307
263.17487	304
263.19611	309
263.21732	305
263.23856	305
263.2598	306
263.28101	306
263.30225	308
263.32346	305
263.3447	307
263.36594	307
263.38715	310
263.40839	306
263.4296	305
263.45084	305
263.47205	307
263.49329	300
263.51453	310
263.53574	309
263.55698	306
263.57819	309
263.59943	304
263.62064	303
263.64188	306
263.66309	304
263.68433	305
263.70554	304
263.72678	300
263.74799	301
263.7692	308
263.79044	308
263.81165	305
263.83289	310
263.8541	302
263.87534	300
263.89655	305
263.91779	303
263.939	305
263.96021	303
263.98145	310
264.00266	301
264.0239	303
264.0451	305
264.06631	299
264.08755	302
264.10876	304
264.12997	305
264.15121	303
264.17242	308
