Date and Time:                Thu Feb 2 16:58:57.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	304
261.39099	310
261.41223	310
261.4335	303
261.45474	303
261.47598	307
261.49722	304
261.51846	315
261.5397	306
261.56094	303
261.58218	302
261.60342	304
261.62466	297
261.6459	313
261.66718	310
261.68842	306
261.70966	304
261.7309	307
261.75214	309
261.77338	306
261.79462	306
261.81586	309
261.8371	302
261.85834	308
261.87958	304
261.90082	303
261.92206	306
261.9433	299
261.96454	306
261.98578	306
262.00702	301
262.02826	307
262.0495	304
262.07071	301
262.09195	307
262.11319	307
262.13443	309
262.15567	307
262.17691	308
262.19815	302
262.21939	306
262.24063	309
262.26187	302
262.28311	309
262.30432	309
262.32556	307
262.3468	304
262.36804	302
262.38928	313
262.41052	304
262.43176	307
262.45297	308
262.47421	308
262.49545	308
262.51669	306
262.53793	306
262.55917	298
262.58038	307
262.60162	306
262.62286	307
262.6441	306
262.66531	298
262.68655	302
262.70779	308
262.72903	300
262.75024	308
262.77148	306
262.79272	306
262.81396	307
262.83517	308
262.85641	306
262.87766	302
262.8989	307
262.9201	302
262.94135	308
262.96259	302
262.9838	308
263.00504	305
263.02628	304
263.04749	304
263.06873	305
263.08997	301
263.11118	305
263.13242	303
263.15366	303
263.17487	312
263.19611	306
263.21732	307
263.23856	303
263.2598	308
263.28101	309
263.30225	304
263.32346	306
263.3447	307
263.36594	302
263.38715	304
263.40839	304
263.4296	302
263.45084	299
263.47205	301
263.49329	308
263.51453	300
263.53574	304
263.55698	306
263.57819	309
263.59943	312
263.62064	303
263.64188	298
263.66309	305
263.68433	305
263.70554	299
263.72678	312
263.74799	309
263.7692	303
263.79044	308
263.81165	305
263.83289	303
263.8541	302
263.87534	307
263.89655	302
263.91779	309
263.939	303
263.96021	304
263.98145	309
264.00266	303
264.0239	300
264.0451	300
264.06631	311
264.08755	302
264.10876	309
264.12997	303
264.15121	303
264.17242	304
