Date and Time:                Mon Jan 30 18:10:43.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              190
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



167.92824	323
167.94989	320
167.97154	317
167.99321	320
168.01486	321
168.03653	315
168.05818	321
168.07983	322
168.1015	321
168.12315	319
168.14481	316
168.16647	317
168.18813	323
168.20978	324
168.23145	314
168.2531	318
168.27475	319
168.2964	319
168.31807	323
168.33972	325
168.36137	312
168.38303	314
168.40469	319
168.42635	310
168.448	321
168.46965	315
168.4913	327
168.51297	318
168.53462	310
168.55627	318
168.57793	315
168.59958	322
168.62123	323
168.64288	321
168.66454	318
168.68619	318
168.70786	320
168.72951	315
168.75116	323
168.77281	324
168.79446	321
168.81612	323
168.83777	307
168.85942	317
168.88107	318
168.90273	316
168.92438	323
168.94603	314
168.96768	319
168.98933	314
169.01099	319
169.03264	318
169.05428	324
169.07593	317
169.09758	320
169.11923	318
169.14088	318
169.16254	318
169.18419	317
169.20584	319
169.22749	315
169.24913	321
169.27078	324
169.29243	316
169.31409	318
169.33574	317
169.35738	308
169.37903	322
169.40068	317
169.42233	320
169.44397	322
169.46562	313
169.48727	319
169.50893	319
169.53056	318
169.55222	321
169.57387	317
169.5955	319
169.61716	316
169.63881	317
169.66045	317
169.6821	314
169.70375	318
169.72539	316
169.74704	313
169.76868	319
169.79033	313
169.81198	319
169.83362	317
169.85527	312
169.87691	320
169.89856	316
169.9202	318
169.94185	312
169.96349	315
169.98514	316
170.00677	319
170.02843	314
170.05006	316
170.07172	313
170.09335	313
170.11501	315
170.13664	320
170.15829	317
170.17993	313
170.20157	311
170.22322	317
170.24486	314
170.26649	315
170.28815	315
170.30978	318
170.33144	321
170.35307	315
170.37471	317
170.39636	315
170.418	320
170.43964	310
170.46127	316
170.48293	311
170.50456	318
170.5262	313
170.54784	313
170.56949	312
170.59113	315
170.61276	315
170.6344	314
170.65604	310
170.67769	315
170.69933	315
170.72096	313
170.7426	318
170.76424	320
170.78587	312
170.80753	314
