Date and Time:                Mon Jan 30 18:06:03.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              190
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



167.92824	536
167.94989	516
167.97154	519
167.99321	513
168.01486	523
168.03653	520
168.05818	512
168.07983	513
168.1015	501
168.12315	518
168.14481	516
168.16647	523
168.18813	509
168.20978	509
168.23145	504
168.2531	509
168.27475	520
168.2964	517
168.31807	523
168.33972	512
168.36137	510
168.38303	513
168.40469	517
168.42635	516
168.448	504
168.46965	512
168.4913	503
168.51297	510
168.53462	498
168.55627	500
168.57793	502
168.59958	502
168.62123	510
168.64288	509
168.66454	511
168.68619	512
168.70786	512
168.72951	520
168.75116	512
168.77281	518
168.79446	504
168.81612	515
168.83777	508
168.85942	520
168.88107	507
168.90273	498
168.92438	505
168.94603	492
168.96768	521
168.98933	507
169.01099	499
169.03264	502
169.05428	508
169.07593	510
169.09758	518
169.11923	506
169.14088	507
169.16254	529
169.18419	502
169.20584	495
169.22749	513
169.24913	499
169.27078	523
169.29243	506
169.31409	501
169.33574	495
169.35738	505
169.37903	509
169.40068	517
169.42233	513
169.44397	502
169.46562	503
169.48727	521
169.50893	503
169.53056	504
169.55222	503
169.57387	508
169.5955	495
169.61716	494
169.63881	501
169.66045	501
169.6821	516
169.70375	489
169.72539	505
169.74704	491
169.76868	510
169.79033	501
169.81198	509
169.83362	506
169.85527	493
169.87691	504
169.89856	495
169.9202	500
169.94185	502
169.96349	499
169.98514	495
170.00677	504
170.02843	502
170.05006	496
170.07172	484
170.09335	502
170.11501	501
170.13664	500
170.15829	505
170.17993	494
170.20157	482
170.22322	487
170.24486	496
170.26649	505
170.28815	512
170.30978	501
170.33144	490
170.35307	491
170.37471	485
170.39636	493
170.418	504
170.43964	493
170.46127	499
170.48293	501
170.50456	505
170.5262	492
170.54784	487
170.56949	484
170.59113	494
170.61276	492
170.6344	510
170.65604	498
170.67769	497
170.69933	488
170.72096	502
170.7426	493
170.76424	499
170.78587	487
170.80753	500
