Date and Time:                Mon Jan 30 18:10:59.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              190
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



167.92824	410
167.94989	405
167.97154	399
167.99321	397
168.01486	395
168.03653	400
168.05818	395
168.07983	395
168.1015	389
168.12315	397
168.14481	390
168.16647	401
168.18813	397
168.20978	396
168.23145	389
168.2531	394
168.27475	402
168.2964	388
168.31807	412
168.33972	397
168.36137	392
168.38303	393
168.40469	400
168.42635	394
168.448	391
168.46965	399
168.4913	385
168.51297	390
168.53462	386
168.55627	382
168.57793	376
168.59958	389
168.62123	379
168.64288	392
168.66454	387
168.68619	396
168.70786	394
168.72951	389
168.75116	395
168.77281	393
168.79446	387
168.81612	398
168.83777	384
168.85942	390
168.88107	400
168.90273	389
168.92438	388
168.94603	379
168.96768	399
168.98933	390
169.01099	386
169.03264	389
169.05428	381
169.07593	394
169.09758	398
169.11923	386
169.14088	387
169.16254	404
169.18419	389
169.20584	375
169.22749	386
169.24913	383
169.27078	399
169.29243	385
169.31409	383
169.33574	378
169.35738	389
169.37903	389
169.40068	399
169.42233	383
169.44397	382
169.46562	380
169.48727	402
169.50893	387
169.53056	386
169.55222	391
169.57387	386
169.5955	369
169.61716	380
169.63881	389
169.66045	375
169.6821	387
169.70375	375
169.72539	383
169.74704	376
169.76868	379
169.79033	385
169.81198	372
169.83362	383
169.85527	382
169.87691	383
169.89856	376
169.9202	374
169.94185	378
169.96349	371
169.98514	369
170.00677	384
170.02843	382
170.05006	382
170.07172	366
170.09335	373
170.11501	371
170.13664	376
170.15829	374
170.17993	372
170.20157	370
170.22322	373
170.24486	375
170.26649	385
170.28815	400
170.30978	374
170.33144	373
170.35307	367
170.37471	373
170.39636	374
170.418	378
170.43964	376
170.46127	382
170.48293	375
170.50456	384
170.5262	362
170.54784	366
170.56949	376
170.59113	377
170.61276	371
170.6344	381
170.65604	375
170.67769	369
170.69933	367
170.72096	383
170.7426	376
170.76424	373
170.78587	361
170.80753	370
