Date and Time:                Mon Jan 30 18:09:42.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              190
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



167.92824	1437
167.94989	1383
167.97154	1379
167.99321	1380
168.01486	1382
168.03653	1377
168.05818	1387
168.07983	1382
168.1015	1390
168.12315	1385
168.14481	1385
168.16647	1387
168.18813	1376
168.20978	1391
168.23145	1375
168.2531	1378
168.27475	1383
168.2964	1367
168.31807	1389
168.33972	1375
168.36137	1377
168.38303	1382
168.40469	1385
168.42635	1364
168.448	1373
168.46965	1393
168.4913	1368
168.51297	1376
168.53462	1380
168.55627	1390
168.57793	1364
168.59958	1382
168.62123	1374
168.64288	1380
168.66454	1378
168.68619	1384
168.70786	1378
168.72951	1386
168.75116	1387
168.77281	1363
168.79446	1380
168.81612	1373
168.83777	1376
168.85942	1361
168.88107	1393
168.90273	1381
168.92438	1379
168.94603	1375
168.96768	1383
168.98933	1372
169.01099	1389
169.03264	1371
169.05428	1377
169.07593	1385
169.09758	1374
169.11923	1384
169.14088	1376
169.16254	1378
169.18419	1377
169.20584	1373
169.22749	1385
169.24913	1378
169.27078	1390
169.29243	1387
169.31409	1397
169.33574	1376
169.35738	1379
169.37903	1392
169.40068	1377
169.42233	1369
169.44397	1378
169.46562	1387
169.48727	1382
169.50893	1382
169.53056	1386
169.55222	1376
169.57387	1378
169.5955	1384
169.61716	1380
169.63881	1376
169.66045	1373
169.6821	1385
169.70375	1369
169.72539	1375
169.74704	1374
169.76868	1391
169.79033	1382
169.81198	1362
169.83362	1373
169.85527	1388
169.87691	1374
169.89856	1389
169.9202	1386
169.94185	1374
169.96349	1380
169.98514	1385
170.00677	1391
170.02843	1385
170.05006	1380
170.07172	1376
170.09335	1384
170.11501	1372
170.13664	1380
170.15829	1380
170.17993	1375
170.20157	1376
170.22322	1385
170.24486	1389
170.26649	1394
170.28815	1391
170.30978	1383
170.33144	1371
170.35307	1400
170.37471	1382
170.39636	1389
170.418	1386
170.43964	1393
