Date and Time:                Sun Jan 29 17:37:47.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              270
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



248.30344	685
248.32475	651
248.34605	623
248.36736	621
248.38867	634
248.40997	639
248.43127	619
248.45259	622
248.47389	613
248.49519	612
248.51649	615
248.53781	652
248.55911	617
248.58041	624
248.60172	614
248.62302	605
248.64433	627
248.66563	599
248.68694	660
248.70824	618
248.72954	593
248.75084	610
248.77214	627
248.79346	603
248.81476	599
248.83606	625
248.85736	604
248.87866	602
248.89996	577
248.92126	590
248.94257	573
248.96387	600
248.98517	595
249.00647	609
249.02777	608
249.04907	629
249.07037	599
249.09167	617
249.11298	622
249.13428	643
249.15558	574
249.17686	606
249.19817	574
249.21947	585
249.24077	612
249.26207	600
249.28337	594
249.30467	563
249.32596	617
249.34726	590
249.36856	581
249.38986	594
249.41116	589
249.43245	605
249.45375	604
249.47505	613
249.49634	597
249.51764	663
249.53894	603
249.56024	571
249.58153	602
249.60283	571
249.62413	651
249.64542	566
249.66672	585
249.688	557
249.7093	586
249.73061	589
249.75189	630
249.77319	587
249.79448	565
249.81578	584
249.83707	633
249.85837	573
249.87965	597
249.90096	599
249.92224	591
249.94354	558
249.96483	573
249.98613	594
250.00742	566
250.02872	589
250.05	556
250.07129	561
250.09259	546
250.11388	575
250.13518	564
250.15646	583
250.17775	555
250.19905	581
250.22034	573
250.24162	551
250.26292	560
250.28421	567
250.3055	551
250.32678	546
250.34808	598
250.36937	555
250.39066	550
250.41194	554
250.43323	550
250.45453	545
250.47581	560
250.4971	560
250.51839	534
250.53967	548
250.56096	543
250.58226	548
250.60355	589
250.62483	614
250.64612	535
250.6674	557
250.68869	540
250.70998	537
250.73126	555
250.75255	552
250.77383	528
250.79512	576
250.81641	542
250.83769	569
250.85898	521
250.88026	529
250.90155	533
250.92284	551
250.94412	544
250.96541	580
250.98669	555
251.00797	531
251.02925	539
251.05054	577
251.07182	574
251.09311	561
251.1144	515
251.13567	541
