Date and Time:                Fri Sep 9 16:31:43.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	294
290.54425	299
290.56534	301
290.58646	305
290.60754	302
290.62863	303
290.64975	299
290.67084	302
290.69193	296
290.71304	308
290.73413	302
290.75522	300
290.77634	300
290.79742	305
290.81851	300
290.83963	299
290.86072	297
290.88181	305
290.90292	303
290.92401	303
290.9451	303
290.96619	296
290.9873	300
291.00839	300
291.02948	297
291.05057	298
291.07169	301
291.09277	297
291.11386	301
291.13495	294
291.15607	299
291.17715	306
291.19824	302
291.21933	302
291.24042	305
291.26154	304
291.28262	305
291.30371	302
291.3248	303
291.34589	295
291.36697	303
291.38806	299
291.40918	299
291.43027	295
291.45135	301
291.47244	297
291.49353	304
291.51462	299
291.53571	298
291.55679	300
291.57791	298
291.599	296
291.62009	304
291.64117	302
291.66226	303
291.68335	296
291.70444	298
291.72552	297
291.74661	300
291.7677	302
291.78879	299
291.80988	307
291.83096	308
291.85205	306
291.87314	299
291.89423	300
291.91531	303
291.9364	303
291.95749	304
291.97858	300
291.99966	297
292.02075	305
292.04184	302
292.06293	303
292.08401	299
292.1051	298
292.12619	296
292.14725	299
292.16833	302
292.18942	302
292.21051	302
292.2316	301
292.25269	305
292.27377	305
292.29486	296
292.31595	301
292.33701	297
292.35809	294
292.37918	297
292.40027	295
292.42136	303
292.44244	296
292.4635	299
292.48459	299
292.50568	304
292.52676	306
292.54785	303
292.56891	297
292.59	300
292.61108	299
292.63217	299
292.65326	300
292.67432	298
292.6954	302
292.71649	303
292.73758	298
292.75864	300
292.77972	298
292.80081	301
292.82187	311
292.84296	299
292.86404	302
292.8851	305
292.90619	304
292.92728	304
292.94836	300
292.96942	303
292.99051	299
293.01157	298
293.03265	303
293.05374	296
293.0748	297
293.09589	297
293.11697	300
293.13803	297
293.15912	301
293.18018	301
293.20126	298
293.22235	304
293.24341	304
293.2645	304
293.28555	295
293.30664	303
