Date and Time:                Fri Sep 9 16:29:51.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	3384
290.54425	3277
290.56534	3269
290.58646	3281
290.60754	3317
290.62863	3338
290.64975	3331
290.67084	3324
290.69193	3331
290.71304	3320
290.73413	3322
290.75522	3268
290.77634	3279
290.79742	3303
290.81851	3309
290.83963	3329
290.86072	3324
290.88181	3330
290.90292	3359
290.92401	3331
290.9451	3335
290.96619	3353
290.9873	3354
291.00839	3351
291.02948	3369
291.05057	3293
291.07169	3325
291.09277	3325
291.11386	3318
291.13495	3340
291.15607	3355
291.17715	3372
291.19824	3392
291.21933	3352
291.24042	3333
291.26154	3345
291.28262	3377
291.30371	3384
291.3248	3412
291.34589	3409
291.36697	3390
291.38806	3373
291.40918	3367
291.43027	3404
291.45135	3387
291.47244	3420
291.49353	3415
291.51462	3421
291.53571	3380
291.55679	3395
291.57791	3395
291.599	3403
291.62009	3411
291.64117	3428
291.66226	3410
291.68335	3412
291.70444	3390
291.72552	3403
291.74661	3428
291.7677	3415
291.78879	3425
291.80988	3434
291.83096	3454
291.85205	3428
291.87314	3404
291.89423	3412
291.91531	3401
291.9364	3384
291.95749	3397
291.97858	3398
291.99966	3375
292.02075	3383
292.04184	3350
292.06293	3375
292.08401	3345
292.1051	3367
292.12619	3365
292.14725	3364
292.16833	3366
292.18942	3371
292.21051	3375
292.2316	3383
292.25269	3420
292.27377	3439
292.29486	3454
292.31595	3459
292.33701	3449
292.35809	3438
292.37918	3388
292.40027	3392
292.42136	3429
292.44244	3425
292.4635	3431
292.48459	3425
292.50568	3427
292.52676	3403
292.54785	3430
292.56891	3446
292.59	3471
292.61108	3450
292.63217	3487
292.65326	3461
292.67432	3441
292.6954	3489
292.71649	3534
292.73758	3543
292.75864	3576
292.77972	3591
292.80081	3579
292.82187	3598
292.84296	3622
292.86404	3625
292.8851	3669
292.90619	3641
292.92728	3650
292.94836	3662
292.96942	3666
