# wl center%tx left%tx right%tx top%tx bottom%tx
 379.96676 -0.00014  0.00359  0.00416  0.00445  0.00388
 379.97558  0.00230 -0.00029  0.00259  0.00259  0.00201
 379.98441  0.00402 -0.00287  0.00172  0.00229  0.00229
 379.99323  0.00315 -0.00143  0.00315  0.00114  0.00172
 380.00205  0.00201  0.00373  0.00230  0.00029  0.00258
 380.01091  0.00043  0.00158  0.00616  0.00215  0.00387
 380.01973  0.00835  0.00633  0.00374  0.00490  0.00518
 380.02856  0.00533  0.00302  0.00706  0.00158  0.00216
 380.03738  0.00202 -0.00173  0.00087  0.00346  0.00058
 380.04621  0.00504  0.00360  0.00418  0.00447  0.00245
 380.05503  0.00287  0.00057  0.00258  0.00143  0.00315
 380.06386  0.00399  0.00513  0.00456  0.00513  0.00513
 380.07268  0.00641  0.00214  0.00356  0.00385  0.00498
 380.08151  0.00285  0.00256  0.00085  0.00399  0.00142
 380.09033  0.00242  0.00213  0.00270  0.00128 -0.00014
 380.09916  0.00286 -0.00057  0.00200  0.00114  0.00057
 380.10798  0.00271 -0.00214  0.00186 -0.00014 -0.00186
 380.11680  0.00113  0.00085  0.00227  0.00000  0.00057
 380.12563  0.00227  0.00425  0.00284  0.00369 -0.00085
 380.13445  0.00352  0.00127  0.00211  0.00916  0.00211
 380.14328  0.00225  0.00309  0.00281  0.00365  0.00169
 380.15210  0.00282  0.00085  0.00649  0.00338  0.00000
 380.16092  0.00085 -0.00197  0.00395  0.00085  0.00085
 380.16974  0.00577  0.00042  0.00267  0.00155  0.00070
 380.17857  0.00014  0.00267  0.00352  0.00408  0.00464
 380.18739  0.00268  0.00155  0.00550  0.00268  0.00240
 380.19622  0.00309  0.00449  0.00253  0.00253  0.00421
 380.20504 -0.00014  0.00268  0.00042  0.00579  0.00071
 380.21387  0.00352 -0.00042  0.00634  0.00127  0.00099
 380.22269  0.00482  0.00170  0.00142  0.00369  0.00510
 380.23151 -0.00085  0.00452  0.00536  0.00198  0.00282
 380.24034  0.00128 -0.00156  0.00071  0.00298  0.00298
 380.24916 -0.00014 -0.00127  0.00071  0.00127  0.00071
 380.25799 -0.00228  0.00428  0.00057  0.00171  0.00314
 380.26681  0.00258  0.00373  0.00344  0.00287 -0.00230
 380.27561  0.00457  0.00171  0.00371  0.00200  0.00086
 380.28443  0.00299  0.00157  0.00669  0.00299  0.00385
 380.29326  0.00412 -0.00099  0.00355  0.00753 -0.00242
 380.30208 -0.00199  0.00171  0.00370  0.00313  0.00284
 380.31091  0.00456  0.00314  0.00599  0.00969  0.00200
 380.31973  0.00157  0.00214  0.00356  0.00100  0.00214
 380.32856  0.00171  0.00256  0.00513  0.00313  0.00085
 380.33738  0.00425  0.00198  0.00198  0.00113  0.00227
 380.34621  0.00283  0.00312  0.00481  0.00340  0.00708
 380.35499 -0.00268  0.00268  0.00381  0.00296  0.00070
 380.36381  0.00382  0.00467  0.00467  0.00297  0.00410
 380.37264 -0.00057  0.00170  0.00000  0.00113  0.00142
 380.38146 -0.00014  0.00155  0.00183  0.00014 -0.00071
 380.39029 -0.00142  0.00057  0.00681  0.00284  0.00369
 380.39911  0.00654  0.00171  0.00284  0.00228 -0.00057
 380.40791  0.00652  0.00170  0.00142  0.00198  0.00340
 380.41673 -0.00085 -0.00028  0.00255 -0.00085  0.00113
 380.42556  0.00057  0.00114  0.00370  0.00057 -0.00114
 380.43438  0.00043  0.00243  0.00043  0.00071  0.00157
 380.44321  0.00057  0.00656  0.00514  0.00257  0.00371
 380.45200  0.00243  0.00071  0.00328  0.00214  0.00300
 380.46083  0.00199  0.00085  0.00654  0.00085  0.00285
 380.46965  0.00185  0.00355  0.00213  0.00384  0.00497
 380.47847 -0.00014  0.00411  0.00241  0.00383  0.00383
 380.48730 -0.00043  0.00156  0.00498  0.00100  0.00242
 380.49609  0.00100 -0.00071  0.00442  0.00300  0.00014
 380.50492  0.00129  0.00215  0.00072  0.00215  0.00129
 380.51374  0.00300  0.00186  0.00243  0.00329  0.00586
 380.52256  0.00559  0.00272  0.00129  0.00358  0.00301
 380.53135  0.00071  0.00328  0.00442  0.00043  0.00185
 380.54018  0.00086 -0.00086  0.00029  0.00115  0.00143
 380.54900  0.00184 -0.00042  0.00297 -0.00127  0.00411
 380.55780  0.00242  0.00441  0.00128  0.00470 -0.00071
 380.56662  0.00256  0.00199  0.00142  0.00541  0.00171
 380.57545  0.00356 -0.00014  0.00185  0.00328  0.00100
 380.58427 -0.00215  0.00014  0.00215 -0.00072  0.00014
 380.59306  0.00343  0.00229  0.00600  0.00371  0.00657
 380.60189  0.00330  0.00473  0.00301  0.00330  0.00244
 380.61071  0.00227  0.00227  0.00227  0.00341  0.00370
 380.61951  0.00526  0.00611  0.00412  0.00412  0.00469
 380.62833 -0.00100  0.00270  0.00071  0.00299  0.00270
 380.63716  0.00443  0.00328  0.00328  0.00385  0.00128
 380.64595 -0.00086 -0.00115 -0.00430 -0.00200  0.00000
 380.65478 -0.00113  0.00255 -0.00340  0.00028 -0.00227
 380.66360  0.00170  0.00312  0.00312  0.00283  0.00198
 380.67239  0.00298  0.00014  0.00185  0.00241  0.00128
 380.68121  0.00567  0.00368  0.00340  0.00595  0.00510
 380.69004  0.00383  0.00411  0.00666  0.00893  0.00326
 380.69883  0.00713  0.00200  0.00542  0.00542  0.00228
 380.70765  0.00085  0.00227  0.00341 -0.00085  0.00227
 380.71645  0.00370  0.00484  0.00427  0.00000  0.00256
 380.72527  0.00000  0.00085 -0.00199 -0.00113 -0.00113
 380.73410  0.00339  0.00396  0.00141  0.00057  0.00368
 380.74289 -0.00127  0.00467  0.00184  0.00212  0.00156
 380.75172  0.00141  0.00226  0.00396  0.00000  0.00424
 380.76051  0.00099  0.00184  0.00439  0.00467  0.00411
 380.76934  0.00464  0.00380  0.00662  0.00549  0.00633
 380.77816  0.00323  0.00154  0.00519  0.00351  0.00183
 380.78696  0.00042  0.00211  0.00267  0.00155  0.00070
 380.79578 -0.00296  0.00267 -0.00014 -0.00014  0.00155
 380.80458  0.00056  0.00590  0.00590  0.00056  0.00422
 380.81339  0.00493  0.00014  0.00240  0.00634  0.00211
 380.82218  0.00085  0.00367  0.00537 -0.00141  0.00198
 380.83101  0.00324  0.00127  0.00127  0.00211  0.00183
 380.83980  0.00353  0.00212  0.00494  0.00550 -0.00014
 380.84863  0.00183  0.00437  0.00381  0.00579  0.00155
 380.85742  0.00155  0.00183  0.00126 -0.00014  0.00239
 380.86625  0.00099  0.00156 -0.00099  0.00212  0.00410
 380.87504  0.00212  0.00268  0.00212 -0.00014  0.00127
 380.88387  0.00098  0.00379  0.00267  0.00323  0.00379
 380.89266  0.00085  0.00113 -0.00028  0.00340  0.00028
 380.90149  0.00252  0.00755  0.00364  0.00448  0.00280
 380.91028  0.00084  0.00225  0.00535  0.00422  0.00281
 380.91911  0.00550  0.00268 -0.00042  0.00183 -0.00099
 380.92790  0.00510  0.00709  0.00397  0.00482  0.00709
