Date and Time:                Tue Apr 26 17:48:49.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	299
258.37558	305
258.39685	299
258.41809	303
258.43936	301
258.4606	303
258.48187	305
258.50311	302
258.52438	301
258.54565	304
258.56689	305
258.58817	304
258.60941	301
258.63068	300
258.65192	301
258.67319	306
258.69443	299
258.7157	303
258.73694	302
258.75821	303
258.77945	301
258.80072	305
258.82196	308
258.84323	303
258.86447	304
258.88574	300
258.90698	296
258.92825	304
258.94949	303
258.97076	303
258.992	304
259.01324	304
259.03452	303
259.05576	299
259.07703	300
259.09827	302
259.11954	301
259.14078	302
259.16202	305
259.18329	298
259.20453	305
259.22577	303
259.24704	293
259.26828	303
259.28955	299
259.31079	302
259.33203	306
259.3533	302
259.37454	307
259.39578	302
259.41705	301
259.43829	301
259.45953	297
259.4808	303
259.50204	301
259.52328	303
259.54453	299
259.5658	297
259.58704	299
259.60828	299
259.62952	299
259.65079	304
259.67203	303
259.69327	302
259.71451	303
259.73578	305
259.75702	305
259.77826	303
259.7995	294
259.82077	305
259.84201	309
259.86325	303
259.88449	306
259.90573	300
259.92697	305
259.94824	303
259.96948	300
259.99072	299
260.01196	306
260.0332	299
260.05444	299
260.07571	308
260.09695	302
260.11819	309
260.13943	302
260.16068	304
260.18192	301
260.20316	301
260.2244	301
260.24564	303
260.26688	310
260.28815	302
260.30939	298
260.33063	298
260.35187	301
260.37311	304
260.39435	304
260.41559	294
260.43683	301
260.45807	299
260.47931	301
260.50055	304
260.52179	304
260.54303	303
260.56427	300
260.58551	307
260.60675	302
260.62799	299
260.64923	306
260.67047	301
260.69171	304
260.71295	299
260.73419	298
260.75543	301
260.77667	300
260.79791	302
260.81912	299
260.84036	302
260.8616	296
260.88284	306
260.90408	299
260.92532	300
260.94656	301
260.9678	312
260.98904	298
261.01025	299
261.03149	306
261.05273	295
261.07397	303
261.09521	298
261.11646	299
261.1377	304
261.15891	301
