Date and Time:                Wed Apr 6 15:53:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
274.42108	30883
274.43082	30930
274.44052	30946
274.45023	31136
274.45993	31173
274.46967	31119
274.47937	30955
274.48907	31031
274.49878	30990
274.50851	30961
274.51822	30888
274.52792	30739
274.53763	30701
274.54733	30588
274.55707	30340
274.56677	30430
274.57648	30463
274.58618	30405
274.59589	30250
274.60562	30107
274.61533	30150
274.62503	29999
274.63474	29887
274.64444	30004
274.65414	30139
274.66388	30272
274.67358	30260
274.68329	30339
274.69299	30145
274.7027	30013
274.7124	29873
274.72211	29863
274.73181	29970
274.74155	29933
274.75125	29917
274.76096	29791
274.77066	29699
274.78036	29754
274.79007	29707
274.79977	29933
274.80948	30003
274.81918	30206
274.82889	30283
274.83859	30097
274.8483	29930
274.85803	30022
274.86774	30012
274.87744	30240
274.88715	30403
274.89685	30509
274.90656	30398
274.91626	30473
274.92596	30664
274.93567	30713
274.94537	30568
274.95508	30410
274.96478	30534
274.97449	30457
274.98419	30385
274.9939	30289
275.0036	30296
275.01331	30247
275.02301	30106
275.03271	30050
275.04242	29964
275.05209	30095
275.0618	30319
275.0715	30248
275.08121	30161
275.09091	30120
275.10062	30304
275.11032	30455
275.12003	30470
275.12973	30494
275.13943	30517
275.14914	30494
275.15884	30454
275.16855	30270
275.17822	30451
275.18793	30482
275.19763	30406
275.20734	30261
275.21704	30207
275.22675	30340
275.23645	30215
275.24615	30308
275.25583	30463
275.26553	30650
275.27524	30602
275.28494	30494
275.29465	30415
275.30435	30495
275.31403	30514
275.32373	30635
275.33344	30585
275.34314	30774
275.35284	30766
275.36252	30587
275.37222	30527
275.38193	30502
275.39163	30597
