Date and Time:                Wed Apr 6 18:14:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1200
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	2379
271.10059	2259
271.11035	2068
271.12012	2029
271.12985	2164
271.13962	2152
271.14938	2018
271.15915	2089
271.16891	1933
271.17868	1994
271.18845	2040
271.19818	2273
271.20795	2088
271.21771	2051
271.22748	1991
271.23724	2016
271.24701	2089
271.25674	1917
271.26651	2356
271.27628	1999
271.28604	1985
271.29581	2024
271.30554	2141
271.31531	1992
271.32507	1909
271.33484	2081
271.34457	2004
271.35434	1888
271.36411	1769
271.37387	1867
271.38361	1744
271.39337	1913
271.40314	1889
271.4129	1947
271.42264	1993
271.4324	2099
271.44217	1966
271.45193	2050
271.46167	2048
271.47144	2175
271.4812	1831
271.49094	2019
271.5007	1825
271.51047	1874
271.5202	2053
271.52997	1986
271.53973	1915
271.54947	1747
271.55923	2058
271.569	1851
271.57874	1812
271.5885	1872
271.59827	1887
271.608	1991
271.61777	2006
271.62753	1986
271.63727	1925
271.64703	2156
271.6568	1926
271.66653	1756
271.6763	1950
271.68604	1744
271.6958	2259
271.70557	1736
271.7153	1844
271.72507	1704
271.7348	1844
271.74457	1887
271.7543	2180
271.76407	1890
271.77383	1826
271.78357	1852
271.79333	2194
271.80307	1780
271.81284	1965
271.82257	1972
271.83234	1885
271.84207	1698
271.85184	1809
271.86157	1853
271.87134	1691
271.88107	1898
271.89084	1682
271.9006	1762
271.91034	1663
271.9201	1762
271.92984	1696
271.93958	1777
271.94934	1757
271.95908	1816
271.96884	1746
271.97858	1650
271.98834	1810
271.99808	1750
272.00784	1625
272.01758	1576
272.02734	1886
272.03708	1695
272.04681	1737
272.05658	1660
272.06631	1623
272.07608	1520
272.08582	1649
272.09558	1719
272.10532	1535
272.11505	1612
272.12482	1559
272.13455	1661
272.14432	1913
272.15405	2031
272.16379	1544
272.17355	1605
272.18329	1589
272.19302	1522
272.20279	1714
272.21252	1643
272.22226	1576
