Date and Time:                Wed Apr 6 15:53:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	306
271.10059	305
271.11035	300
271.12012	305
271.12985	309
271.13962	306
271.14938	308
271.15915	308
271.16891	302
271.17868	307
271.18845	308
271.19818	307
271.20795	309
271.21771	308
271.22748	311
271.23724	305
271.24701	304
271.25674	301
271.26651	306
271.27628	308
271.28604	310
271.29581	303
271.30554	309
271.31531	304
271.32507	313
271.33484	306
271.34457	307
271.35434	306
271.36411	300
271.37387	304
271.38361	310
271.39337	306
271.40314	310
271.4129	309
271.42264	304
271.4324	303
271.44217	304
271.45193	309
271.46167	306
271.47144	307
271.4812	307
271.49094	306
271.5007	305
271.51047	303
271.5202	308
271.52997	302
271.53973	315
271.54947	310
271.55923	305
271.569	309
271.57874	302
271.5885	304
271.59827	304
271.608	302
271.61777	309
271.62753	307
271.63727	311
271.64703	311
271.6568	305
271.66653	299
271.6763	309
271.68604	305
271.6958	306
271.70557	309
271.7153	307
271.72507	308
271.7348	307
271.74457	309
271.7543	308
271.76407	306
271.77383	307
271.78357	306
271.79333	313
271.80307	312
271.81284	313
271.82257	309
271.83234	302
271.84207	307
271.85184	312
271.86157	302
271.87134	304
271.88107	305
271.89084	308
271.9006	309
271.91034	305
271.9201	303
271.92984	315
271.93958	301
271.94934	309
271.95908	311
271.96884	311
271.97858	310
271.98834	311
271.99808	300
272.00784	308
272.01758	299
272.02734	302
272.03708	307
272.04681	302
272.05658	306
272.06631	305
272.07608	306
272.08582	304
272.09558	308
272.10532	303
272.11505	307
272.12482	306
272.13455	301
272.14432	305
272.15405	304
272.16379	309
272.17355	310
272.18329	304
272.19302	305
272.20279	306
272.21252	308
272.22226	303
272.23203	305
272.24176	305
272.25153	306
272.26126	304
272.271	314
272.28073	306
272.2905	304
272.30023	305
272.30997	311
272.31973	305
272.32947	308
272.3392	306
272.34897	302
272.3587	297
272.36844	307
272.37817	307
272.38794	302
