Date and Time:                Sat Nov 11 15:11:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
285.68445	9625
285.70554	9640
285.72662	9614
285.74771	9671
285.7688	9646
285.78989	9685
285.811	9646
285.83209	9646
285.85318	9634
285.87427	9716
285.89536	9629
285.91644	9663
285.93756	9680
285.95865	9715
285.97974	9723
286.00082	9798
286.02191	9743
286.043	9728
286.06409	9728
286.08517	9727
286.10626	9727
286.12735	9749
286.14844	9744
286.16956	9731
286.19064	9765
286.21173	9748
286.23282	9774
286.25391	9829
286.27499	9833
286.29608	9789
286.31717	9809
286.33826	9761
286.35934	9782
286.38043	9818
286.40152	9807
286.42261	9811
286.4437	9822
286.46478	9818
286.48587	9840
286.50696	9823
286.52802	9842
286.5491	9857
286.57019	9859
286.59128	9829
286.61237	9812
286.63345	9852
286.65454	9889
286.67563	9906
286.69672	9950
286.7178	9935
286.73889	9933
286.75995	9970
286.78104	9932
286.80212	9981
286.82321	9907
286.8443	9974
286.86539	9981
286.88644	10007
286.90753	10044
286.92862	10006
286.94971	10041
286.97079	10039
286.99188	10052
287.01294	10084
287.03403	10094
287.05511	10067
287.0762	10049
287.09726	10054
287.11835	10067
287.13943	10112
287.16052	10090
287.18158	10118
287.20267	10156
287.22375	10146
287.24484	10140
287.2659	10188
287.28699	10204
287.30807	10136
287.32913	10207
287.35022	10199
287.37131	10189
287.39236	10198
287.41345	10182
287.43454	10222
287.4556	10272
287.47668	10261
287.49777	10299
287.51883	10314
287.53992	10269
287.56097	10308
287.58206	10258
287.60315	10252
287.62421	10317
287.64529	10299
287.66635	10339
287.68744	10325
287.70853	10348
287.72958	10378
287.75067	10313
287.77173	10362
287.79282	10412
287.81387	10404
287.83496	10353
287.85602	10403
287.87711	10444
287.89816	10379
287.91925	10415
287.94031	10420
287.9614	10471
287.98245	10475
288.00354	10471
288.0246	10433
288.04568	10477
288.06674	10464
288.08783	10429
288.10889	10494
288.12994	10502
288.15103	10491
288.17209	10510
288.19318	10501
288.21423	10532
288.23529	10545
288.25638	10558
288.27744	10561
288.29852	10551
288.31958	10517
288.34064	10447
288.36172	10396
288.38278	10348
288.40384	10298
288.42493	10159
288.44598	10075
288.46704	10000
288.48813	9891
288.50919	9850
288.53024	9774
288.55133	9718
288.57239	9603
288.59344	9569
288.6145	9448
288.63559	9386
288.65665	9328
288.6777	9254
288.69876	9180
288.71985	9104
288.74091	9017
288.76196	8944
288.78302	8831
288.80411	8809
288.82516	8744
288.84622	8614
288.86728	8595
288.88834	8589
288.90942	8531
288.93048	8518
288.95154	8502
288.9726	8531
288.99365	8486
289.01471	8447
289.03577	8493
289.05685	8490
289.07791	8505
289.09897	8575
289.12003	8548
289.14108	8591
289.16214	8567
289.1832	8549
289.20425	8537
289.22531	8577
289.24637	8593
289.26743	8566
289.28851	8583
289.30957	8634
289.33063	8623
289.35168	8617
289.37274	8622
289.3938	8668
289.41486	8656
289.43591	8686
289.45697	8690
289.47803	8666
289.49908	8636
289.52014	8680
289.5412	8691
289.56226	8734
289.58331	8737
289.60437	8736
289.6254	8781
289.64645	8802
289.66751	8787
289.68857	8766
289.70963	8779
289.73068	8770
289.75174	8815
289.7728	8767
289.79385	8817
289.81491	8806
289.83594	8845
289.85699	8861
289.87805	8878
289.89911	8898
289.92017	8851
289.94122	8901
289.96228	8907
289.98331	8939
