Date and Time:                Sat Nov 11 15:27:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	300
278.47992	300
278.50107	297
278.52225	299
278.5434	297
278.56454	300
278.58572	302
278.60687	304
278.62802	299
278.6492	301
278.67035	295
278.6915	304
278.71268	302
278.73383	307
278.75497	303
278.77615	296
278.7973	305
278.81845	296
278.83963	297
278.86078	305
278.88193	305
278.90308	303
278.92426	302
278.9454	300
278.96655	304
278.9877	295
279.00888	301
279.03003	301
279.05118	309
279.07233	298
279.09348	301
279.11465	305
279.1358	305
279.15695	306
279.1781	298
279.19925	303
279.22043	306
279.24158	305
279.26273	298
279.28387	308
279.30502	299
279.32617	301
279.34732	300
279.3685	298
279.38965	304
279.4108	300
279.43195	301
279.45309	299
279.47424	305
279.49539	299
279.51654	298
279.53769	297
279.55884	306
279.58002	303
279.60117	298
279.62231	308
279.64346	306
279.66461	301
279.68576	301
279.70691	300
279.72806	303
279.74921	302
279.77036	306
279.7915	303
279.81265	302
279.8338	298
279.85495	308
279.8761	304
279.89725	300
279.9184	298
279.93954	301
279.96069	305
279.98184	299
280.00299	300
280.02411	300
280.04526	298
280.06641	303
280.08755	303
280.1087	299
280.12985	299
280.151	300
280.17215	302
280.1933	299
280.21445	296
280.23557	302
280.25671	306
280.27786	306
280.29901	294
280.32016	305
280.34131	298
280.36246	304
280.38358	301
280.40472	304
280.42587	302
280.44702	295
280.46817	305
280.48929	304
280.51044	305
280.53159	309
280.55273	300
280.57388	303
280.595	302
280.61615	302
280.6373	301
280.65845	298
280.67957	304
280.70071	302
280.72186	301
280.74301	299
280.76413	307
280.78528	305
280.80643	298
280.82755	301
280.84869	292
280.86984	303
280.89096	302
280.91211	302
280.93326	309
280.95438	302
280.97552	304
280.99667	300
281.01779	298
281.03894	305
281.06009	305
281.08121	307
281.10236	309
281.12347	303
281.14462	302
281.16577	311
281.18689	305
281.20804	300
281.22916	297
281.25031	305
