Date and Time:                Fri Oct 7 12:09:24.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.35
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              260
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



238.25345	3906
238.27481	3747
238.29616	3739
238.31752	3708
238.33887	3728
238.36021	3739
238.38158	3758
238.40292	3769
238.42427	3728
238.44563	3751
238.46698	3764
238.48833	3729
238.50969	3765
238.53104	3731
238.55238	3753
238.57375	3756
238.59509	3747
238.61644	3742
238.63779	3765
238.65915	3764
238.6805	3778
238.70184	3805
238.72319	3779
238.74454	3795
238.7659	3830
238.78725	3789
238.80859	3804
238.82994	3837
238.85129	3823
238.87263	3819
238.89398	3820
238.91534	3844
238.93669	3848
238.95804	3868
238.97939	3823
239.00073	3862
239.02208	3844
239.04343	3873
239.06477	3869
239.08612	3870
239.10747	3872
239.12881	3854
239.15016	3855
239.17151	3843
239.19286	3856
239.2142	3864
239.23555	3860
239.2569	3871
239.27823	3888
239.29958	3905
239.32092	3916
239.34227	3854
239.36362	3923
239.38496	3923
239.40631	3898
239.42764	3928
239.44899	3923
239.47034	3968
239.49168	3970
239.51303	3984
239.53436	3952
239.55571	3961
239.57706	3953
239.5984	3946
239.61974	3961
239.64108	3973
239.66243	3939
239.68376	3943
239.70511	3932
239.72646	3913
239.74779	3922
239.76913	3900
239.79048	3908
239.81181	3931
239.83316	3941
239.85451	3946
239.87584	3942
239.89719	3932
239.91852	3938
239.93987	3928
239.9612	3926
239.98254	3937
240.00388	3970
240.02522	3963
240.04655	3975
240.0679	3998
240.08923	3998
240.11058	4001
240.13191	3980
240.15326	4004
240.17459	3999
240.19592	4004
240.21727	3991
240.2386	4004
240.25995	4010
240.28128	4016
240.30261	4013
240.32396	4036
240.34529	4026
240.36662	4065
240.38797	4069
240.4093	4022
240.43063	4053
240.45197	4073
240.47331	4082
240.49464	4070
240.51598	4082
240.53731	4122
240.55865	4103
240.57999	4110
240.60132	4112
240.62265	4077
240.64398	4117
240.66533	4110
240.68666	4135
240.70799	4153
