Date and Time:                Fri Oct 7 12:11:23.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              260
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



238.25345	44281
238.27481	43017
238.29616	43546
238.31752	43453
238.33887	42973
238.36021	43413
238.38158	43113
238.40292	43035
238.42427	42703
238.44563	42551
238.46698	42252
238.48833	41753
238.50969	41176
238.53104	41379
238.55238	41153
238.57375	41093
238.59509	40944
238.61644	40957
238.63779	40892
238.65915	40742
238.6805	40540
238.70184	40402
238.72319	40140
238.74454	40272
238.7659	40023
238.78725	40015
238.80859	40142
238.82994	39896
238.85129	39819
238.87263	39594
238.89398	39346
238.91534	39288
238.93669	39244
238.95804	39105
238.97939	38724
239.00073	38707
239.02208	38515
239.04343	38532
239.06477	38382
239.08612	38451
239.10747	37847
239.12881	37630
239.15016	37031
239.17151	36841
239.19286	37014
239.2142	37059
239.23555	36952
239.2569	36697
239.27823	36597
239.29958	36584
239.32092	36472
239.34227	36098
239.36362	35930
239.38496	35990
239.40631	35915
239.42764	35751
239.44899	35767
239.47034	35587
239.49168	35645
239.51303	35558
239.53436	35138
239.55571	34861
239.57706	34778
239.5984	34618
239.61974	34362
239.64108	34115
239.66243	33935
239.68376	33823
239.70511	33373
239.72646	33109
239.74779	32828
239.76913	32793
239.79048	32668
239.81181	32578
239.83316	32459
239.85451	32262
239.87584	32051
239.89719	31805
239.91852	31736
239.93987	31500
239.9612	31426
239.98254	31412
240.00388	31332
240.02522	31281
240.04655	31157
240.0679	31111
240.08923	31094
240.11058	30830
240.13191	30643
240.15326	30491
240.17459	30372
240.19592	30111
240.21727	29863
240.2386	29710
240.25995	29735
240.28128	29773
240.30261	29560
240.32396	29313
240.34529	29318
240.36662	29293
240.38797	29304
240.4093	29043
240.43063	28915
240.45197	28763
240.47331	28523
240.49464	28498
240.51598	28502
240.53731	28491
240.55865	28387
240.57999	28129
240.60132	27921
240.62265	27743
240.64398	27529
240.66533	27526
240.68666	27640
240.70799	27404
240.72932	27173
