Date and Time:                Fri Oct 28 12:34:41.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	301
366.98206	304
367.00275	303
367.02341	303
367.0441	302
367.06479	300
367.08548	299
367.10617	300
367.12683	298
367.14752	307
367.16821	304
367.1889	302
367.20956	296
367.23026	304
367.25095	302
367.27161	307
367.2923	304
367.31299	308
367.33368	297
367.35434	299
367.37503	301
367.39572	303
367.41638	298
367.43707	299
367.45776	302
367.47842	306
367.49911	298
367.51981	301
367.54047	298
367.56116	302
367.58182	304
367.60251	296
367.6232	302
367.64386	295
367.66455	306
367.68521	303
367.7059	300
367.72656	305
367.74725	306
367.76794	305
367.7886	305
367.8093	306
367.82996	308
367.85065	304
367.87131	302
367.892	300
367.91266	301
367.93335	296
367.95401	307
367.9747	298
367.99536	300
368.01605	305
368.03671	304
368.05737	300
368.07806	303
368.09872	298
368.11942	306
368.14008	301
368.16077	307
368.18143	300
368.20209	296
368.22278	300
368.24344	308
368.2641	295
368.28479	305
368.30545	296
368.32614	302
368.3468	305
368.36746	305
368.38815	299
368.40881	303
368.42947	305
368.45013	304
368.47083	300
368.49149	299
368.51215	300
368.53284	300
368.5535	302
368.57416	299
368.59482	298
368.61551	304
368.63617	304
368.65683	302
368.67749	302
368.69818	301
368.71884	303
368.7395	308
368.76016	301
368.78082	300
368.80151	304
368.82217	308
368.84283	296
368.86349	303
368.88416	299
368.90482	299
368.92548	301
368.94617	303
368.96683	300
368.98749	298
369.00815	303
369.02881	300
369.04947	302
369.07013	311
369.09079	297
369.11145	302
369.13211	300
369.1528	308
369.17346	300
369.19412	301
369.21478	303
369.23544	303
369.2561	296
369.27676	299
369.29742	300
369.31808	311
369.33875	300
369.35941	307
369.38007	301
369.40073	302
369.42139	303
369.44205	309
369.46268	300
369.48334	303
369.504	303
369.52466	302
369.54532	299
369.56598	301
369.58664	304
369.6073	302
369.62796	301
369.64862	301
369.66928	300
369.68991	304
