Date and Time:                Fri Oct 28 12:42:35.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	302
366.98206	300
367.00275	301
367.02341	305
367.0441	303
367.06479	297
367.08548	298
367.10617	297
367.12683	304
367.14752	299
367.16821	297
367.1889	301
367.20956	303
367.23026	298
367.25095	302
367.27161	295
367.2923	302
367.31299	299
367.33368	301
367.35434	297
367.37503	299
367.39572	305
367.41638	299
367.43707	299
367.45776	303
367.47842	298
367.49911	300
367.51981	303
367.54047	301
367.56116	300
367.58182	301
367.60251	296
367.6232	302
367.64386	298
367.66455	303
367.68521	307
367.7059	302
367.72656	299
367.74725	306
367.76794	306
367.7886	301
367.8093	299
367.82996	298
367.85065	304
367.87131	306
367.892	303
367.91266	303
367.93335	300
367.95401	300
367.9747	300
367.99536	301
368.01605	297
368.03671	297
368.05737	307
368.07806	302
368.09872	296
368.11942	304
368.14008	298
368.16077	298
368.18143	304
368.20209	304
368.22278	299
368.24344	297
368.2641	296
368.28479	299
368.30545	300
368.32614	297
368.3468	296
368.36746	300
368.38815	298
368.40881	299
368.42947	300
368.45013	305
368.47083	302
368.49149	298
368.51215	309
368.53284	300
368.5535	299
368.57416	306
368.59482	301
368.61551	302
368.63617	300
368.65683	296
368.67749	306
368.69818	301
368.71884	304
368.7395	296
368.76016	300
368.78082	300
368.80151	299
368.82217	301
368.84283	300
368.86349	302
368.88416	301
368.90482	300
368.92548	299
368.94617	306
368.96683	302
368.98749	295
369.00815	300
369.02881	301
369.04947	295
369.07013	303
369.09079	299
369.11145	306
369.13211	302
369.1528	299
369.17346	296
369.19412	298
369.21478	300
369.23544	295
369.2561	301
369.27676	303
369.29742	304
369.31808	302
369.33875	296
369.35941	294
369.38007	295
369.40073	297
369.42139	310
369.44205	300
369.46268	302
369.48334	299
369.504	300
369.52466	296
369.54532	295
369.56598	295
369.58664	298
369.6073	301
369.62796	303
369.64862	302
369.66928	305
369.68991	304
