Date and Time:                Mon Oct 10 15:45:12.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              235
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



213.13235	536
213.15382	517
213.17529	506
213.19676	494
213.21823	517
213.23969	505
213.26115	496
213.28262	503
213.30409	491
213.32556	489
213.34703	503
213.36848	508
213.38995	503
213.41142	496
213.43289	497
213.45435	489
213.47581	503
213.49728	480
213.51874	517
213.54021	492
213.56168	485
213.58315	489
213.6046	503
213.62607	494
213.64752	488
213.66899	498
213.69046	486
213.71191	480
213.73338	476
213.75485	473
213.77631	471
213.79778	486
213.81923	483
213.8407	493
213.86215	489
213.88362	498
213.90508	488
213.92654	497
213.948	503
213.96947	506
213.99092	464
214.01239	498
214.03384	482
214.05531	487
214.07677	490
214.09824	493
214.11969	481
214.14114	469
214.16261	488
214.18407	481
214.20552	468
214.22699	482
214.24844	478
214.2699	490
214.29137	494
214.31282	488
214.33427	482
214.35574	530
214.3772	480
214.39865	469
214.4201	494
214.44157	478
214.46303	511
214.48448	462
214.50594	480
214.5274	467
214.54886	478
214.57031	476
214.59177	509
214.61322	483
214.63467	478
214.65614	477
214.6776	501
214.69905	474
214.7205	485
214.74196	491
214.76341	490
214.78487	457
214.80632	472
214.82777	475
214.84923	460
214.87068	490
214.89214	462
214.91359	469
214.93504	454
214.9565	476
214.97795	468
214.9994	474
215.02086	472
215.04231	472
215.06377	461
215.08522	454
215.10667	473
215.12813	477
215.14958	457
215.17104	459
215.19247	481
215.21393	463
215.23538	460
215.25684	458
215.27829	454
215.29974	442
215.32118	469
215.34264	463
215.36409	448
215.38554	454
215.40698	458
215.42844	454
215.44989	476
215.47134	486
215.49278	448
215.51424	463
215.53569	451
215.55713	443
215.57858	470
215.60004	460
215.62148	449
215.64293	477
215.66438	463
215.68582	466
215.70728	440
215.72871	445
215.75017	449
215.77161	460
215.79306	450
215.81451	474
215.83595	466
215.85741	453
215.87885	453
215.9003	474
215.92174	446
215.94319	461
215.96463	443
215.98608	462
