# wl center%tx left%tx right%tx top%tx bottom%tx
 378.08228  0.00138 -0.00121  0.00190  0.00190 -0.00052
 378.10287 -0.00173 -0.00121 -0.00328 -0.00138 -0.00311
 378.12346 -0.00121 -0.00017  0.00052  0.00069 -0.00208
 378.14408 -0.00138 -0.00103 -0.00069 -0.00052 -0.00190
 378.16466 -0.00034 -0.00034 -0.00017 -0.00137 -0.00137
 378.18525  0.00034  0.00017  0.00017  0.00034  0.00086
 378.20587 -0.00310 -0.00172 -0.00120 -0.00241 -0.00327
 378.22646 -0.00052 -0.00052  0.00069  0.00017  0.00069
 378.24708 -0.00342 -0.00308 -0.00205 -0.00291 -0.00291
 378.26766  0.00187  0.00051 -0.00238 -0.00238 -0.00119
 378.28825 -0.00051  0.00000 -0.00051 -0.00237 -0.00101
 378.30887 -0.00185 -0.00084 -0.00067 -0.00017 -0.00134
 378.32946  0.00050 -0.00067 -0.00017  0.00034 -0.00151
 378.35004  0.00017  0.00135  0.00168  0.00000  0.00000
 378.37062 -0.00034  0.00034 -0.00169 -0.00186 -0.00135
 378.39124  0.00034  0.00067 -0.00050 -0.00067 -0.00017
 378.41183  0.00168  0.00084  0.00185 -0.00017  0.00151
 378.43242  0.00067  0.00169  0.00084  0.00152  0.00152
 378.45303  0.00101 -0.00050  0.00050  0.00117  0.00017
 378.47362  0.00134  0.00084  0.00269  0.00034  0.00000
 378.49421  0.00050 -0.00017 -0.00117  0.00117 -0.00117
 378.51480 -0.00017  0.00220  0.00017 -0.00203  0.00101
 378.53542 -0.00085 -0.00085 -0.00068 -0.00034  0.00085
 378.55600 -0.00255 -0.00306 -0.00492 -0.00255 -0.00357
 378.57659  0.00102  0.00204 -0.00034 -0.00153 -0.00034
 378.59718  0.00034  0.00068 -0.00085 -0.00085  0.00153
 378.61780  0.00188  0.00034  0.00171  0.00222  0.00017
 378.63838 -0.00119  0.00017 -0.00068 -0.00187 -0.00153
 378.65897  0.00324 -0.00051  0.00136  0.00068 -0.00171
 378.67956  0.00204  0.00102  0.00051 -0.00068  0.00136
 378.70015 -0.00170 -0.00017 -0.00051 -0.00068 -0.00255
 378.72074 -0.00068 -0.00034 -0.00051 -0.00205 -0.00205
 378.74135  0.00324  0.00085  0.00119  0.00154  0.00119
 378.76194  0.00017 -0.00034  0.00017  0.00051  0.00017
 378.78252 -0.00118  0.00017 -0.00219 -0.00168 -0.00084
 378.80311  0.00034  0.00152  0.00135  0.00034  0.00068
 378.82370  0.00051 -0.00034 -0.00186 -0.00169 -0.00219
 378.84428  0.00017  0.00101  0.00067  0.00084 -0.00118
 378.86490  0.00302 -0.00017 -0.00050  0.00117  0.00101
 378.88549  0.00067 -0.00134 -0.00168 -0.00067 -0.00134
 378.90608 -0.00085 -0.00034 -0.00135 -0.00034 -0.00085
 378.92666 -0.00101 -0.00253  0.00084 -0.00186 -0.00287
 378.94725 -0.00034  0.00152  0.00270  0.00051  0.00169
 378.96784 -0.00118  0.00051  0.00152  0.00084 -0.00152
 378.98843 -0.00170 -0.00051  0.00068 -0.00017 -0.00255
 379.00902  0.00102 -0.00051  0.00068  0.00051 -0.00017
 379.02960  0.00000  0.00034 -0.00051  0.00051  0.00068
 379.05019  0.00017 -0.00169  0.00000 -0.00169 -0.00102
 379.07078 -0.00152 -0.00101 -0.00034 -0.00118 -0.00219
 379.09137 -0.00152  0.00270  0.00034 -0.00051 -0.00101
 379.11196 -0.00051  0.00084 -0.00068  0.00000  0.00068
 379.13253  0.00017 -0.00067  0.00168  0.00067  0.00034
 379.15312  0.00186  0.00253  0.00152  0.00321  0.00304
 379.17371 -0.00135  0.00202  0.00000  0.00219  0.00202
 379.19430 -0.00034 -0.00034  0.00152  0.00119 -0.00102
 379.21489  0.00034  0.00034  0.00135 -0.00034 -0.00169
 379.23547 -0.00202  0.00067 -0.00118 -0.00067 -0.00118
 379.25606  0.00084  0.00217  0.00201  0.00217 -0.00184
 379.27665 -0.00351 -0.00200 -0.00200 -0.00033 -0.00250
 379.29724 -0.00083 -0.00067 -0.00150 -0.00250 -0.00067
 379.31782  0.00033  0.00000  0.00167  0.00100  0.00050
 379.33841 -0.00236 -0.00067 -0.00219 -0.00320 -0.00252
 379.35900  0.00034 -0.00118  0.00034 -0.00151 -0.00202
 379.37959  0.00017 -0.00151 -0.00135 -0.00034 -0.00185
 379.40018 -0.00050 -0.00286 -0.00050 -0.00034 -0.00202
 379.42076 -0.00134 -0.00185 -0.00218 -0.00420 -0.00235
 379.44134 -0.00067 -0.00169 -0.00017  0.00000  0.00017
 379.46193 -0.00101  0.00000  0.00101 -0.00135 -0.00051
 379.48252  0.00085 -0.00017 -0.00068  0.00085 -0.00221
 379.50311 -0.00050  0.00084 -0.00084 -0.00067 -0.00168
 379.52366  0.00067 -0.00050  0.00184  0.00217  0.00017
 379.54425  0.00067  0.00000  0.00100  0.00067 -0.00067
 379.56484  0.00050 -0.00117  0.00067  0.00050 -0.00017
 379.58543 -0.00150 -0.00133  0.00033 -0.00150 -0.00366
 379.60601  0.00116  0.00066 -0.00017 -0.00182  0.00000
 379.62660  0.00100 -0.00117  0.00167  0.00133  0.00067
 379.64719 -0.00067  0.00033  0.00000  0.00017 -0.00067
 379.66775 -0.00233 -0.00133 -0.00083 -0.00267 -0.00200
 379.68834 -0.00166 -0.00133 -0.00166 -0.00133 -0.00282
 379.70892  0.00066  0.00082  0.00066 -0.00033 -0.00181
 379.72950 -0.00295 -0.00033 -0.00115  0.00115 -0.00246
 379.75009  0.00196  0.00539  0.00278  0.00114  0.00180
 379.77068 -0.00098  0.00098  0.00033  0.00082  0.00000
 379.79124 -0.00065 -0.00049 -0.00326 -0.00228 -0.00081
 379.81182 -0.00016  0.00049 -0.00033  0.00196  0.00131
 379.83241  0.00033  0.00049  0.00049  0.00033  0.00066
 379.85300 -0.00082 -0.00114 -0.00147 -0.00049  0.00033
 379.87356  0.00049 -0.00115  0.00131 -0.00049 -0.00016
 379.89415  0.00033  0.00082  0.00049  0.00163  0.00098
 379.91473  0.00033  0.00066 -0.00033 -0.00082  0.00000
 379.93532 -0.00115 -0.00082 -0.00033 -0.00148 -0.00180
 379.95588 -0.00033 -0.00016 -0.00148 -0.00181  0.00115
 379.97647 -0.00083 -0.00099 -0.00248 -0.00132 -0.00033
 379.99705 -0.00149 -0.00099 -0.00099 -0.00166 -0.00050
 380.01760  0.00101  0.00185  0.00185  0.00034 -0.00017
 380.03819  0.00150  0.00067  0.00017 -0.00033  0.00183
 380.05878  0.00249  0.00033 -0.00050  0.00050  0.00133
 380.07934 -0.00066 -0.00115  0.00082 -0.00082 -0.00230
 380.09992 -0.00049 -0.00082 -0.00131  0.00016  0.00049
 380.12051  0.00033 -0.00098  0.00000 -0.00049 -0.00016
 380.14107  0.00099  0.00016 -0.00049 -0.00066  0.00049
 380.16166 -0.00347 -0.00182 -0.00165 -0.00297 -0.00479
 380.18225  0.00000 -0.00196 -0.00082 -0.00180 -0.00212
 380.20280  0.00196  0.00098  0.00294 -0.00049  0.00082
 380.22339  0.00213  0.00082 -0.00278  0.00066  0.00115
 380.24398  0.00098 -0.00147  0.00163 -0.00049 -0.00098
 380.26453  0.00033  0.00016  0.00098  0.00033 -0.00147
 380.28512  0.00146  0.00243  0.00065  0.00081  0.00421
 380.30567 -0.00162 -0.00049 -0.00032  0.00130  0.00049
 380.32626 -0.00049 -0.00114 -0.00097 -0.00097 -0.00130
 380.34685 -0.00163 -0.00065 -0.00147 -0.00033 -0.00212
 380.36741  0.00148  0.00082  0.00197  0.00115 -0.00164
 380.38799 -0.00033 -0.00033  0.00132 -0.00049  0.00115
 380.40855 -0.00265 -0.00166 -0.00066 -0.00166 -0.00133
 380.42914 -0.00099  0.00165 -0.00230 -0.00148 -0.00296
 380.44970 -0.00132 -0.00099 -0.00264 -0.00033 -0.00214
 380.47029  0.00115 -0.00082 -0.00164  0.00016 -0.00033
 380.49083  0.00033 -0.00033  0.00066  0.00049  0.00164
 380.51142  0.00033  0.00263 -0.00033  0.00033 -0.00131
 380.53201 -0.00180 -0.00115 -0.00049 -0.00180 -0.00213
 380.55257 -0.00017  0.00116  0.00033  0.00017 -0.00066
 380.57316 -0.00066 -0.00133  0.00050  0.00033  0.00083
 380.59371 -0.00050  0.00117 -0.00100 -0.00017 -0.00050
 380.61430  0.00050  0.00151  0.00117  0.00000 -0.00168
 380.63486  0.00000  0.00000 -0.00067 -0.00084  0.00034
 380.65542 -0.00017  0.00251  0.00084  0.00100  0.00117
 380.67601 -0.00100 -0.00116 -0.00033 -0.00183 -0.00166
 380.69656  0.00149  0.00133  0.00149  0.00000  0.00083
