Date and Time:                Thu Apr 7 12:41:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
382.49567	306
382.50443	306
382.51318	307
382.52197	313
382.53073	306
382.53952	308
382.54828	311
382.55704	304
382.5658	302
382.57458	306
382.58334	300
382.5921	310
382.60089	313
382.60965	301
382.61841	308
382.6272	305
382.63596	311
382.64471	308
382.65347	306
382.66226	314
382.67102	308
382.67978	316
382.68854	305
382.6973	301
382.70609	308
382.71484	307
382.7236	305
382.73236	302
382.74112	314
382.74991	310
382.75867	306
382.76743	307
382.77618	307
382.78494	312
382.7937	308
382.80249	311
382.81125	307
382.82001	313
382.82877	311
382.83752	308
382.84628	302
382.85504	307
382.86383	305
382.87259	311
382.88135	304
382.89011	304
382.89886	306
382.90762	315
382.91638	310
382.92514	305
382.9339	300
382.94266	309
382.95142	312
382.96017	307
382.96893	306
382.97769	312
382.98645	305
382.99521	308
383.00397	316
383.01273	307
383.02148	312
383.03024	307
383.039	311
383.04776	319
383.05652	307
383.06528	314
383.07404	309
383.08279	307
383.09155	314
383.10031	314
383.10907	308
383.11783	310
383.12659	306
383.13535	313
383.1441	308
383.15286	313
383.16159	314
383.17035	310
383.17911	306
383.18787	309
383.19662	314
383.20538	311
383.21414	307
383.2229	313
383.23163	314
383.24039	316
383.24915	312
383.2579	307
383.26666	310
383.27542	310
383.28415	307
383.29291	313
383.30167	316
383.31042	311
383.31918	308
383.32791	309
383.33667	317
383.34543	312
383.35419	311
383.36292	314
383.37167	315
383.38043	309
383.38919	312
383.39792	314
383.40668	311
383.41544	311
383.42419	309
383.43292	308
383.44168	309
383.45044	310
383.45917	312
383.46793	309
383.47668	310
383.48541	313
383.49417	315
383.50293	307
383.51166	316
383.52042	315
383.52917	314
383.5379	312
383.54666	309
383.55539	315
383.56415	310
383.57291	309
383.58163	305
383.59039	317
383.59912	312
383.60788	313
383.61664	312
383.62537	315
383.63412	313
383.64285	311
383.65161	313
383.66034	315
383.6691	306
383.67786	315
383.68658	305
383.69534	315
383.70407	309
383.71283	308
383.72156	318
383.73032	314
383.73904	316
383.7478	315
383.75653	309
383.76526	318
383.77402	317
383.78275	311
383.7915	307
383.80023	308
383.80899	315
383.81772	311
383.82648	315
383.83521	308
383.84393	315
383.85269	311
383.86142	316
383.87018	322
383.87891	318
383.88763	313
383.89639	313
383.90512	316
383.91388	316
383.92261	310
383.93134	310
383.94009	318
383.94882	317
383.95755	310
383.96631	315
383.97504	312
383.98376	309
383.99252	317
384.00125	318
384.00998	316
384.01871	313
384.02747	314
384.03619	313
384.04492	316
384.05368	315
384.06241	319
384.07114	314
384.07986	313
384.08862	313
384.09735	317
384.10608	320
384.11481	313
384.12354	319
384.13229	319
384.14102	321
384.14975	319
384.15848	315
384.16721	317
384.17596	316
384.18469	323
384.19342	314
384.20215	317
384.21088	322
384.2196	317
384.22836	317
384.23709	313
384.24582	313
384.25455	325
384.26328	317
384.272	314
384.28073	315
384.28946	316
384.29822	321
384.30695	322
384.31567	318
384.3244	319
384.33313	314
384.34186	319
384.35059	323
384.35931	320
384.36804	314
384.37677	327
384.3855	318
384.39423	316
384.40295	322
384.41168	315
384.42041	320
384.42914	328
384.43787	324
384.44659	317
384.45532	323
384.46405	326
384.47278	320
384.48151	316
384.49023	322
384.49896	321
384.50769	319
384.51642	324
384.52515	318
384.53387	322
384.5426	321
384.5513	322
384.56003	319
384.56876	324
384.57748	321
384.58621	325
384.59494	322
384.60367	323
384.6124	318
384.62112	326
384.62982	323
384.63855	328
384.64728	320
384.65601	324
384.66473	318
384.67346	327
384.68216	320
384.69089	319
384.69962	330
384.70834	326
384.71707	324
384.72577	326
384.7345	331
384.74323	324
384.75195	323
384.76065	328
384.76938	324
384.77811	327
384.78683	334
384.79553	331
384.80426	323
384.81299	331
384.82172	325
384.83041	333
384.83914	326
384.84787	326
384.85657	322
384.8653	328
384.87402	332
384.88272	332
384.89145	328
384.90018	330
384.90887	326
384.9176	329
384.92633	337
384.93503	335
384.94376	336
384.95248	329
384.96118	335
384.96991	335
384.97861	326
384.98734	338
384.99606	339
385.00476	325
385.01349	331
385.02219	332
385.03091	337
385.03964	335
385.04834	331
385.05707	333
385.06577	339
385.07449	338
385.08319	341
385.09192	333
385.10062	335
385.10934	335
385.11804	334
385.12677	334
385.13547	337
385.1442	347
385.15289	326
385.16162	341
