Date and Time:                Thu Apr 7 12:39:58.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



379.05273	310
379.06155	305
379.0704	306
379.07925	308
379.08807	303
379.09692	307
379.10577	303
379.11459	306
379.12344	305
379.13229	306
379.14111	309
379.14996	305
379.15881	306
379.16763	304
379.17648	307
379.18533	305
379.19415	305
379.203	307
379.21182	307
379.22067	309
379.22949	311
379.23834	307
379.24719	308
379.25601	305
379.26486	314
379.27368	305
379.28253	307
379.29135	305
379.3002	310
379.30902	308
379.31787	306
379.32672	303
379.33554	315
379.34439	302
379.35321	310
379.36206	306
379.37088	308
379.37973	304
379.38855	315
379.39737	299
379.40622	308
379.41504	300
379.42389	306
379.43271	312
379.44156	312
379.45038	303
379.45923	311
379.46805	308
379.47687	306
379.48572	305
379.49454	300
379.50339	307
379.51221	310
379.52103	307
379.52988	311
379.5387	314
379.54755	306
379.55637	306
379.56519	310
379.57404	304
379.58286	309
379.59167	309
379.60052	308
379.60934	304
379.61816	314
379.62701	311
379.63583	308
379.64465	305
379.6535	303
379.66232	306
379.67114	310
379.67996	303
379.68881	309
379.69763	306
379.70645	310
379.7153	304
379.72412	304
379.73294	307
379.74176	307
379.75061	304
379.75943	305
379.76825	311
379.77707	304
379.78589	305
379.79474	312
379.80356	301
379.81238	312
379.8212	309
379.83002	308
379.83887	314
379.84769	309
379.85651	300
379.86533	303
379.87415	309
379.88297	307
379.89182	305
379.90063	307
379.90945	309
379.91827	309
379.92709	308
379.93591	313
379.94473	302
379.95355	312
379.96237	305
379.97122	310
379.98004	308
379.98886	313
379.99768	304
380.0065	308
380.01532	305
380.02414	311
380.03296	304
380.04178	306
380.0506	309
380.05942	308
380.06824	309
380.07706	309
380.08588	309
380.0947	310
380.10352	305
380.11234	314
380.12115	311
380.12997	307
380.13879	311
380.14761	310
380.15643	304
380.16525	306
380.17407	307
380.18289	304
380.19171	308
380.20053	305
380.20935	314
380.21817	306
380.22699	307
