Date and Time:                Thu Apr 7 12:38:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
382.49567	309
382.50443	308
382.51318	307
382.52197	311
382.53073	302
382.53952	306
382.54828	309
382.55704	307
382.5658	303
382.57458	315
382.58334	307
382.5921	309
382.60089	302
382.60965	308
382.61841	314
382.6272	311
382.63596	307
382.64471	310
382.65347	310
382.66226	305
382.67102	304
382.67978	306
382.68854	309
382.6973	305
382.70609	312
382.71484	312
382.7236	302
382.73236	316
382.74112	310
382.74991	309
382.75867	317
382.76743	310
382.77618	310
382.78494	302
382.7937	310
382.80249	308
382.81125	308
382.82001	304
382.82877	302
382.83752	309
382.84628	308
382.85504	311
382.86383	313
382.87259	312
382.88135	310
382.89011	307
382.89886	307
382.90762	309
382.91638	305
382.92514	307
382.9339	309
382.94266	313
382.95142	310
382.96017	313
382.96893	306
382.97769	312
382.98645	309
382.99521	311
383.00397	305
383.01273	311
383.02148	311
383.03024	309
383.039	302
383.04776	309
383.05652	310
383.06528	316
383.07404	315
383.08279	311
383.09155	302
383.10031	314
383.10907	312
383.11783	302
383.12659	308
383.13535	306
383.1441	311
383.15286	310
383.16159	312
383.17035	307
383.17911	301
383.18787	305
383.19662	307
383.20538	317
383.21414	312
383.2229	308
383.23163	312
383.24039	312
383.24915	307
383.2579	308
383.26666	308
383.27542	307
383.28415	313
383.29291	312
383.30167	304
383.31042	315
383.31918	311
383.32791	305
383.33667	311
383.34543	312
383.35419	314
383.36292	313
