# wl(nm) oob_tx(%)
3.680433500000000322e+02 8.809218079606365506e-04
3.680640099999999961e+02 8.907796907815894449e-04
3.680846999999999980e+02 8.853443813955697884e-04
3.681053600000000188e+02 8.868523894728111380e-04
3.681260500000000206e+02 8.925727661788004225e-04
3.681467100000000414e+02 8.980764817903315192e-04
3.681673700000000053e+02 9.078001371515051618e-04
3.681880600000000072e+02 9.053264669753377644e-04
3.682087200000000280e+02 9.100385599566052303e-04
3.682294200000000046e+02 9.110053946855855341e-04
3.682500800000000254e+02 9.523441275978732816e-04
3.682707700000000273e+02 9.515703743806420457e-04
3.682914299999999912e+02 9.051078095775840545e-04
3.683120900000000120e+02 9.174695039465483037e-04
3.683327800000000138e+02 9.216086182713954279e-04
3.683534400000000346e+02 9.266487809470016958e-04
3.683740999999999985e+02 9.317215755437977800e-04
3.683947900000000004e+02 9.246784066296265215e-04
3.684154500000000212e+02 9.280239901217146939e-04
3.684361400000000231e+02 9.314643427605000074e-04
3.684567999999999870e+02 9.381310985298790600e-04
3.684774600000000078e+02 9.387376929764786439e-04
3.684981500000000096e+02 9.521247691746741963e-04
3.685188100000000304e+02 9.519399131557328402e-04
3.685394699999999943e+02 9.446349087418195014e-04
3.685601300000000151e+02 9.495690291728688072e-04
3.685808299999999917e+02 9.482123902118267528e-04
3.686014900000000125e+02 9.540073064493465732e-04
3.686221500000000333e+02 9.553496417676691490e-04
3.686428400000000352e+02 9.574478332534516398e-04
3.686634999999999991e+02 9.608771970775659187e-04
3.686841600000000199e+02 9.583814272868471920e-04
3.687048200000000406e+02 9.736989244800485586e-04
3.687255099999999857e+02 9.664578538466033321e-04
3.687461700000000064e+02 9.801208777077659653e-04
3.687668300000000272e+02 9.860734450095655097e-04
3.687874899999999911e+02 9.893384842737291702e-04
3.688081799999999930e+02 9.962993254342734657e-04
3.688288400000000138e+02 9.986334522882353657e-04
3.688495000000000346e+02 9.973019192341650487e-04
3.688701599999999985e+02 9.953830938390830635e-04
3.688908200000000193e+02 9.932594597116596070e-04
3.689115100000000211e+02 9.948147543087854702e-04
3.689321700000000419e+02 1.001991681908734159e-03
3.689528300000000058e+02 1.012547199514885659e-03
3.689734900000000266e+02 1.009688689600411185e-03
3.689941600000000221e+02 9.964275140169483961e-04
3.690148199999999861e+02 1.020023059453793778e-03
3.690354800000000068e+02 1.009702783566364262e-03
3.690561700000000087e+02 1.012956853974466198e-03
3.690768300000000295e+02 1.048064760351755977e-03
3.690974899999999934e+02 1.034850693354720996e-03
3.691181500000000142e+02 1.020813784271494291e-03
3.691388100000000350e+02 1.010161429336812067e-03
3.691594699999999989e+02 1.006392636753477687e-03
3.691801300000000197e+02 1.018951331752893747e-03
3.692007900000000404e+02 1.025690385307050914e-03
3.692214500000000044e+02 1.028371779682672738e-03
3.692421100000000251e+02 1.007532494637370345e-03
3.692628000000000270e+02 1.014858056591967867e-03
3.692834599999999909e+02 1.013202688476799816e-03
3.693041200000000117e+02 1.019665531698052234e-03
3.693247800000000325e+02 1.026083366194242797e-03
3.693454399999999964e+02 1.013043508423036674e-03
3.693661000000000172e+02 1.018741808347106356e-03
3.693867600000000380e+02 1.023320195563980246e-03
3.694074200000000019e+02 1.013249574844688264e-03
3.694280800000000227e+02 1.024896703296703394e-03
3.694487500000000182e+02 1.025693073308162322e-03
3.694694100000000390e+02 1.020288047307208118e-03
3.694900700000000029e+02 1.022485291742611033e-03
3.695107300000000237e+02 1.012807225723205869e-03
3.695313899999999876e+02 1.014434466242976991e-03
3.695520500000000084e+02 1.017091468030925346e-03
3.695726799999999912e+02 1.016478884562818088e-03
3.695933400000000120e+02 1.004203016573952017e-03
3.696140000000000327e+02 9.987173833149575602e-04
3.696346599999999967e+02 9.999274380582791680e-04
3.696553200000000174e+02 1.002745210705953969e-03
3.696759800000000382e+02 1.012718794505443982e-03
3.696966400000000021e+02 9.995649832112859200e-04
3.697173000000000229e+02 1.002382625066005695e-03
3.697379599999999868e+02 1.005413872301332218e-03
3.697586200000000076e+02 1.004491966352655599e-03
3.697792800000000284e+02 1.011177579920679659e-03
3.697999100000000112e+02 1.008341147679710746e-03
3.698205700000000320e+02 1.005329046381173760e-03
3.698412299999999959e+02 1.019212469049874054e-03
3.698618900000000167e+02 1.011095743466849115e-03
3.698825500000000375e+02 9.956063947708234611e-04
3.699032100000000014e+02 1.005562547825987691e-03
3.699238400000000411e+02 1.010813005348569407e-03
3.699445000000000050e+02 9.987861824139814774e-04
3.699651600000000258e+02 1.001397425674905922e-03
3.699858199999999897e+02 9.923098101229823990e-04
3.700064800000000105e+02 1.005511785965949173e-03
3.700271099999999933e+02 1.010209201221381114e-03
3.700477700000000141e+02 1.011455273091091053e-03
3.700684400000000096e+02 1.018552075282993206e-03
3.700891000000000304e+02 1.014401912786064243e-03
3.701097599999999943e+02 1.023611585102268511e-03
3.701303900000000340e+02 1.017019241716952960e-03
3.701510499999999979e+02 1.025034174792672712e-03
3.701717100000000187e+02 1.010295026820619974e-03
3.701923400000000015e+02 1.036108845386985887e-03
3.702130000000000223e+02 1.027621960890943466e-03
3.702336599999999862e+02 1.034116967672535923e-03
3.702543200000000070e+02 1.041037463976945271e-03
3.702749499999999898e+02 1.031076790882778883e-03
3.702956100000000106e+02 1.039224009886957839e-03
3.703162700000000314e+02 1.049964588913606268e-03
3.703369000000000142e+02 1.049300263708283915e-03
3.703575600000000350e+02 1.057079142087496114e-03
3.703782199999999989e+02 1.050108674624759602e-03
3.703988500000000386e+02 1.066056640913900849e-03
3.704195100000000025e+02 1.057076759399687774e-03
3.704401700000000233e+02 1.057775016099329933e-03
3.704608000000000061e+02 1.059474630511234505e-03
3.704814600000000269e+02 1.069131468689842653e-03
3.705020900000000097e+02 1.065135226733545824e-03
3.705227500000000305e+02 1.071656622078494877e-03
3.705434099999999944e+02 1.068417657775917176e-03
3.705640400000000341e+02 1.076295417302367257e-03
3.705846999999999980e+02 1.072899832979732054e-03
3.706053300000000377e+02 1.076259882035840399e-03
3.706259900000000016e+02 1.067329606923909024e-03
3.706466500000000224e+02 1.084746933294212026e-03
3.706672800000000052e+02 1.077963225530574175e-03
3.706879400000000260e+02 1.082211764177327560e-03
3.707085700000000088e+02 1.076963660713280970e-03
3.707292300000000296e+02 1.075577292812089115e-03
3.707498600000000124e+02 1.077958977694542251e-03
3.707705200000000332e+02 1.080345578170231009e-03
3.707911500000000160e+02 1.080702669289126299e-03
3.708118100000000368e+02 1.085726691864650822e-03
3.708324400000000196e+02 1.096967394602857242e-03
3.708531000000000404e+02 1.085102345248376444e-03
3.708737300000000232e+02 1.085516297335203245e-03
3.708943899999999871e+02 1.080226837168121821e-03
3.709150200000000268e+02 1.073391902300711073e-03
3.709356799999999907e+02 1.082895006916246390e-03
3.709563100000000304e+02 1.069575595337683357e-03
3.709769699999999943e+02 1.070141074395833825e-03
3.709976000000000340e+02 1.066670825164854879e-03
3.710182300000000168e+02 1.084854282337726229e-03
3.710388900000000376e+02 1.072697375026495162e-03
3.710595200000000204e+02 1.066172036785499773e-03
3.710801800000000412e+02 1.066692055008073127e-03
3.711008100000000240e+02 1.063791421810951097e-03
3.711214400000000069e+02 1.060706566362647988e-03
3.711421000000000276e+02 1.068688309668244536e-03
3.711627300000000105e+02 1.057227738149384925e-03
3.711833900000000313e+02 1.051197287654840945e-03
3.712040200000000141e+02 1.053565502135097405e-03
3.712246499999999969e+02 1.046468765218931457e-03
3.712453100000000177e+02 1.063322065354278421e-03
3.712659400000000005e+02 1.056363235229228290e-03
3.712865700000000402e+02 1.063770134766121563e-03
3.713072400000000357e+02 1.046273781492167761e-03
3.713278599999999869e+02 1.057470136471628294e-03
3.713484900000000266e+02 1.044553240331979292e-03
3.713691600000000221e+02 1.045295405782034831e-03
3.713897900000000050e+02 1.046118457361089500e-03
3.714104199999999878e+02 1.038133227666974794e-03
3.714310399999999959e+02 1.042884312364329713e-03
3.714517099999999914e+02 1.047638224202192010e-03
3.714723400000000311e+02 1.043602654262472135e-03
3.714929700000000139e+02 1.043687740201962397e-03
3.715135900000000220e+02 1.045984488255866313e-03
3.715342600000000175e+02 1.049865637065637092e-03
3.715548900000000003e+02 1.042906786095491563e-03
3.715755200000000400e+02 1.048515156177873666e-03
3.715961500000000228e+02 1.047398526618578988e-03
3.716168099999999868e+02 1.049779302609441444e-03
3.716374400000000264e+02 1.051304128183445496e-03
3.716580700000000093e+02 1.047456675295047089e-03
3.716786999999999921e+02 1.046009204037475155e-03
3.716993200000000002e+02 1.041138204244672219e-03
3.717199899999999957e+02 1.046420273623646690e-03
3.717406200000000354e+02 1.050464431653411884e-03
3.717612500000000182e+02 1.054498724826312753e-03
3.717818800000000010e+02 1.051044530142720632e-03
3.718025000000000091e+02 1.045800090138615697e-03
3.718231299999999919e+02 1.039516254591305163e-03
3.718437600000000316e+02 1.035239576033636887e-03
3.718644300000000271e+02 1.051334786848246621e-03
3.718850500000000352e+02 1.048711490106045505e-03
3.719056800000000180e+02 1.059042269528347180e-03
3.719263100000000009e+02 1.046401573512539080e-03
3.719469400000000405e+02 1.044512353848341298e-03
3.719675700000000234e+02 1.066577369534478514e-03
3.719882000000000062e+02 1.054948831609478542e-03
3.720088299999999890e+02 1.061497851308351292e-03
3.720294600000000287e+02 1.062689092160912707e-03
3.720500900000000115e+02 1.068547415298637913e-03
3.720707199999999943e+02 1.066477365449263869e-03
3.720913500000000340e+02 1.062853604215329350e-03
3.721119800000000168e+02 1.061014853909353047e-03
3.721326099999999997e+02 1.068205971742611530e-03
3.721532400000000393e+02 1.079215293938537044e-03
3.721738700000000222e+02 1.071852424225934420e-03
3.721945000000000050e+02 1.080837290350686059e-03
3.722151299999999878e+02 1.096147301365679163e-03
3.722357600000000275e+02 1.080185529968969533e-03
3.722563900000000103e+02 1.084266969164821492e-03
3.722770199999999932e+02 1.104389498723348535e-03
3.722976500000000328e+02 1.101217277771733170e-03
3.723182800000000157e+02 1.108852565772336547e-03
3.723389099999999985e+02 1.097753432945472582e-03
3.723595400000000382e+02 1.115668461363464141e-03
3.723801700000000210e+02 1.111153217336697174e-03
3.724008000000000038e+02 1.119998266597330670e-03
3.724214299999999866e+02 1.134502528047219138e-03
3.724420600000000263e+02 1.125647798742138422e-03
3.724626900000000091e+02 1.131383255330213264e-03
3.724833199999999920e+02 1.134457242884619708e-03
3.725039500000000317e+02 1.147538934071638860e-03
3.725245500000000334e+02 1.157998984804466851e-03
3.725451800000000162e+02 1.159497244137036543e-03
3.725658099999999990e+02 1.164970034753230440e-03
3.725864400000000387e+02 1.170446479494657204e-03
3.726070700000000215e+02 1.175559287729043998e-03
3.726277000000000044e+02 1.177254978019136354e-03
3.726483299999999872e+02 1.180438612530250063e-03
3.726689299999999889e+02 1.183381990153727081e-03
3.726895600000000286e+02 1.192368769583616091e-03
3.727101900000000114e+02 1.210078882515631168e-03
3.727308199999999943e+02 1.204506987827655114e-03
3.727514500000000339e+02 1.213475899087493141e-03
3.727720500000000357e+02 1.212599426478643602e-03
3.727926800000000185e+02 1.221910855376159323e-03
3.728133100000000013e+02 1.229124115755627147e-03
3.728339400000000410e+02 1.211551689127809668e-03
3.728545700000000238e+02 1.228047762727097749e-03
3.728751700000000255e+02 1.232353357193373454e-03
3.728958000000000084e+02 1.236996885135352355e-03
3.729164299999999912e+02 1.231420995231272391e-03
3.729370299999999929e+02 1.249195176188846968e-03
3.729576600000000326e+02 1.242770827106196062e-03
3.729782900000000154e+02 1.255739882541377292e-03
3.729989199999999983e+02 1.262550567920758251e-03
3.730195200000000000e+02 1.252867652554588663e-03
3.730401500000000397e+02 1.269094389382789375e-03
3.730607800000000225e+02 1.268797550447596251e-03
3.730813699999999926e+02 1.271261877653518313e-03
3.731020000000000323e+02 1.275710386009810265e-03
3.731226300000000151e+02 1.270995394063459622e-03
3.731432300000000168e+02 1.285944674464891725e-03
3.731638599999999997e+02 1.291985302731774813e-03
3.731844900000000393e+02 1.291427357418285880e-03
3.732050900000000411e+02 1.301044465992519860e-03
3.732257200000000239e+02 1.294717113144141542e-03
3.732463500000000067e+02 1.288142851098040718e-03
3.732669500000000085e+02 1.301952781961266889e-03
3.732875799999999913e+02 1.298158670882047392e-03
3.733081799999999930e+02 1.318366186424494617e-03
3.733288100000000327e+02 1.311062908566091928e-03
3.733494100000000344e+02 1.309944017761347900e-03
3.733700400000000172e+02 1.312261952761921121e-03
3.733906700000000001e+02 1.306287025625770546e-03
3.734112700000000018e+02 1.307213824728260939e-03
3.734319000000000415e+02 1.302687290188246118e-03
3.734524999999999864e+02 1.303332377523603236e-03
3.734731300000000260e+02 1.315813909116927017e-03
3.734937300000000278e+02 1.304949019026543922e-03
3.735143600000000106e+02 1.305802088302327043e-03
3.735349600000000123e+02 1.311162894248608804e-03
3.735555899999999951e+02 1.311733556712509031e-03
3.735761899999999969e+02 1.306721784109217280e-03
3.735968200000000365e+02 1.308234670061532001e-03
3.736174200000000383e+02 1.308559313948927773e-03
3.736380500000000211e+02 1.300222311617369895e-03
3.736586500000000228e+02 1.302190201119328167e-03
3.736792700000000309e+02 1.307151109888482097e-03
3.736998700000000326e+02 1.305453082996422707e-03
3.737205000000000155e+02 1.297174446135633324e-03
3.737411000000000172e+02 1.304133062811733967e-03
3.737617000000000189e+02 1.309688618581520032e-03
3.737823300000000017e+02 1.309142458454903065e-03
3.738029300000000035e+02 1.320516164429813609e-03
3.738235599999999863e+02 1.311354932638441988e-03
3.738441599999999880e+02 1.307324840764331102e-03
3.738647599999999898e+02 1.327489505683320361e-03
3.738853900000000294e+02 1.312172821535183753e-03
3.739059900000000312e+02 1.317527344695813320e-03
3.739266200000000140e+02 1.318271830971095302e-03
3.739472200000000157e+02 1.318325877785280625e-03
3.739678200000000174e+02 1.331897612860464489e-03
3.739884500000000003e+02 1.329139432176656239e-03
3.740090500000000020e+02 1.340851224579739679e-03
3.740296500000000037e+02 1.325942365230171720e-03
3.740502799999999866e+02 1.334942557651991844e-03
3.740708799999999883e+02 1.335473844059276464e-03
3.740914799999999900e+02 1.338265117839469893e-03
3.741120799999999917e+02 1.334494328972080568e-03
3.741327100000000314e+02 1.340632309444926519e-03
3.741533000000000015e+02 1.336046961008575257e-03
3.741739000000000033e+02 1.337936093289586632e-03
3.741945299999999861e+02 1.347387703889585961e-03
3.742151299999999878e+02 1.350180675733505913e-03
3.742357299999999896e+02 1.349175723786554763e-03
3.742563299999999913e+02 1.348274818717721006e-03
3.742769600000000310e+02 1.361035326598481789e-03
3.742975600000000327e+02 1.367861361094561750e-03
3.743181600000000344e+02 1.359577439794565617e-03
3.743387600000000361e+02 1.374593728733706751e-03
3.743593600000000379e+02 1.367086305689115293e-03
3.743799900000000207e+02 1.389965704726055891e-03
3.744005900000000224e+02 1.375463337362958262e-03
3.744211900000000242e+02 1.379245082402977317e-03
3.744417900000000259e+02 1.392755629691409770e-03
3.744623900000000276e+02 1.387918365648664479e-03
3.744829900000000293e+02 1.394092877967513565e-03
3.745036200000000122e+02 1.389761244448151599e-03
3.745242200000000139e+02 1.401394233775980595e-03
3.745448100000000409e+02 1.408945249765356173e-03
3.745654099999999858e+02 1.407780626602463895e-03
3.745860099999999875e+02 1.416233150118080108e-03
3.746066099999999892e+02 1.417465153429320161e-03
3.746272099999999909e+02 1.417079264610964125e-03
3.746478099999999927e+02 1.420028556242248921e-03
3.746684099999999944e+02 1.417389131272322241e-03
3.746890400000000341e+02 1.427320224660560488e-03
3.747096400000000358e+02 1.416137792044545440e-03
3.747302400000000375e+02 1.432405168733535267e-03
3.747508400000000393e+02 1.427677195324149892e-03
3.747714400000000410e+02 1.442866013752865063e-03
3.747920399999999859e+02 1.453472806834757132e-03
3.748126399999999876e+02 1.443042335766423412e-03
3.748332399999999893e+02 1.446201556850036391e-03
3.748538399999999911e+02 1.442604281523706799e-03
3.748744300000000180e+02 1.466315286094477472e-03
3.748950300000000198e+02 1.455601229031722350e-03
3.749156300000000215e+02 1.463600282309959928e-03
3.749362300000000232e+02 1.471542617296263964e-03
3.749568300000000249e+02 1.447568071421913511e-03
3.749774300000000267e+02 1.489418004765357762e-03
3.749980300000000284e+02 1.488150496284363364e-03
3.750186300000000301e+02 1.499585464221861800e-03
3.750392300000000319e+02 1.493005340067061473e-03
3.750598300000000336e+02 1.497330546184572671e-03
3.750804300000000353e+02 1.496151525171530430e-03
3.751009999999999991e+02 1.508311806214665800e-03
3.751216000000000008e+02 1.497586281254813679e-03
3.751422000000000025e+02 1.504096439883960542e-03
3.751628000000000043e+02 1.509916049179991062e-03
3.751833900000000313e+02 1.513110976598167805e-03
3.752039900000000330e+02 1.532375924404273063e-03
3.752245900000000347e+02 1.518678954822553790e-03
3.752451900000000364e+02 1.538826022549584678e-03
3.752657900000000382e+02 1.533831779543421824e-03
3.752863600000000019e+02 1.537682489602753590e-03
3.753069600000000037e+02 1.534821335353183823e-03
3.753275600000000054e+02 1.539527314042396641e-03
3.753481600000000071e+02 1.564625808564644319e-03
3.753687600000000089e+02 1.546106502104703951e-03
3.753893600000000106e+02 1.551105486610058993e-03
3.754099300000000312e+02 1.551432685532214703e-03
3.754305300000000329e+02 1.553605767267083205e-03
3.754511300000000347e+02 1.565422060685261628e-03
3.754717200000000048e+02 1.571548390388245687e-03
3.754923200000000065e+02 1.577294359246809736e-03
3.755128900000000272e+02 1.574823164889822000e-03
3.755334900000000289e+02 1.572576344436743025e-03
3.755540900000000306e+02 1.583765939042385299e-03
3.755746900000000323e+02 1.584212990290866877e-03
3.755952599999999961e+02 1.594275203252033075e-03
3.756158599999999979e+02 1.591353896103896376e-03
3.756364599999999996e+02 1.592198067143464797e-03
3.756570300000000202e+02 1.590675018243736328e-03
3.756776300000000219e+02 1.593089361702127674e-03
3.756982300000000237e+02 1.598865265484482800e-03
3.757188300000000254e+02 1.597369574036511426e-03
3.757393900000000144e+02 1.613891036764183388e-03
3.757599900000000162e+02 1.605357417682556258e-03
3.757805900000000179e+02 1.593949779744563942e-03
3.758011600000000385e+02 1.589587296469450496e-03
3.758217600000000402e+02 1.593924280117236299e-03
3.758423600000000420e+02 1.590652392642975333e-03
3.758629300000000057e+02 1.596290301500969799e-03
3.758835300000000075e+02 1.595686416621368287e-03
3.759041000000000281e+02 1.592585777266628541e-03
3.759247000000000298e+02 1.603563639306451651e-03
3.759453000000000316e+02 1.613072955644101296e-03
3.759658699999999953e+02 1.601433019287534006e-03
3.759864600000000223e+02 1.618753711604527809e-03
3.760070299999999861e+02 1.609007061390659889e-03
3.760276299999999878e+02 1.611566279607977003e-03
3.760482299999999896e+02 1.605781832765189408e-03
3.760688000000000102e+02 1.612390703265878696e-03
3.760894000000000119e+02 1.608910222364742576e-03
3.761099700000000325e+02 1.613394873848618665e-03
3.761305700000000343e+02 1.611964818784685470e-03
3.761511399999999981e+02 1.617889753670865693e-03
3.761717399999999998e+02 1.614833802647532837e-03
3.761923100000000204e+02 1.615852038570799853e-03
3.762129100000000221e+02 1.617041600000000473e-03
3.762334700000000112e+02 1.639258051936364272e-03
3.762540700000000129e+02 1.632184569863452065e-03
3.762746400000000335e+02 1.621409633757962430e-03
3.762952400000000353e+02 1.652748921415262339e-03
3.763158099999999990e+02 1.636619824916093514e-03
3.763364100000000008e+02 1.656403508771929619e-03
3.763569800000000214e+02 1.666019703453080428e-03
3.763775800000000231e+02 1.652179070021990957e-03
3.763981499999999869e+02 1.659595832960210609e-03
3.764187200000000075e+02 1.657002813652677870e-03
3.764393200000000093e+02 1.670460789669729260e-03
3.764598799999999983e+02 1.670051648788240016e-03
3.764804800000000000e+02 1.666208472420918976e-03
3.765010500000000206e+02 1.681969200198708478e-03
3.765216200000000413e+02 1.665351978860485317e-03
3.765422199999999862e+02 1.676066390041493822e-03
3.765627900000000068e+02 1.686459128577362260e-03
3.765833600000000274e+02 1.681863508758056104e-03
3.766039600000000291e+02 1.699178924951690083e-03
3.766245299999999929e+02 1.690113183736246085e-03
3.766451299999999947e+02 1.683380265026029280e-03
3.766656900000000405e+02 1.701527627515392067e-03
3.766862600000000043e+02 1.690355871186040781e-03
3.767068300000000249e+02 1.707992068010916100e-03
3.767274300000000267e+02 1.698231329940861007e-03
3.767479999999999905e+02 1.698326152034156317e-03
3.767685700000000111e+02 1.722270690990364240e-03
3.767891700000000128e+02 1.710798972609454049e-03
3.768097400000000334e+02 1.732566718226851528e-03
3.768303099999999972e+02 1.722239228636100695e-03
3.768508800000000178e+02 1.727509811961806504e-03
3.768714699999999880e+02 1.732123761359300818e-03
3.768920400000000086e+02 1.732057341357209164e-03
3.769126100000000292e+02 1.730618319789557855e-03
3.769331799999999930e+02 1.735892661982825925e-03
3.769537799999999947e+02 1.750919771276907011e-03
3.769743500000000154e+02 1.759571827247711443e-03
3.769949200000000360e+02 1.754037763041297856e-03
3.770154899999999998e+02 1.749418172622405716e-03
3.770360600000000204e+02 1.761067061297608540e-03
3.770566600000000221e+02 1.771431072891232290e-03
3.770772200000000112e+02 1.774996884735202457e-03
3.770977900000000318e+02 1.782739203240001633e-03
3.771183599999999956e+02 1.774444595724816937e-03
3.771389300000000162e+02 1.779318350017527984e-03
3.771595000000000368e+02 1.784182530196581342e-03
3.771801000000000386e+02 1.784409281066005794e-03
3.772006700000000023e+02 1.784107335150709973e-03
3.772212400000000230e+02 1.796387491884454159e-03
3.772418099999999868e+02 1.783348659819760382e-03
3.772623700000000326e+02 1.795776241357636797e-03
3.772829399999999964e+02 1.815694449816283255e-03
3.773035100000000170e+02 1.799277619984683552e-03
3.773240800000000377e+02 1.817552546444276603e-03
3.773446500000000015e+02 1.802387013716133177e-03
3.773652200000000221e+02 1.821053283767038507e-03
3.773857899999999859e+02 1.826517495556915106e-03
3.774063600000000065e+02 1.830676278484686965e-03
3.774269600000000082e+02 1.821885814320118365e-03
3.774475199999999973e+02 1.832001158580738804e-03
3.774680900000000179e+02 1.840195678445401186e-03
3.774886600000000385e+02 1.851414492753623289e-03
3.775092300000000023e+02 1.838679748155587143e-03
3.775298000000000229e+02 1.843339119031088633e-03
3.775503699999999867e+02 1.852163320463320146e-03
3.775709400000000073e+02 1.858163027235478545e-03
3.775915100000000280e+02 1.861595515142175188e-03
3.776120799999999917e+02 1.852446377536783083e-03
3.776326099999999997e+02 1.853978018593728386e-03
3.776531800000000203e+02 1.879650824815691729e-03
3.776737500000000409e+02 1.872039865961267358e-03
3.776943200000000047e+02 1.875751359034941472e-03
3.777148900000000253e+02 1.870988002687398342e-03
3.777354599999999891e+02 1.882087628123228730e-03
3.777560300000000097e+02 1.889235187135062397e-03
3.777766000000000304e+02 1.898878409819898614e-03
3.777971600000000194e+02 1.888383375807162505e-03
3.778177300000000400e+02 1.912933380574361429e-03
3.778383000000000038e+02 1.904452432302899696e-03
3.778588399999999865e+02 1.902852054007469302e-03
3.778794100000000071e+02 1.918869500258585771e-03
3.778999800000000278e+02 1.915195639701663998e-03
3.779205499999999915e+02 1.906582490620655629e-03
3.779411200000000122e+02 1.864028599136701402e-03
3.779616800000000012e+02 1.883717162497504415e-03
3.779822500000000218e+02 1.928002659953451103e-03
3.780027900000000045e+02 1.936553204421988163e-03
3.780233600000000251e+02 1.939308654175059873e-03
3.780439299999999889e+02 1.938222442332234938e-03
3.780645000000000095e+02 1.942291583452211310e-03
3.780850700000000302e+02 1.946446139669209905e-03
3.781056100000000129e+02 1.948999345108721635e-03
3.781261700000000019e+02 1.959960572083897790e-03
3.781467400000000225e+02 1.959588477366255854e-03
3.781673099999999863e+02 1.961166961306118773e-03
3.781878500000000258e+02 1.977328544359285931e-03
3.782084199999999896e+02 1.964743919021000491e-03
3.782289900000000102e+02 1.988838122198631573e-03
3.782495600000000309e+02 1.984930371040383081e-03
3.782701000000000136e+02 1.996227333622658303e-03
3.782906600000000026e+02 2.006981704444821615e-03
3.783112300000000232e+02 1.995831858073750503e-03
3.783317700000000059e+02 2.022002314923730063e-03
3.783523400000000265e+02 2.016572557876905591e-03
3.783729099999999903e+02 2.005135506196987008e-03
3.783934500000000298e+02 2.024229393373206190e-03
3.784140199999999936e+02 2.038724832214765421e-03
3.784345800000000395e+02 2.034080103528793787e-03
3.784551200000000222e+02 2.060086337430756115e-03
3.784756899999999860e+02 2.058318595700742160e-03
3.784962600000000066e+02 2.053732732732732949e-03
3.785167999999999893e+02 2.070977148097546267e-03
3.785373700000000099e+02 2.077754216687236095e-03
3.785579099999999926e+02 2.071440968172360772e-03
3.785784800000000132e+02 2.087515273619311960e-03
3.785990400000000022e+02 2.103785708958007261e-03
3.786195800000000418e+02 2.087647053346121124e-03
3.786401500000000055e+02 2.099704345396115335e-03
3.786606899999999882e+02 2.115639768167632689e-03
3.786812600000000089e+02 2.106423307467125174e-03
3.787017999999999915e+02 2.128962356244363738e-03
3.787223700000000122e+02 2.150408956500716225e-03
3.787429000000000201e+02 2.136279005089506116e-03
3.787634700000000407e+02 2.146897614978824850e-03
3.787840100000000234e+02 2.147532510991922126e-03
3.788045799999999872e+02 2.162918338534700925e-03
3.788251200000000267e+02 2.159132272777840051e-03
3.788456899999999905e+02 2.179097120636978337e-03
3.788662300000000300e+02 2.171197011861947333e-03
3.788867900000000191e+02 2.176879005596291713e-03
3.789073300000000017e+02 2.181687868961503310e-03
3.789279000000000224e+02 2.196771108362105887e-03
3.789484400000000051e+02 2.176715570104661903e-03
3.789690100000000257e+02 2.191071075875181736e-03
3.789895500000000084e+02 2.182299832464974516e-03
3.790101200000000290e+02 2.197596035839847160e-03
3.790306500000000369e+02 2.199554895321048902e-03
