# wl(nm) oob_tx(%)
3.670713600000000270e+02 7.658088805996086240e-04
3.670920600000000036e+02 7.523604777415853189e-04
3.671127500000000055e+02 7.670409376388504343e-04
3.671334100000000262e+02 7.723909421115094341e-04
3.671541000000000281e+02 7.721034007077307807e-04
3.671747900000000300e+02 7.777478951166706374e-04
3.671954800000000319e+02 7.754450568501095129e-04
3.672161700000000337e+02 7.710632606021520542e-04
3.672368299999999977e+02 7.743189023004318217e-04
3.672575199999999995e+02 7.996100372193540870e-04
3.672782100000000014e+02 7.894628898041525580e-04
3.672989000000000033e+02 7.778991214420798899e-04
3.673195600000000240e+02 7.940594011976050397e-04
3.673402600000000007e+02 7.950012571086500579e-04
3.673609500000000025e+02 7.993955117705432061e-04
3.673816100000000233e+02 7.986647910159510189e-04
3.674023000000000252e+02 7.961947197865039058e-04
3.674229900000000271e+02 7.992390255524450164e-04
3.674436800000000289e+02 8.096859106447348419e-04
3.674643399999999929e+02 8.093333174514311069e-04
3.674850299999999947e+02 8.135321817293136209e-04
3.675057199999999966e+02 8.110337411584781896e-04
3.675263800000000174e+02 8.223738943342097114e-04
3.675470700000000193e+02 8.208528585937031408e-04
3.675677600000000211e+02 8.150061535887968009e-04
3.675884200000000419e+02 8.297673531655223519e-04
3.676091099999999869e+02 8.223086622415723456e-04
3.676298100000000204e+02 8.160024728932853194e-04
3.676504700000000412e+02 8.349019981423707118e-04
3.676711599999999862e+02 8.337525441885378693e-04
3.676918200000000070e+02 8.366878980891719530e-04
3.677125100000000089e+02 8.337409711792890307e-04
3.677332000000000107e+02 8.338517945360395369e-04
3.677538600000000315e+02 8.418809135593824768e-04
3.677745500000000334e+02 8.490373879611003887e-04
3.677952099999999973e+02 8.425926587372456044e-04
3.678158999999999992e+02 8.553309438470726132e-04
3.678365600000000200e+02 8.609181389589980757e-04
3.678572500000000218e+02 8.577597352349434958e-04
3.678779400000000237e+02 8.504778996660290486e-04
3.678985999999999876e+02 8.512398774608751720e-04
3.679193000000000211e+02 8.690974892558245377e-04
3.679399600000000419e+02 8.724387547694612433e-04
3.679606499999999869e+02 8.710460898007730407e-04
3.679813100000000077e+02 8.613398735608921624e-04
3.680020000000000095e+02 8.768160150259745938e-04
3.680226600000000303e+02 8.857828859699218814e-04
