# wl center_tx left_tx right_tx top_tx bottom_tx
262.8472050 0.0003199 0.0003608 0.0004016 0.0003608 0.0003472
262.8570382 0.0003608 0.0004085 0.0002587 0.0003813 0.0003676
262.8668315 0.0003952 0.0003816 0.0003543 0.0003066 0.0004020
262.8766647 0.0002594 0.0002867 0.0003072 0.0003686 0.0002867
262.8864980 0.0004304 0.0004168 0.0003416 0.0004236 0.0003758
262.8962913 0.0005766 0.0004273 0.0003595 0.0004816 0.0004884
262.9061245 0.0003434 0.0003030 0.0003097 0.0002761 0.0002828
262.9159578 0.0003020 0.0003020 0.0002617 0.0002617 0.0002349
262.9257510 0.0004367 0.0002822 0.0003897 0.0004367 0.0003494
262.9355843 0.0003092 0.0002823 0.0002823 0.0002756 0.0002689
262.9454176 0.0002553 0.0002889 0.0002486 0.0003091 0.0003628
262.9552108 0.0003632 0.0003296 0.0002892 0.0003296 0.0003901
262.9650441 0.0004455 0.0003510 0.0003847 0.0003847 0.0004590
262.9748373 0.0003698 0.0003832 0.0003563 0.0003698 0.0004505
262.9846706 0.0004565 0.0003894 0.0003155 0.0003558 0.0003155
262.9945039 0.0003092 0.0003899 0.0003025 0.0004101 0.0003496
263.0042971 0.0003984 0.0004795 0.0003579 0.0003579 0.0003309
263.0141304 0.0003046 0.0003452 0.0003723 0.0003790 0.0003858
263.0239337 0.0003324 0.0004002 0.0002374 0.0003121 0.0004002
263.0337569 0.0003803 0.0004550 0.0003871 0.0003124 0.0004347
263.0435602 0.0002912 0.0003996 0.0002980 0.0002980 0.0003183
263.0533934 0.0003904 0.0003501 0.0003904 0.0004308 0.0004645
263.0632167 0.0003262 0.0002796 0.0002729 0.0003395 0.0001797
263.0730200 0.0004112 0.0003714 0.0003647 0.0003448 0.0003448
263.0828532 0.0002991 0.0002925 0.0003191 0.0002792 0.0002991
263.0926465 0.0003601 0.0004534 0.0003867 0.0004668 0.0003534
263.1024798 0.0003275 0.0003275 0.0003676 0.0003543 0.0003543
263.1122730 0.0003330 0.0002864 0.0003197 0.0003396 0.0003463
263.1221063 0.0004306 0.0004704 0.0004306 0.0004373 0.0004770
263.1319095 0.0003497 0.0003958 0.0002837 0.0003035 0.0004024
263.1417328 0.0004449 0.0005235 0.0004319 0.0004253 0.0004908
263.1515361 0.0003395 0.0003656 0.0003525 0.0003525 0.0003982
263.1613693 0.0003540 0.0004262 0.0003803 0.0003934 0.0004262
263.1711626 0.0003544 0.0003347 0.0002822 0.0003741 0.0004200
263.1809959 0.0003916 0.0003981 0.0003785 0.0004242 0.0003981
