Date and Time:                Thu Apr 7 14:06:54.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.24313	302
290.25275	308
290.26236	312
290.27197	300
290.28159	310
290.2912	314
290.30084	305
290.31046	314
290.32007	309
290.32968	315
290.33929	313
290.34891	308
290.35852	302
290.36813	315
290.37775	302
290.38736	310
290.39697	305
290.40659	308
290.4162	309
290.42581	302
290.43542	309
290.44504	307
290.45465	314
290.46426	306
290.47388	303
290.48349	308
290.4931	304
290.50272	310
290.51233	314
290.52194	310
290.53156	314
290.54117	311
290.55078	312
290.56039	309
290.57001	312
290.57962	308
290.58923	305
290.59885	306
290.60846	307
290.61807	304
290.62769	312
290.6373	301
290.64691	313
290.65652	312
290.66611	309
290.67572	302
290.68533	307
290.69495	311
290.70456	308
290.71417	307
290.72379	311
290.7334	307
290.74301	305
290.75259	308
290.76221	302
290.77182	311
290.78143	310
290.79105	303
290.80066	310
290.81027	314
290.81985	307
290.82947	305
290.83908	312
290.84869	311
290.85831	314
290.86789	307
290.8775	308
290.88712	307
290.89673	310
290.90634	308
290.91592	309
290.92554	307
290.93515	309
290.94476	303
290.95435	305
290.96396	311
290.97357	305
290.98318	308
290.99277	311
291.00238	304
291.01199	310
291.02161	309
291.03119	305
291.0408	310
291.05042	308
291.06003	308
291.06961	304
291.07922	304
291.08884	307
291.09842	308
291.10803	309
291.11765	307
291.12723	307
291.13684	305
291.14645	307
291.15604	308
291.16565	306
291.17526	304
291.18484	310
291.19446	306
291.20407	307
291.21365	309
291.22327	302
291.23285	309
291.24246	306
291.25208	302
291.26166	312
291.27127	308
291.28085	303
291.29047	306
291.30008	309
291.30966	309
291.31927	310
291.32886	308
291.33847	313
291.34805	302
291.35767	309
291.36728	304
291.37686	311
291.38647	314
291.39606	312
291.40567	304
291.41525	307
291.42487	303
291.43445	308
291.44406	302
291.45364	309
291.46326	301
291.47284	309
291.48245	310
291.49203	309
291.50165	312
291.51123	306
