Date and Time:                Thu Apr 7 14:09:43.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
293.5137	31204
293.52325	31336
293.53284	31443
293.54239	31432
293.55194	31611
293.56152	31659
293.57108	31469
293.58066	31453
293.59021	31525
293.59976	31467
293.60934	31466
293.6189	31415
293.62848	31354
293.63803	31188
293.64758	31047
293.65717	30757
293.66672	30924
293.67627	30941
293.68585	30835
293.6954	30641
293.70496	30592
293.71454	30391
293.72409	30369
293.73364	30234
293.74323	30300
293.75278	30441
293.76233	30601
293.77191	30665
293.78146	30642
293.79102	30563
293.80057	30383
293.81015	30112
293.8197	30225
293.82925	30242
293.83881	30218
293.84839	30247
293.85794	30117
293.86749	30057
293.87704	29945
293.88663	30047
293.89618	30135
293.90573	30446
293.91528	30522
293.92487	30583
293.93442	30529
293.94397	30339
293.95352	30303
293.96307	30349
293.97266	30564
293.98221	30807
293.99176	30861
294.00131	30736
294.01086	30759
294.02042	31027
294.03	31083
294.03955	30962
294.0491	30880
294.05865	30942
294.06821	30886
294.07776	30765
294.08731	30766
294.09689	30681
294.10645	30635
294.116	30549
294.12555	30300
294.1351	30392
294.14465	30481
294.15421	30587
294.16376	30717
294.17331	30530
294.18286	30459
294.19241	30572
294.202	30853
294.21155	30864
294.2211	30856
294.23065	30868
294.2402	30961
294.24976	30826
294.25931	30759
294.26886	30814
294.27841	30810
294.28796	30729
294.29752	30594
294.30707	30621
294.31662	30727
294.32617	30700
294.33572	30747
294.34528	30830
294.35483	31045
294.36438	31004
294.37393	30844
294.38348	30786
294.39304	30849
294.40259	30843
294.41214	30880
294.42169	30977
294.43124	31193
294.4408	31161
294.45032	30969
294.45987	30780
294.46942	30894
294.47897	30949
294.48853	31006
294.49808	31081
294.50763	31211
294.51718	31260
294.52673	31017
294.53629	30907
294.54581	31131
294.55536	31345
294.56491	31392
294.57446	31422
294.58401	31438
294.59357	31425
294.60312	31369
294.61264	31136
294.62219	31302
294.63174	31433
294.6413	31607
294.65085	31459
294.6604	31683
294.66992	31853
294.67947	31958
294.68903	31911
294.69858	31837
294.70813	31735
294.71765	31605
294.7272	31589
294.73676	31651
294.74631	31814
294.75586	31773
294.76538	31694
294.77493	31509
294.78448	31544
294.79404	31527
294.80356	31585
294.81311	31784
294.82266	31778
294.83218	31556
294.84174	31510
294.85129	31583
294.86084	31625
294.87036	31658
294.87991	31711
294.88947	31750
294.89899	31590
294.90854	31477
294.91809	31357
294.92761	31367
294.93716	31374
294.94672	31282
294.95624	31249
294.96579	31447
294.97534	31665
294.98486	31669
294.99442	31676
295.00397	31538
295.01349	31527
295.02304	31389
295.03259	31019
295.04211	30909
295.05167	30781
295.06119	30751
295.07074	30865
295.08029	31084
295.08981	31162
295.09937	31098
295.10889	30909
295.11844	30813
295.12796	30721
295.13751	30813
295.14706	31071
295.15659	31338
295.16614	31657
295.17566	31560
295.18521	31462
295.19473	31615
295.20428	31737
295.21381	31772
295.22336	31775
295.23288	31760
295.24243	31634
295.25195	31633
295.26151	31418
295.27103	31417
295.28058	31537
295.2901	31473
295.29965	31504
295.30917	31814
295.31873	31860
295.32825	31925
295.3378	31738
295.34732	31782
295.35684	31773
295.36639	31917
295.37592	32071
295.38547	32248
295.39499	32286
295.40454	32264
295.41406	32188
295.42358	32101
295.43314	31991
295.44266	31891
295.45221	31999
295.46173	32189
295.47125	32212
295.4808	32012
295.49033	31923
295.49985	32033
295.5094	32102
295.51892	32152
295.52844	31950
295.53799	31804
295.54752	31894
295.55704	31768
295.56659	31749
295.57611	31618
295.58563	31800
295.59518	31795
295.60471	31839
295.61423	32039
295.62378	32151
295.6333	32106
295.64282	31947
295.65234	31864
