Date and Time:                Thu Apr 7 16:05:08.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	308
269.08499	305
269.09479	305
269.10455	311
269.11432	305
269.12411	310
269.13388	312
269.14365	305
269.15344	307
269.16321	312
269.17297	308
269.18277	304
269.19254	312
269.2023	307
269.2121	306
269.22186	308
269.23163	303
269.24142	312
269.25119	308
269.26096	310
269.27072	309
269.28052	309
269.29028	312
269.30005	309
269.30984	307
269.31961	314
269.32938	306
269.33914	311
269.34894	305
269.3587	307
269.36847	306
269.37823	311
269.388	308
269.3978	311
269.40756	311
269.41733	310
269.42709	302
269.43689	308
269.44666	307
269.45642	313
269.46619	304
269.47595	311
269.48575	305
269.49551	310
269.50528	303
269.51505	309
269.52481	304
269.53458	305
269.54437	315
269.55414	307
269.5639	307
269.57367	308
269.58344	306
269.5932	307
269.60297	312
269.61273	307
269.62253	310
269.63229	305
269.64206	307
269.65182	307
269.66159	306
269.67136	303
269.68112	303
269.69089	310
269.70065	304
269.71042	304
269.72021	308
269.72998	308
269.73975	313
269.74951	305
269.75928	310
269.76904	310
269.77881	307
269.78857	308
269.79834	313
269.80811	310
269.81787	309
269.82764	307
269.8374	308
269.84717	308
269.85693	304
269.8667	310
269.87646	310
269.88623	308
269.896	308
269.90576	305
269.91553	308
269.92529	307
269.93506	312
269.94482	305
269.95459	309
269.96436	308
269.97412	306
269.98389	309
269.99365	300
270.00342	309
270.01318	308
270.02292	303
270.03268	307
270.04245	298
270.05222	308
270.06198	310
270.07175	309
270.08151	300
270.09128	307
270.10104	307
270.11081	310
270.12054	303
270.13031	310
270.14008	306
270.14984	305
270.15961	304
270.16937	313
270.17914	300
270.18887	309
270.19864	305
270.2084	311
270.21817	303
270.22794	309
270.2377	307
270.24744	308
270.2572	299
270.26697	312
270.27673	310
270.2865	309
270.29626	310
270.306	308
270.31577	302
270.32553	308
270.3353	314
270.34503	305
270.3548	309
270.36456	308
270.37433	303
