Date and Time:                Thu Apr 7 16:10:24.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	311
269.08499	312
269.09479	313
269.10455	314
269.11432	305
269.12411	306
269.13388	306
269.14365	307
269.15344	311
269.16321	305
269.17297	306
269.18277	309
269.19254	312
269.2023	313
269.2121	305
269.22186	310
269.23163	311
269.24142	311
269.25119	301
269.26096	313
269.27072	308
269.28052	306
269.29028	309
269.30005	312
269.30984	301
269.31961	307
269.32938	304
269.33914	309
269.34894	305
269.3587	306
269.36847	304
269.37823	305
269.388	308
269.3978	310
269.40756	309
269.41733	312
269.42709	310
269.43689	306
269.44666	306
269.45642	312
269.46619	307
269.47595	305
269.48575	312
269.49551	306
269.50528	314
269.51505	315
269.52481	311
269.53458	312
269.54437	306
269.55414	313
269.5639	310
269.57367	311
269.58344	312
269.5932	311
269.60297	303
269.61273	310
269.62253	312
269.63229	299
269.64206	304
269.65182	307
269.66159	311
269.67136	306
269.68112	312
269.69089	307
269.70065	306
269.71042	307
269.72021	304
269.72998	310
269.73975	306
269.74951	314
269.75928	311
269.76904	299
269.77881	311
269.78857	302
269.79834	305
269.80811	311
269.81787	305
269.82764	303
269.8374	304
269.84717	300
269.85693	311
269.8667	307
269.87646	307
269.88623	309
269.896	305
269.90576	305
269.91553	308
269.92529	305
269.93506	310
269.94482	308
269.95459	311
269.96436	308
269.97412	311
269.98389	306
269.99365	307
270.00342	304
270.01318	311
270.02292	309
270.03268	302
270.04245	308
270.05222	307
270.06198	307
270.07175	308
270.08151	303
270.09128	306
270.10104	309
270.11081	306
270.12054	306
270.13031	313
270.14008	305
270.14984	312
270.15961	304
270.16937	308
270.17914	305
270.18887	311
270.19864	310
270.2084	307
270.21817	300
270.22794	308
270.2377	306
270.24744	308
270.2572	310
270.26697	308
270.27673	306
270.2865	303
270.29626	310
270.306	308
270.31577	306
270.32553	311
270.3353	308
270.34503	310
270.3548	309
270.36456	303
270.37433	311
