Date and Time:                Thu Apr 7 15:59:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
272.88712	303
272.89685	316
272.90656	307
272.91629	307
272.92599	311
272.93573	318
272.94543	307
272.95517	302
272.96487	317
272.97461	305
272.98431	314
272.99405	309
273.00375	315
273.01349	302
273.02319	309
273.0329	308
273.04263	317
273.05234	302
273.06207	302
273.07178	310
273.08151	310
273.09122	309
273.10092	306
273.11066	310
273.12036	310
273.1301	305
273.1398	311
273.14954	304
273.15924	313
273.16895	309
273.17868	312
273.18839	309
273.19809	304
273.20782	314
273.21753	314
273.22726	311
273.23697	310
273.24667	306
273.25641	307
273.26611	308
273.27582	312
273.28555	308
273.29526	307
273.30496	307
273.31467	313
273.3244	308
273.33411	303
273.34381	306
273.35355	309
273.36325	310
273.37296	308
273.38269	311
273.3924	305
273.4021	310
273.4118	308
273.42154	314
273.43124	309
273.44095	310
273.45065	313
273.46039	307
273.47009	313
273.4798	312
273.4895	309
273.49924	307
273.50894	308
273.51865	308
273.52835	308
273.53806	309
273.54779	313
273.5575	316
273.5672	309
273.5769	311
273.58661	310
273.59631	310
273.60605	309
273.61575	307
273.62546	306
273.63516	312
273.64487	309
273.65457	313
273.66428	306
273.67401	313
273.68372	309
273.69342	312
273.70313	306
273.71283	304
273.72253	311
273.73224	312
273.74194	311
273.75165	304
273.76138	312
273.77109	302
273.78079	309
273.7905	306
273.8002	315
273.80991	307
273.81961	306
273.82932	308
273.83902	310
273.84872	310
273.85843	313
273.86813	306
273.87784	308
273.88754	309
273.89725	311
273.90695	305
273.91666	308
273.92636	307
273.93607	314
273.94577	309
273.95547	310
273.96518	314
273.97488	309
273.98459	311
273.99429	309
274.004	316
274.0137	305
274.02341	308
274.03311	308
274.04282	305
274.05252	306
274.06223	305
274.07193	315
274.08163	314
274.09134	310
274.10104	306
274.11072	313
274.12042	309
274.13013	309
274.13983	309
274.14954	308
274.15924	307
274.16895	307
274.17865	309
274.18835	302
274.19803	309
274.20773	318
274.21744	312
274.22714	310
274.23685	309
274.24655	310
274.25623	309
274.26593	310
274.27563	308
274.28534	307
274.29504	312
274.30475	307
274.31442	308
274.32413	306
274.33383	308
274.34354	308
274.35324	303
274.36292	304
274.37262	310
274.38232	311
274.39203	311
274.4017	311
274.41141	312
274.42111	308
274.43082	310
274.44049	309
274.4502	310
274.4599	308
274.4696	312
274.47928	309
274.48898	311
274.49869	314
274.50836	316
274.51807	312
274.52777	313
274.53745	312
274.54715	310
274.55685	303
274.56656	310
274.57623	312
274.58594	313
274.59564	310
274.60532	307
274.61502	312
274.62469	311
274.6344	311
274.6441	311
274.65378	311
274.66348	305
274.67319	313
274.68286	313
274.69257	305
274.70224	316
274.71194	312
274.72165	314
274.73132	304
274.74103	309
274.7507	313
274.76041	318
274.77011	315
274.77979	306
274.78949	312
274.79916	306
274.80887	311
274.81854	307
274.82825	312
274.83792	310
274.84763	312
274.8573	308
274.867	314
274.87671	309
274.88638	314
274.89609	317
274.90576	317
274.91547	318
274.92514	305
274.93481	311
274.94452	313
274.95419	308
274.9639	310
274.97357	310
274.98328	307
274.99295	313
275.00266	315
275.01233	317
275.02203	311
275.03171	311
275.04141	313
275.05109	308
275.06076	316
275.07047	310
275.08014	312
275.08984	305
275.09952	312
275.10919	307
275.1189	311
275.12857	309
275.13828	311
275.14795	308
275.15762	313
275.16733	310
275.177	311
275.18668	313
275.19638	310
275.20605	304
275.21573	309
275.22543	315
275.23511	316
275.24478	314
275.25449	318
275.26416	311
275.27383	309
275.28354	311
275.29321	313
275.30289	309
275.31259	310
275.32227	311
275.33194	316
275.34161	310
275.35132	313
275.36099	307
275.37067	313
275.38034	312
275.39005	308
275.39972	310
275.40939	311
275.41907	315
275.42877	311
275.43845	307
275.44812	314
275.45779	313
275.46747	306
275.47717	312
275.48685	312
275.49652	305
275.5062	312
275.51587	314
275.52557	303
275.53525	314
275.54492	314
275.5546	315
275.56427	318
275.57394	312
275.58365	317
275.59332	313
275.603	312
275.61267	312
275.62234	310
275.63202	310
275.64169	309
275.65137	311
275.66107	318
275.67075	313
275.68042	313
275.69009	314
275.69977	313
275.70944	313
275.71912	307
275.72879	319
275.73846	310
275.74814	312
275.75781	310
275.76749	311
275.77716	308
275.78683	316
275.79654	316
275.80621	312
275.81589	312
275.82556	313
275.83524	316
275.84491	318
275.85458	310
275.86426	316
275.87393	314
