Date and Time:                Thu Apr 7 16:02:08.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	313
269.08499	307
269.09479	310
269.10455	307
269.11432	305
269.12411	308
269.13388	307
269.14365	314
269.15344	305
269.16321	310
269.17297	310
269.18277	310
269.19254	313
269.2023	307
269.2121	309
269.22186	307
269.23163	313
269.24142	310
269.25119	320
269.26096	303
269.27072	311
269.28052	301
269.29028	305
269.30005	309
269.30984	310
269.31961	312
269.32938	315
269.33914	305
269.34894	308
269.3587	311
269.36847	309
269.37823	304
269.388	311
269.3978	306
269.40756	302
269.41733	316
269.42709	313
269.43689	311
269.44666	309
269.45642	306
269.46619	307
269.47595	308
269.48575	310
269.49551	302
269.50528	312
269.51505	307
269.52481	309
269.53458	309
269.54437	311
269.55414	315
269.5639	309
269.57367	311
269.58344	310
269.5932	305
269.60297	314
269.61273	307
269.62253	308
269.63229	308
269.64206	309
269.65182	308
269.66159	309
269.67136	303
269.68112	315
269.69089	306
269.70065	307
269.71042	309
269.72021	310
269.72998	317
269.73975	307
269.74951	312
269.75928	315
269.76904	309
269.77881	312
269.78857	309
269.79834	305
269.80811	304
269.81787	303
269.82764	312
269.8374	308
269.84717	310
269.85693	306
269.8667	310
269.87646	306
269.88623	315
269.896	305
269.90576	307
269.91553	307
269.92529	313
269.93506	309
269.94482	313
269.95459	304
269.96436	309
269.97412	304
269.98389	305
269.99365	306
270.00342	308
270.01318	310
270.02292	309
270.03268	319
270.04245	311
270.05222	307
270.06198	306
270.07175	307
270.08151	310
270.09128	311
270.10104	313
270.11081	316
270.12054	305
270.13031	306
270.14008	303
270.14984	308
270.15961	302
270.16937	306
270.17914	312
270.18887	313
270.19864	301
270.2084	311
270.21817	306
270.22794	302
270.2377	306
270.24744	299
270.2572	303
270.26697	308
270.27673	305
270.2865	311
270.29626	310
270.306	311
270.31577	308
270.32553	304
270.3353	309
270.34503	311
270.3548	312
270.36456	313
270.37433	310
