Date and Time:                Thu Apr 7 16:06:58.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	29734
269.08499	28291
269.09479	28326
269.10455	28360
269.11432	28824
269.12411	28810
269.13388	28663
269.14365	28538
269.15344	28608
269.16321	28617
269.17297	28534
269.18277	28302
269.19254	28360
269.2023	28545
269.2121	28567
269.22186	28424
269.23163	28436
269.24142	28553
269.25119	28639
269.26096	28448
269.27072	28232
269.28052	28274
269.29028	28288
269.30005	28285
269.30984	28041
269.31961	27955
269.32938	27736
269.33914	27597
269.34894	27645
269.3587	27746
269.36847	28096
269.37823	28095
269.388	28152
269.3978	28052
269.40756	27820
269.41733	27775
269.42709	27933
269.43689	28123
269.44666	28225
269.45642	28403
269.46619	28288
269.47595	28312
269.48575	28312
269.49551	28380
269.50528	28302
269.51505	28353
269.52481	28393
269.53458	28192
269.54437	28152
269.55414	28168
269.5639	28216
269.57367	28250
269.58344	28195
269.5932	28121
269.60297	28016
269.61273	27987
269.62253	27972
269.63229	27995
269.64206	27991
269.65182	28147
269.66159	28193
269.67136	28367
269.68112	28385
269.69089	28263
269.70065	28172
269.71042	28080
269.72021	28253
269.72998	28120
269.73975	28038
269.74951	28024
269.75928	28112
269.76904	27888
269.77881	27595
269.78857	27534
269.79834	27744
269.80811	27651
269.81787	27563
269.82764	27499
269.8374	27568
269.84717	27418
269.85693	27358
269.8667	27333
269.87646	27351
269.88623	27351
269.896	27566
269.90576	27608
269.91553	27632
269.92529	27454
269.93506	27214
269.94482	27279
269.95459	27292
269.96436	27361
269.97412	27400
269.98389	27422
269.99365	27397
270.00342	27388
270.01318	27217
270.02292	27282
270.03268	27461
270.04245	27525
270.05222	27568
270.06198	27545
270.07175	27561
270.08151	27386
270.09128	27585
270.10104	27511
270.11081	27708
270.12054	27754
270.13031	27688
270.14008	27661
270.14984	27976
270.15961	28206
270.16937	28094
270.17914	28008
270.18887	27945
270.19864	27901
270.2084	27763
