Date and Time:                Thu Apr 7 16:09:57.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	303
269.08499	299
269.09479	302
269.10455	311
269.11432	306
269.12411	303
269.13388	303
269.14365	302
269.15344	306
269.16321	299
269.17297	309
269.18277	301
269.19254	306
269.2023	305
269.2121	300
269.22186	312
269.23163	300
269.24142	305
269.25119	303
269.26096	309
269.27072	302
269.28052	303
269.29028	299
269.30005	307
269.30984	301
269.31961	308
269.32938	309
269.33914	307
269.34894	306
269.3587	309
269.36847	306
269.37823	312
269.388	302
269.3978	303
269.40756	307
269.41733	303
269.42709	301
269.43689	305
269.44666	296
269.45642	296
269.46619	305
269.47595	299
269.48575	303
269.49551	304
269.50528	299
269.51505	303
269.52481	306
269.53458	307
269.54437	303
269.55414	304
269.5639	300
269.57367	302
269.58344	309
269.5932	304
269.60297	297
269.61273	303
269.62253	301
269.63229	304
269.64206	303
269.65182	307
269.66159	299
269.67136	303
269.68112	307
269.69089	301
269.70065	308
269.71042	305
269.72021	305
269.72998	304
269.73975	300
269.74951	304
269.75928	303
269.76904	299
269.77881	304
269.78857	305
269.79834	304
269.80811	309
269.81787	299
269.82764	305
269.8374	301
269.84717	305
269.85693	307
269.8667	305
269.87646	302
269.88623	298
269.896	298
269.90576	304
269.91553	304
269.92529	302
269.93506	298
269.94482	301
269.95459	302
269.96436	304
269.97412	300
269.98389	308
269.99365	303
270.00342	296
270.01318	305
270.02292	306
270.03268	305
270.04245	303
270.05222	301
270.06198	302
270.07175	301
270.08151	307
270.09128	302
270.10104	299
270.11081	302
270.12054	302
270.13031	303
270.14008	310
270.14984	300
270.15961	297
270.16937	304
270.17914	302
270.18887	306
270.19864	306
270.2084	302
270.21817	300
270.22794	302
270.2377	304
270.24744	308
270.2572	304
270.26697	299
270.27673	306
270.2865	305
270.29626	302
270.306	302
270.31577	300
270.32553	298
270.3353	306
270.34503	301
270.3548	305
270.36456	302
270.37433	304
