Date and Time:                Thu Apr 7 16:06:08.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              279
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



269.07523	307
269.08499	309
269.09479	307
269.10455	315
269.11432	313
269.12411	313
269.13388	309
269.14365	309
269.15344	308
269.16321	309
269.17297	313
269.18277	310
269.19254	308
269.2023	311
269.2121	306
269.22186	307
269.23163	313
269.24142	311
269.25119	312
269.26096	311
269.27072	305
269.28052	306
269.29028	309
269.30005	312
269.30984	308
269.31961	316
269.32938	316
269.33914	309
269.34894	306
269.3587	308
269.36847	308
269.37823	313
269.388	314
269.3978	304
269.40756	310
269.41733	307
269.42709	304
269.43689	306
269.44666	302
269.45642	311
269.46619	308
269.47595	301
269.48575	306
269.49551	309
269.50528	302
269.51505	312
269.52481	306
269.53458	308
269.54437	316
269.55414	311
269.5639	307
269.57367	315
269.58344	311
269.5932	309
269.60297	318
269.61273	311
269.62253	311
269.63229	311
269.64206	305
269.65182	304
269.66159	318
269.67136	309
269.68112	310
269.69089	304
269.70065	310
269.71042	311
269.72021	307
269.72998	314
269.73975	313
269.74951	311
269.75928	307
269.76904	311
269.77881	308
269.78857	310
269.79834	310
269.80811	313
269.81787	310
269.82764	305
269.8374	305
269.84717	309
269.85693	317
269.8667	305
269.87646	309
269.88623	301
269.896	308
269.90576	308
269.91553	310
269.92529	310
269.93506	314
269.94482	312
269.95459	309
269.96436	312
269.97412	310
269.98389	308
269.99365	313
270.00342	303
270.01318	309
270.02292	307
270.03268	311
270.04245	311
270.05222	306
270.06198	310
270.07175	309
270.08151	307
270.09128	311
270.10104	300
270.11081	308
270.12054	313
270.13031	308
270.14008	311
270.14984	309
270.15961	313
270.16937	306
270.17914	312
270.18887	308
270.19864	310
270.2084	307
270.21817	310
270.22794	303
270.2377	311
270.24744	307
270.2572	302
270.26697	313
270.27673	303
270.2865	311
270.29626	308
270.306	309
270.31577	309
270.32553	309
270.3353	309
270.34503	309
270.3548	311
270.36456	311
270.37433	311
