Date and Time:                Wed May 25 13:34:07.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.22
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.24313	29585
290.25275	28328
290.26236	28554
290.27197	28569
290.28159	28716
290.2912	28608
290.30084	28315
290.31046	28270
290.32007	28752
290.32968	28665
290.33929	28521
290.34891	28341
290.35852	28514
290.36813	28608
290.37775	28333
290.38736	28093
290.39697	28292
290.40659	28808
290.4162	28857
290.42581	28618
290.43542	28367
290.44504	28078
290.45465	28209
290.46426	28127
290.47388	27772
290.48349	27697
290.4931	27833
290.50272	27824
290.51233	27638
290.52194	27707
290.53156	27894
290.54117	27885
290.55078	27888
290.56039	28022
290.57001	27906
290.57962	27692
290.58923	27494
290.59885	27625
290.60846	27609
290.61807	27566
290.62769	27522
290.6373	27772
290.64691	28158
290.65652	28245
290.66611	28006
290.67572	27873
290.68533	27812
290.69495	27853
290.70456	28031
290.71417	28095
290.72379	28375
290.7334	28617
290.74301	28609
290.75259	28561
290.76221	28443
290.77182	28407
290.78143	28471
290.79105	28451
290.80066	28645
290.81027	28624
290.81985	28532
290.82947	28445
290.83908	28449
290.84869	28496
290.85831	28422
290.86789	28399
290.8775	28424
290.88712	28290
290.89673	28313
290.90634	28290
290.91592	28449
290.92554	28469
290.93515	28585
290.94476	28651
290.95435	28929
290.96396	28936
290.97357	28871
290.98318	28890
290.99277	28792
291.00238	28897
291.01199	28770
291.02161	28848
291.03119	28857
291.0408	28893
291.05042	28849
291.06003	28944
291.06961	29197
291.07922	29260
291.08884	29283
291.09842	29378
291.10803	29335
291.11765	29380
291.12723	29491
291.13684	29888
291.14645	30102
291.15604	30208
291.16565	30182
291.17526	30113
291.18484	30003
291.19446	29942
291.20407	29868
291.21365	29870
291.22327	29897
291.23285	29803
291.24246	29645
291.25208	29374
291.26166	29378
291.27127	29228
291.28085	29236
291.29047	29489
291.30008	29853
291.30966	29829
291.31927	29785
291.32886	29477
291.33847	29459
291.34805	29460
291.35767	29550
